group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon-reduced,,,197461.0,ns,3117
single_random_i16,SmallRng,Canon-reduced,,,393751.0,ns,6234
single_random_i16,SmallRng,Canon-reduced,,,592505.0,ns,9351
single_random_i16,SmallRng,Canon-reduced,,,792752.0,ns,12468
single_random_i16,SmallRng,Canon-reduced,,,990604.0,ns,15585
single_random_i16,SmallRng,Canon-reduced,,,1183638.0,ns,18702
single_random_i16,SmallRng,Canon-reduced,,,1386530.0,ns,21819
single_random_i16,SmallRng,Canon-reduced,,,1585445.0,ns,24936
single_random_i16,SmallRng,Canon-reduced,,,1778457.0,ns,28053
single_random_i16,SmallRng,Canon-reduced,,,1988633.0,ns,31170
single_random_i16,SmallRng,Canon-reduced,,,2189432.0,ns,34287
single_random_i16,SmallRng,Canon-reduced,,,2370753.0,ns,37404
single_random_i16,SmallRng,Canon-reduced,,,2567513.0,ns,40521
single_random_i16,SmallRng,Canon-reduced,,,2768893.0,ns,43638
single_random_i16,SmallRng,Canon-reduced,,,2964000.0,ns,46755
single_random_i16,SmallRng,Canon-reduced,,,3158556.0,ns,49872
single_random_i16,SmallRng,Canon-reduced,,,3355987.0,ns,52989
single_random_i16,SmallRng,Canon-reduced,,,3563528.0,ns,56106
single_random_i16,SmallRng,Canon-reduced,,,3751483.0,ns,59223
single_random_i16,SmallRng,Canon-reduced,,,3952110.0,ns,62340
single_random_i16,SmallRng,Canon-reduced,,,4148419.0,ns,65457
single_random_i16,SmallRng,Canon-reduced,,,4351141.0,ns,68574
single_random_i16,SmallRng,Canon-reduced,,,4550106.0,ns,71691
single_random_i16,SmallRng,Canon-reduced,,,4744782.0,ns,74808
single_random_i16,SmallRng,Canon-reduced,,,4942614.0,ns,77925
single_random_i16,SmallRng,Canon-reduced,,,5139846.0,ns,81042
single_random_i16,SmallRng,Canon-reduced,,,5333050.0,ns,84159
single_random_i16,SmallRng,Canon-reduced,,,5539187.0,ns,87276
single_random_i16,SmallRng,Canon-reduced,,,5731940.0,ns,90393
single_random_i16,SmallRng,Canon-reduced,,,5924642.0,ns,93510
single_random_i16,SmallRng,Canon-reduced,,,6125150.0,ns,96627
single_random_i16,SmallRng,Canon-reduced,,,6325076.0,ns,99744
single_random_i16,SmallRng,Canon-reduced,,,6526856.0,ns,102861
single_random_i16,SmallRng,Canon-reduced,,,6825058.0,ns,105978
single_random_i16,SmallRng,Canon-reduced,,,6912152.0,ns,109095
single_random_i16,SmallRng,Canon-reduced,,,7123259.0,ns,112212
single_random_i16,SmallRng,Canon-reduced,,,7309009.0,ns,115329
single_random_i16,SmallRng,Canon-reduced,,,7497303.0,ns,118446
single_random_i16,SmallRng,Canon-reduced,,,7709964.0,ns,121563
single_random_i16,SmallRng,Canon-reduced,,,7888550.0,ns,124680
single_random_i16,SmallRng,Canon-reduced,,,8080432.0,ns,127797
single_random_i16,SmallRng,Canon-reduced,,,8289074.0,ns,130914
single_random_i16,SmallRng,Canon-reduced,,,8491054.0,ns,134031
single_random_i16,SmallRng,Canon-reduced,,,8678407.0,ns,137148
single_random_i16,SmallRng,Canon-reduced,,,8866501.0,ns,140265
single_random_i16,SmallRng,Canon-reduced,,,9072799.0,ns,143382
single_random_i16,SmallRng,Canon-reduced,,,9262215.0,ns,146499
single_random_i16,SmallRng,Canon-reduced,,,9460268.0,ns,149616
single_random_i16,SmallRng,Canon-reduced,,,9656588.0,ns,152733
single_random_i16,SmallRng,Canon-reduced,,,9860122.0,ns,155850
single_random_i16,SmallRng,Canon-reduced,,,10045290.0,ns,158967
single_random_i16,SmallRng,Canon-reduced,,,10246649.0,ns,162084
single_random_i16,SmallRng,Canon-reduced,,,10438940.0,ns,165201
single_random_i16,SmallRng,Canon-reduced,,,10647363.0,ns,168318
