group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon,,,197432.0,ns,105631
single_random_i16,SmallRng,Canon,,,396086.0,ns,211262
single_random_i16,SmallRng,Canon,,,592265.0,ns,316893
single_random_i16,SmallRng,Canon,,,790688.0,ns,422524
single_random_i16,SmallRng,Canon,,,988080.0,ns,528155
single_random_i16,SmallRng,Canon,,,1185451.0,ns,633786
single_random_i16,SmallRng,Canon,,,1384125.0,ns,739417
single_random_i16,SmallRng,Canon,,,1574924.0,ns,845048
single_random_i16,SmallRng,Canon,,,1778787.0,ns,950679
single_random_i16,SmallRng,Canon,,,1976650.0,ns,1056310
single_random_i16,SmallRng,Canon,,,2174302.0,ns,1161941
single_random_i16,SmallRng,Canon,,,2369761.0,ns,1267572
single_random_i16,SmallRng,Canon,,,2560288.0,ns,1373203
single_random_i16,SmallRng,Canon,,,2757981.0,ns,1478834
single_random_i16,SmallRng,Canon,,,2963768.0,ns,1584465
single_random_i16,SmallRng,Canon,,,3156581.0,ns,1690096
single_random_i16,SmallRng,Canon,,,3349174.0,ns,1795727
single_random_i16,SmallRng,Canon,,,3552657.0,ns,1901358
single_random_i16,SmallRng,Canon,,,3741832.0,ns,2006989
single_random_i16,SmallRng,Canon,,,3945065.0,ns,2112620
single_random_i16,SmallRng,Canon,,,4139922.0,ns,2218251
single_random_i16,SmallRng,Canon,,,4337444.0,ns,2323882
single_random_i16,SmallRng,Canon,,,4532220.0,ns,2429513
single_random_i16,SmallRng,Canon,,,4733679.0,ns,2535144
single_random_i16,SmallRng,Canon,,,4935549.0,ns,2640775
single_random_i16,SmallRng,Canon,,,5128112.0,ns,2746406
single_random_i16,SmallRng,Canon,,,5316026.0,ns,2852037
single_random_i16,SmallRng,Canon,,,5517515.0,ns,2957668
single_random_i16,SmallRng,Canon,,,5721759.0,ns,3063299
single_random_i16,SmallRng,Canon,,,5922196.0,ns,3168930
single_random_i16,SmallRng,Canon,,,6105360.0,ns,3274561
single_random_i16,SmallRng,Canon,,,6317410.0,ns,3380192
single_random_i16,SmallRng,Canon,,,6514331.0,ns,3485823
single_random_i16,SmallRng,Canon,,,6707123.0,ns,3591454
single_random_i16,SmallRng,Canon,,,6892252.0,ns,3697085
single_random_i16,SmallRng,Canon,,,7095163.0,ns,3802716
single_random_i16,SmallRng,Canon,,,7316009.0,ns,3908347
single_random_i16,SmallRng,Canon,,,7482273.0,ns,4013978
single_random_i16,SmallRng,Canon,,,7678883.0,ns,4119609
single_random_i16,SmallRng,Canon,,,7863611.0,ns,4225240
single_random_i16,SmallRng,Canon,,,8079236.0,ns,4330871
single_random_i16,SmallRng,Canon,,,8267892.0,ns,4436502
single_random_i16,SmallRng,Canon,,,8456797.0,ns,4542133
single_random_i16,SmallRng,Canon,,,8651423.0,ns,4647764
single_random_i16,SmallRng,Canon,,,8863782.0,ns,4753395
single_random_i16,SmallRng,Canon,,,9047458.0,ns,4859026
single_random_i16,SmallRng,Canon,,,9240802.0,ns,4964657
single_random_i16,SmallRng,Canon,,,9436440.0,ns,5070288
single_random_i16,SmallRng,Canon,,,9637028.0,ns,5175919
single_random_i16,SmallRng,Canon,,,9829480.0,ns,5281550
single_random_i16,SmallRng,Canon,,,10026380.0,ns,5387181
single_random_i16,SmallRng,Canon,,,10223902.0,ns,5492812
single_random_i16,SmallRng,Canon,,,10418989.0,ns,5598443
single_random_i16,SmallRng,Canon,,,10616271.0,ns,5704074
single_random_i16,SmallRng,Canon,,,10814513.0,ns,5809705
single_random_i16,SmallRng,Canon,,,11009972.0,ns,5915336
single_random_i16,SmallRng,Canon,,,11204999.0,ns,6020967
single_random_i16,SmallRng,Canon,,,11404074.0,ns,6126598
single_random_i16,SmallRng,Canon,,,11600304.0,ns,6232229
single_random_i16,SmallRng,Canon,,,11795711.0,ns,6337860
single_random_i16,SmallRng,Canon,,,11997229.0,ns,6443491
single_random_i16,SmallRng,Canon,,,12189572.0,ns,6549122
single_random_i16,SmallRng,Canon,,,12385130.0,ns,6654753
single_random_i16,SmallRng,Canon,,,12581790.0,ns,6760384
single_random_i16,SmallRng,Canon,,,12778771.0,ns,6866015
single_random_i16,SmallRng,Canon,,,12977996.0,ns,6971646
