group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,ONeill,,,199465.0,ns,101058
single_random_i16,SmallRng,ONeill,,,388150.0,ns,202116
single_random_i16,SmallRng,ONeill,,,585803.0,ns,303174
single_random_i16,SmallRng,ONeill,,,780339.0,ns,404232
single_random_i16,SmallRng,ONeill,,,990695.0,ns,505290
single_random_i16,SmallRng,ONeill,,,1186423.0,ns,606348
single_random_i16,SmallRng,ONeill,,,1390086.0,ns,707406
single_random_i16,SmallRng,ONeill,,,1634686.0,ns,808464
single_random_i16,SmallRng,ONeill,,,1758049.0,ns,909522
single_random_i16,SmallRng,ONeill,,,1945573.0,ns,1010580
single_random_i16,SmallRng,ONeill,,,2145468.0,ns,1111638
single_random_i16,SmallRng,ONeill,,,2399316.0,ns,1212696
single_random_i16,SmallRng,ONeill,,,2563064.0,ns,1313754
single_random_i16,SmallRng,ONeill,,,2809818.0,ns,1414812
single_random_i16,SmallRng,ONeill,,,2971112.0,ns,1515870
single_random_i16,SmallRng,ONeill,,,3187589.0,ns,1616928
single_random_i16,SmallRng,ONeill,,,3438031.0,ns,1717986
single_random_i16,SmallRng,ONeill,,,3563737.0,ns,1819044
single_random_i16,SmallRng,ONeill,,,3790193.0,ns,1920102
single_random_i16,SmallRng,ONeill,,,3962878.0,ns,2021160
single_random_i16,SmallRng,ONeill,,,4096590.0,ns,2122218
single_random_i16,SmallRng,ONeill,,,4318167.0,ns,2223276
single_random_i16,SmallRng,ONeill,,,4533142.0,ns,2324334
single_random_i16,SmallRng,ONeill,,,4720545.0,ns,2425392
single_random_i16,SmallRng,ONeill,,,4912055.0,ns,2526450
single_random_i16,SmallRng,ONeill,,,5104487.0,ns,2627508
single_random_i16,SmallRng,ONeill,,,5378172.0,ns,2728566
single_random_i16,SmallRng,ONeill,,,5588698.0,ns,2829624
single_random_i16,SmallRng,ONeill,,,5735394.0,ns,2930682
single_random_i16,SmallRng,ONeill,,,5970667.0,ns,3031740
single_random_i16,SmallRng,ONeill,,,6087938.0,ns,3132798
single_random_i16,SmallRng,ONeill,,,6386901.0,ns,3233856
single_random_i16,SmallRng,ONeill,,,6481309.0,ns,3334914
single_random_i16,SmallRng,ONeill,,,6763570.0,ns,3435972
single_random_i16,SmallRng,ONeill,,,6868317.0,ns,3537030
single_random_i16,SmallRng,ONeill,,,7099102.0,ns,3638088
single_random_i16,SmallRng,ONeill,,,7364160.0,ns,3739146
single_random_i16,SmallRng,ONeill,,,7560950.0,ns,3840204
single_random_i16,SmallRng,ONeill,,,7681056.0,ns,3941262
single_random_i16,SmallRng,ONeill,,,7883989.0,ns,4042320
single_random_i16,SmallRng,ONeill,,,8116967.0,ns,4143378
single_random_i16,SmallRng,ONeill,,,8341149.0,ns,4244436
single_random_i16,SmallRng,ONeill,,,8492794.0,ns,4345494
single_random_i16,SmallRng,ONeill,,,8692861.0,ns,4446552
single_random_i16,SmallRng,ONeill,,,8815551.0,ns,4547610
single_random_i16,SmallRng,ONeill,,,9088586.0,ns,4648668
single_random_i16,SmallRng,ONeill,,,9403118.0,ns,4749726
single_random_i16,SmallRng,ONeill,,,9489321.0,ns,4850784
single_random_i16,SmallRng,ONeill,,,9657196.0,ns,4951842
single_random_i16,SmallRng,ONeill,,,9822037.0,ns,5052900
single_random_i16,SmallRng,ONeill,,,10161004.0,ns,5153958
single_random_i16,SmallRng,ONeill,,,10347244.0,ns,5255016
single_random_i16,SmallRng,ONeill,,,10472040.0,ns,5356074
single_random_i16,SmallRng,ONeill,,,10564724.0,ns,5457132
single_random_i16,SmallRng,ONeill,,,10857555.0,ns,5558190
single_random_i16,SmallRng,ONeill,,,11064505.0,ns,5659248
single_random_i16,SmallRng,ONeill,,,11309486.0,ns,5760306
single_random_i16,SmallRng,ONeill,,,11398613.0,ns,5861364
single_random_i16,SmallRng,ONeill,,,11632333.0,ns,5962422
single_random_i16,SmallRng,ONeill,,,11838412.0,ns,6063480
single_random_i16,SmallRng,ONeill,,,12086458.0,ns,6164538
single_random_i16,SmallRng,ONeill,,,12350445.0,ns,6265596
single_random_i16,SmallRng,ONeill,,,12402223.0,ns,6366654
single_random_i16,SmallRng,ONeill,,,12556714.0,ns,6467712
single_random_i16,SmallRng,ONeill,,,12843362.0,ns,6568770
single_random_i16,SmallRng,ONeill,,,13032338.0,ns,6669828
single_random_i16,SmallRng,ONeill,,,13236513.0,ns,6770886
single_random_i16,SmallRng,ONeill,,,13418986.0,ns,6871944
single_random_i16,SmallRng,ONeill,,,13586041.0,ns,6973002
single_random_i16,SmallRng,ONeill,,,13820000.0,ns,7074060
single_random_i16,SmallRng,ONeill,,,14031379.0,ns,7175118
single_random_i16,SmallRng,ONeill,,,14118052.0,ns,7276176
single_random_i16,SmallRng,ONeill,,,14434728.0,ns,7377234
single_random_i16,SmallRng,ONeill,,,14524456.0,ns,7478292
single_random_i16,SmallRng,ONeill,,,14849749.0,ns,7579350
single_random_i16,SmallRng,ONeill,,,14881549.0,ns,7680408
single_random_i16,SmallRng,ONeill,,,15212922.0,ns,7781466
single_random_i16,SmallRng,ONeill,,,15348086.0,ns,7882524
single_random_i16,SmallRng,ONeill,,,15653782.0,ns,7983582
single_random_i16,SmallRng,ONeill,,,15700410.0,ns,8084640
single_random_i16,SmallRng,ONeill,,,15880669.0,ns,8185698
single_random_i16,SmallRng,ONeill,,,16214587.0,ns,8286756
single_random_i16,SmallRng,ONeill,,,16421347.0,ns,8387814
single_random_i16,SmallRng,ONeill,,,16669705.0,ns,8488872
single_random_i16,SmallRng,ONeill,,,16751308.0,ns,8589930
single_random_i16,SmallRng,ONeill,,,16836027.0,ns,8690988
single_random_i16,SmallRng,ONeill,,,17153505.0,ns,8792046
single_random_i16,SmallRng,ONeill,,,17445474.0,ns,8893104
single_random_i16,SmallRng,ONeill,,,17547657.0,ns,8994162
single_random_i16,SmallRng,ONeill,,,17578575.0,ns,9095220
single_random_i16,SmallRng,ONeill,,,17870835.0,ns,9196278
single_random_i16,SmallRng,ONeill,,,18211276.0,ns,9297336
single_random_i16,SmallRng,ONeill,,,18315812.0,ns,9398394
single_random_i16,SmallRng,ONeill,,,18435848.0,ns,9499452
single_random_i16,SmallRng,ONeill,,,18755429.0,ns,9600510
single_random_i16,SmallRng,ONeill,,,18830461.0,ns,9701568
single_random_i16,SmallRng,ONeill,,,19101931.0,ns,9802626
single_random_i16,SmallRng,ONeill,,,19313761.0,ns,9903684
single_random_i16,SmallRng,ONeill,,,19526551.0,ns,10004742
single_random_i16,SmallRng,ONeill,,,19754029.0,ns,10105800
