group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Bitmask,ChaCha8Rng,,,197912.0,ns,34086
single_random_i32,Bitmask,ChaCha8Rng,,,393801.0,ns,68172
single_random_i32,Bitmask,ChaCha8Rng,,,592325.0,ns,102258
single_random_i32,Bitmask,ChaCha8Rng,,,785018.0,ns,136344
single_random_i32,Bitmask,ChaCha8Rng,,,990174.0,ns,170430
single_random_i32,Bitmask,ChaCha8Rng,,,1180954.0,ns,204516
single_random_i32,Bitmask,ChaCha8Rng,,,1378636.0,ns,238602
single_random_i32,Bitmask,ChaCha8Rng,,,1573512.0,ns,272688
single_random_i32,Bitmask,ChaCha8Rng,,,1772516.0,ns,306774
single_random_i32,Bitmask,ChaCha8Rng,,,1970189.0,ns,340860
single_random_i32,Bitmask,ChaCha8Rng,,,2167360.0,ns,374946
single_random_i32,Bitmask,ChaCha8Rng,,,2367948.0,ns,409032
single_random_i32,Bitmask,ChaCha8Rng,,,2555832.0,ns,443118
single_random_i32,Bitmask,ChaCha8Rng,,,2753553.0,ns,477204
single_random_i32,Bitmask,ChaCha8Rng,,,2970833.0,ns,511290
single_random_i32,Bitmask,ChaCha8Rng,,,3155500.0,ns,545376
single_random_i32,Bitmask,ChaCha8Rng,,,3345759.0,ns,579462
single_random_i32,Bitmask,ChaCha8Rng,,,3551136.0,ns,613548
single_random_i32,Bitmask,ChaCha8Rng,,,3787541.0,ns,647634
single_random_i32,Bitmask,ChaCha8Rng,,,3940779.0,ns,681720
single_random_i32,Bitmask,ChaCha8Rng,,,4134163.0,ns,715806
single_random_i32,Bitmask,ChaCha8Rng,,,4333799.0,ns,749892
single_random_i32,Bitmask,ChaCha8Rng,,,4511964.0,ns,783978
single_random_i32,Bitmask,ChaCha8Rng,,,4721288.0,ns,818064
single_random_i32,Bitmask,ChaCha8Rng,,,4914171.0,ns,852150
single_random_i32,Bitmask,ChaCha8Rng,,,5119668.0,ns,886236
single_random_i32,Bitmask,ChaCha8Rng,,,5306299.0,ns,920322
single_random_i32,Bitmask,ChaCha8Rng,,,5569024.0,ns,954408
single_random_i32,Bitmask,ChaCha8Rng,,,5708336.0,ns,988494
single_random_i32,Bitmask,ChaCha8Rng,,,5903654.0,ns,1022580
single_random_i32,Bitmask,ChaCha8Rng,,,6094072.0,ns,1056666
single_random_i32,Bitmask,ChaCha8Rng,,,6292797.0,ns,1090752
single_random_i32,Bitmask,ChaCha8Rng,,,6483386.0,ns,1124838
single_random_i32,Bitmask,ChaCha8Rng,,,6743505.0,ns,1158924
single_random_i32,Bitmask,ChaCha8Rng,,,6919536.0,ns,1193010
single_random_i32,Bitmask,ChaCha8Rng,,,7080280.0,ns,1227096
single_random_i32,Bitmask,ChaCha8Rng,,,7272852.0,ns,1261182
single_random_i32,Bitmask,ChaCha8Rng,,,7488097.0,ns,1295268
single_random_i32,Bitmask,ChaCha8Rng,,,7676241.0,ns,1329354
single_random_i32,Bitmask,ChaCha8Rng,,,7938565.0,ns,1363440
single_random_i32,Bitmask,ChaCha8Rng,,,8062018.0,ns,1397526
single_random_i32,Bitmask,ChaCha8Rng,,,8268938.0,ns,1431612
single_random_i32,Bitmask,ChaCha8Rng,,,8468513.0,ns,1465698
single_random_i32,Bitmask,ChaCha8Rng,,,8652098.0,ns,1499784
single_random_i32,Bitmask,ChaCha8Rng,,,8903422.0,ns,1533870
single_random_i32,Bitmask,ChaCha8Rng,,,9030551.0,ns,1567956
single_random_i32,Bitmask,ChaCha8Rng,,,9231530.0,ns,1602042
single_random_i32,Bitmask,ChaCha8Rng,,,9414173.0,ns,1636128
single_random_i32,Bitmask,ChaCha8Rng,,,9699470.0,ns,1670214
single_random_i32,Bitmask,ChaCha8Rng,,,9842159.0,ns,1704300
single_random_i32,Bitmask,ChaCha8Rng,,,10019934.0,ns,1738386
single_random_i32,Bitmask,ChaCha8Rng,,,10222204.0,ns,1772472
single_random_i32,Bitmask,ChaCha8Rng,,,10480270.0,ns,1806558
single_random_i32,Bitmask,ChaCha8Rng,,,10619792.0,ns,1840644
single_random_i32,Bitmask,ChaCha8Rng,,,10835690.0,ns,1874730
single_random_i32,Bitmask,ChaCha8Rng,,,11000099.0,ns,1908816
single_random_i32,Bitmask,ChaCha8Rng,,,11232316.0,ns,1942902
single_random_i32,Bitmask,ChaCha8Rng,,,11401776.0,ns,1976988
single_random_i32,Bitmask,ChaCha8Rng,,,11573748.0,ns,2011074
single_random_i32,Bitmask,ChaCha8Rng,,,11834440.0,ns,2045160
single_random_i32,Bitmask,ChaCha8Rng,,,11999671.0,ns,2079246
single_random_i32,Bitmask,ChaCha8Rng,,,12185611.0,ns,2113332
single_random_i32,Bitmask,ChaCha8Rng,,,12419241.0,ns,2147418
single_random_i32,Bitmask,ChaCha8Rng,,,12567920.0,ns,2181504
single_random_i32,Bitmask,ChaCha8Rng,,,12770512.0,ns,2215590
single_random_i32,Bitmask,ChaCha8Rng,,,12955119.0,ns,2249676
single_random_i32,Bitmask,ChaCha8Rng,,,13227372.0,ns,2283762
single_random_i32,Bitmask,ChaCha8Rng,,,13348600.0,ns,2317848
single_random_i32,Bitmask,ChaCha8Rng,,,13507199.0,ns,2351934
single_random_i32,Bitmask,ChaCha8Rng,,,13784090.0,ns,2386020
single_random_i32,Bitmask,ChaCha8Rng,,,13941457.0,ns,2420106
single_random_i32,Bitmask,ChaCha8Rng,,,14165899.0,ns,2454192
single_random_i32,Bitmask,ChaCha8Rng,,,14303308.0,ns,2488278
single_random_i32,Bitmask,ChaCha8Rng,,,14483586.0,ns,2522364
single_random_i32,Bitmask,ChaCha8Rng,,,14795684.0,ns,2556450
single_random_i32,Bitmask,ChaCha8Rng,,,14906272.0,ns,2590536
single_random_i32,Bitmask,ChaCha8Rng,,,15070021.0,ns,2624622
single_random_i32,Bitmask,ChaCha8Rng,,,15364295.0,ns,2658708
single_random_i32,Bitmask,ChaCha8Rng,,,15479382.0,ns,2692794
single_random_i32,Bitmask,ChaCha8Rng,,,15734692.0,ns,2726880
single_random_i32,Bitmask,ChaCha8Rng,,,15889714.0,ns,2760966
single_random_i32,Bitmask,ChaCha8Rng,,,16056899.0,ns,2795052
single_random_i32,Bitmask,ChaCha8Rng,,,16353277.0,ns,2829138
single_random_i32,Bitmask,ChaCha8Rng,,,16462813.0,ns,2863224
single_random_i32,Bitmask,ChaCha8Rng,,,16716290.0,ns,2897310
single_random_i32,Bitmask,ChaCha8Rng,,,16848128.0,ns,2931396
single_random_i32,Bitmask,ChaCha8Rng,,,17029239.0,ns,2965482
single_random_i32,Bitmask,ChaCha8Rng,,,17314026.0,ns,2999568
single_random_i32,Bitmask,ChaCha8Rng,,,17445844.0,ns,3033654
single_random_i32,Bitmask,ChaCha8Rng,,,17717274.0,ns,3067740
single_random_i32,Bitmask,ChaCha8Rng,,,17851637.0,ns,3101826
single_random_i32,Bitmask,ChaCha8Rng,,,18103853.0,ns,3135912
