group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Bitmask,Pcg32,,,197451.0,ns,43339
single_random_i32,Bitmask,Pcg32,,,392439.0,ns,86678
single_random_i32,Bitmask,Pcg32,,,590001.0,ns,130017
single_random_i32,Bitmask,Pcg32,,,788164.0,ns,173356
single_random_i32,Bitmask,Pcg32,,,985896.0,ns,216695
single_random_i32,Bitmask,Pcg32,,,1180913.0,ns,260034
single_random_i32,Bitmask,Pcg32,,,1377423.0,ns,303373
single_random_i32,Bitmask,Pcg32,,,1575055.0,ns,346712
single_random_i32,Bitmask,Pcg32,,,1767768.0,ns,390051
single_random_i32,Bitmask,Pcg32,,,1977021.0,ns,433390
single_random_i32,Bitmask,Pcg32,,,2170496.0,ns,476729
single_random_i32,Bitmask,Pcg32,,,2359782.0,ns,520068
single_random_i32,Bitmask,Pcg32,,,2559308.0,ns,563407
single_random_i32,Bitmask,Pcg32,,,2753614.0,ns,606746
single_random_i32,Bitmask,Pcg32,,,2952318.0,ns,650085
single_random_i32,Bitmask,Pcg32,,,3149649.0,ns,693424
single_random_i32,Bitmask,Pcg32,,,3348484.0,ns,736763
single_random_i32,Bitmask,Pcg32,,,3558248.0,ns,780102
single_random_i32,Bitmask,Pcg32,,,3736725.0,ns,823441
single_random_i32,Bitmask,Pcg32,,,3944717.0,ns,866780
single_random_i32,Bitmask,Pcg32,,,4141056.0,ns,910119
single_random_i32,Bitmask,Pcg32,,,4330853.0,ns,953458
single_random_i32,Bitmask,Pcg32,,,4536150.0,ns,996797
single_random_i32,Bitmask,Pcg32,,,4722150.0,ns,1040136
single_random_i32,Bitmask,Pcg32,,,4925132.0,ns,1083475
single_random_i32,Bitmask,Pcg32,,,5124507.0,ns,1126814
single_random_i32,Bitmask,Pcg32,,,5321418.0,ns,1170153
single_random_i32,Bitmask,Pcg32,,,5512558.0,ns,1213492
single_random_i32,Bitmask,Pcg32,,,5719678.0,ns,1256831
single_random_i32,Bitmask,Pcg32,,,5916449.0,ns,1300170
single_random_i32,Bitmask,Pcg32,,,6109532.0,ns,1343509
single_random_i32,Bitmask,Pcg32,,,6295752.0,ns,1386848
single_random_i32,Bitmask,Pcg32,,,6486862.0,ns,1430187
single_random_i32,Bitmask,Pcg32,,,6689765.0,ns,1473526
single_random_i32,Bitmask,Pcg32,,,6882978.0,ns,1516865
single_random_i32,Bitmask,Pcg32,,,7096530.0,ns,1560204
single_random_i32,Bitmask,Pcg32,,,7285476.0,ns,1603543
single_random_i32,Bitmask,Pcg32,,,7476555.0,ns,1646882
single_random_i32,Bitmask,Pcg32,,,7686370.0,ns,1690221
single_random_i32,Bitmask,Pcg32,,,7867111.0,ns,1733560
single_random_i32,Bitmask,Pcg32,,,8076235.0,ns,1776899
single_random_i32,Bitmask,Pcg32,,,8262485.0,ns,1820238
single_random_i32,Bitmask,Pcg32,,,8461129.0,ns,1863577
single_random_i32,Bitmask,Pcg32,,,8668900.0,ns,1906916
single_random_i32,Bitmask,Pcg32,,,8867013.0,ns,1950255
single_random_i32,Bitmask,Pcg32,,,9057271.0,ns,1993594
single_random_i32,Bitmask,Pcg32,,,9258991.0,ns,2036933
single_random_i32,Bitmask,Pcg32,,,9450352.0,ns,2080272
single_random_i32,Bitmask,Pcg32,,,9654336.0,ns,2123611
single_random_i32,Bitmask,Pcg32,,,9848171.0,ns,2166950
single_random_i32,Bitmask,Pcg32,,,10051734.0,ns,2210289
single_random_i32,Bitmask,Pcg32,,,10247262.0,ns,2253628
single_random_i32,Bitmask,Pcg32,,,10431429.0,ns,2296967
single_random_i32,Bitmask,Pcg32,,,10646263.0,ns,2340306
single_random_i32,Bitmask,Pcg32,,,10832383.0,ns,2383645
single_random_i32,Bitmask,Pcg32,,,11007182.0,ns,2426984
single_random_i32,Bitmask,Pcg32,,,11236043.0,ns,2470323
single_random_i32,Bitmask,Pcg32,,,11410892.0,ns,2513662
single_random_i32,Bitmask,Pcg32,,,11632279.0,ns,2557001
single_random_i32,Bitmask,Pcg32,,,11858165.0,ns,2600340
single_random_i32,Bitmask,Pcg32,,,12024588.0,ns,2643679
single_random_i32,Bitmask,Pcg32,,,12230726.0,ns,2687018
single_random_i32,Bitmask,Pcg32,,,12421675.0,ns,2730357
single_random_i32,Bitmask,Pcg32,,,12612985.0,ns,2773696
single_random_i32,Bitmask,Pcg32,,,12802472.0,ns,2817035
single_random_i32,Bitmask,Pcg32,,,13008119.0,ns,2860374
single_random_i32,Bitmask,Pcg32,,,13217293.0,ns,2903713
single_random_i32,Bitmask,Pcg32,,,13397853.0,ns,2947052
single_random_i32,Bitmask,Pcg32,,,13584484.0,ns,2990391
single_random_i32,Bitmask,Pcg32,,,13780454.0,ns,3033730
single_random_i32,Bitmask,Pcg32,,,13979969.0,ns,3077069
single_random_i32,Bitmask,Pcg32,,,14191577.0,ns,3120408
single_random_i32,Bitmask,Pcg32,,,14381194.0,ns,3163747
single_random_i32,Bitmask,Pcg32,,,14570821.0,ns,3207086
single_random_i32,Bitmask,Pcg32,,,14765167.0,ns,3250425
single_random_i32,Bitmask,Pcg32,,,14979520.0,ns,3293764
single_random_i32,Bitmask,Pcg32,,,15160341.0,ns,3337103
single_random_i32,Bitmask,Pcg32,,,15351622.0,ns,3380442
single_random_i32,Bitmask,Pcg32,,,15574521.0,ns,3423781
single_random_i32,Bitmask,Pcg32,,,15755140.0,ns,3467120
single_random_i32,Bitmask,Pcg32,,,15953404.0,ns,3510459
single_random_i32,Bitmask,Pcg32,,,16198686.0,ns,3553798
single_random_i32,Bitmask,Pcg32,,,16326647.0,ns,3597137
single_random_i32,Bitmask,Pcg32,,,16535710.0,ns,3640476
single_random_i32,Bitmask,Pcg32,,,16757558.0,ns,3683815
single_random_i32,Bitmask,Pcg32,,,16944380.0,ns,3727154
single_random_i32,Bitmask,Pcg32,,,17138305.0,ns,3770493
single_random_i32,Bitmask,Pcg32,,,17336358.0,ns,3813832
single_random_i32,Bitmask,Pcg32,,,17538188.0,ns,3857171
single_random_i32,Bitmask,Pcg32,,,17725330.0,ns,3900510
single_random_i32,Bitmask,Pcg32,,,17935665.0,ns,3943849
single_random_i32,Bitmask,Pcg32,,,18114853.0,ns,3987188
single_random_i32,Bitmask,Pcg32,,,18311904.0,ns,4030527
single_random_i32,Bitmask,Pcg32,,,18482455.0,ns,4073866
single_random_i32,Bitmask,Pcg32,,,18675239.0,ns,4117205
single_random_i32,Bitmask,Pcg32,,,18846842.0,ns,4160544
single_random_i32,Bitmask,Pcg32,,,19035517.0,ns,4203883
single_random_i32,Bitmask,Pcg32,,,19237968.0,ns,4247222
single_random_i32,Bitmask,Pcg32,,,19416904.0,ns,4290561
single_random_i32,Bitmask,Pcg32,,,19634764.0,ns,4333900
