group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Canon-Lemire,ChaCha8Rng,,,210787.0,ns,59628
single_random_i32,Canon-Lemire,ChaCha8Rng,,,393901.0,ns,119256
single_random_i32,Canon-Lemire,ChaCha8Rng,,,593808.0,ns,178884
single_random_i32,Canon-Lemire,ChaCha8Rng,,,786531.0,ns,238512
single_random_i32,Canon-Lemire,ChaCha8Rng,,,980396.0,ns,298140
single_random_i32,Canon-Lemire,ChaCha8Rng,,,1265061.0,ns,357768
single_random_i32,Canon-Lemire,ChaCha8Rng,,,1380048.0,ns,417396
single_random_i32,Canon-Lemire,ChaCha8Rng,,,1572780.0,ns,477024
single_random_i32,Canon-Lemire,ChaCha8Rng,,,1771695.0,ns,536652
single_random_i32,Canon-Lemire,ChaCha8Rng,,,2096918.0,ns,596280
single_random_i32,Canon-Lemire,ChaCha8Rng,,,2163724.0,ns,655908
single_random_i32,Canon-Lemire,ChaCha8Rng,,,2359292.0,ns,715536
single_random_i32,Canon-Lemire,ChaCha8Rng,,,2568436.0,ns,775164
single_random_i32,Canon-Lemire,ChaCha8Rng,,,2743865.0,ns,834792
single_random_i32,Canon-Lemire,ChaCha8Rng,,,2944944.0,ns,894420
single_random_i32,Canon-Lemire,ChaCha8Rng,,,3143358.0,ns,954048
single_random_i32,Canon-Lemire,ChaCha8Rng,,,3337904.0,ns,1013676
single_random_i32,Canon-Lemire,ChaCha8Rng,,,3542108.0,ns,1073304
single_random_i32,Canon-Lemire,ChaCha8Rng,,,3726315.0,ns,1132932
single_random_i32,Canon-Lemire,ChaCha8Rng,,,3933746.0,ns,1192560
single_random_i32,Canon-Lemire,ChaCha8Rng,,,4199486.0,ns,1252188
single_random_i32,Canon-Lemire,ChaCha8Rng,,,4336884.0,ns,1311816
single_random_i32,Canon-Lemire,ChaCha8Rng,,,4502476.0,ns,1371444
single_random_i32,Canon-Lemire,ChaCha8Rng,,,4719064.0,ns,1431072
single_random_i32,Canon-Lemire,ChaCha8Rng,,,4904663.0,ns,1490700
single_random_i32,Canon-Lemire,ChaCha8Rng,,,5106043.0,ns,1550328
single_random_i32,Canon-Lemire,ChaCha8Rng,,,5283627.0,ns,1609956
single_random_i32,Canon-Lemire,ChaCha8Rng,,,5496498.0,ns,1669584
single_random_i32,Canon-Lemire,ChaCha8Rng,,,5793898.0,ns,1729212
single_random_i32,Canon-Lemire,ChaCha8Rng,,,5886102.0,ns,1788840
single_random_i32,Canon-Lemire,ChaCha8Rng,,,6089615.0,ns,1848468
single_random_i32,Canon-Lemire,ChaCha8Rng,,,6293649.0,ns,1908096
single_random_i32,Canon-Lemire,ChaCha8Rng,,,6477896.0,ns,1967724
