group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,197752.0,ns,60204
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,394273.0,ns,120408
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,586885.0,ns,180612
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,789396.0,ns,240816
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,984093.0,ns,301020
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,1174862.0,ns,361224
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,1382172.0,ns,421428
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,1577390.0,ns,481632
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,1776585.0,ns,541836
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,1977723.0,ns,602040
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,2166980.0,ns,662244
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,2358981.0,ns,722448
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,2562274.0,ns,782652
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,2748705.0,ns,842856
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,2956086.0,ns,903060
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,3152285.0,ns,963264
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,3352893.0,ns,1023468
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,3529735.0,ns,1083672
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,3744650.0,ns,1143876
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,3934828.0,ns,1204080
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,4131768.0,ns,1264284
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,4320083.0,ns,1324488
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,4524969.0,ns,1384692
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,4719024.0,ns,1444896
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,4936233.0,ns,1505100
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,5117454.0,ns,1565304
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,5322490.0,ns,1625508
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,5510274.0,ns,1685712
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,5707325.0,ns,1745916
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,5900058.0,ns,1806120
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,6125121.0,ns,1866324
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,6319628.0,ns,1926528
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,6526387.0,ns,1986732
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,6698861.0,ns,2046936
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,6888628.0,ns,2107140
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,7093745.0,ns,2167344
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,7292068.0,ns,2227548
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,7495672.0,ns,2287752
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,7750932.0,ns,2347956
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,7861310.0,ns,2408160
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,8109256.0,ns,2468364
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,8306337.0,ns,2528568
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,8456901.0,ns,2588772
single_random_i32,Canon-Unbiased,ChaCha8Rng,,,8651507.0,ns,2648976
