group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Canon,Pcg32,,,196981.0,ns,58979
single_random_i32,Canon,Pcg32,,,395434.0,ns,117958
single_random_i32,Canon,Pcg32,,,590902.0,ns,176937
single_random_i32,Canon,Pcg32,,,789135.0,ns,235916
single_random_i32,Canon,Pcg32,,,987709.0,ns,294895
single_random_i32,Canon,Pcg32,,,1182947.0,ns,353874
single_random_i32,Canon,Pcg32,,,1380068.0,ns,412853
single_random_i32,Canon,Pcg32,,,1578051.0,ns,471832
single_random_i32,Canon,Pcg32,,,1774791.0,ns,530811
single_random_i32,Canon,Pcg32,,,1973376.0,ns,589790
single_random_i32,Canon,Pcg32,,,2169164.0,ns,648769
single_random_i32,Canon,Pcg32,,,2369832.0,ns,707748
single_random_i32,Canon,Pcg32,,,2567334.0,ns,766727
single_random_i32,Canon,Pcg32,,,2764385.0,ns,825706
single_random_i32,Canon,Pcg32,,,2960484.0,ns,884685
single_random_i32,Canon,Pcg32,,,3155050.0,ns,943664
single_random_i32,Canon,Pcg32,,,3348544.0,ns,1002643
single_random_i32,Canon,Pcg32,,,3531619.0,ns,1061622
single_random_i32,Canon,Pcg32,,,3733157.0,ns,1120601
single_random_i32,Canon,Pcg32,,,3937783.0,ns,1179580
single_random_i32,Canon,Pcg32,,,4138201.0,ns,1238559
single_random_i32,Canon,Pcg32,,,4326486.0,ns,1297538
single_random_i32,Canon,Pcg32,,,4525520.0,ns,1356517
single_random_i32,Canon,Pcg32,,,4724283.0,ns,1415496
single_random_i32,Canon,Pcg32,,,4929270.0,ns,1474475
single_random_i32,Canon,Pcg32,,,5127574.0,ns,1533454
single_random_i32,Canon,Pcg32,,,5319846.0,ns,1592433
single_random_i32,Canon,Pcg32,,,5504273.0,ns,1651412
single_random_i32,Canon,Pcg32,,,5718466.0,ns,1710391
single_random_i32,Canon,Pcg32,,,5907441.0,ns,1769370
single_random_i32,Canon,Pcg32,,,6103219.0,ns,1828349
single_random_i32,Canon,Pcg32,,,6301383.0,ns,1887328
single_random_i32,Canon,Pcg32,,,6501730.0,ns,1946307
single_random_i32,Canon,Pcg32,,,6707568.0,ns,2005286
single_random_i32,Canon,Pcg32,,,6891694.0,ns,2064265
single_random_i32,Canon,Pcg32,,,7083866.0,ns,2123244
single_random_i32,Canon,Pcg32,,,7257563.0,ns,2182223
single_random_i32,Canon,Pcg32,,,7463721.0,ns,2241202
single_random_i32,Canon,Pcg32,,,7650784.0,ns,2300181
single_random_i32,Canon,Pcg32,,,7845400.0,ns,2359160
single_random_i32,Canon,Pcg32,,,8042340.0,ns,2418139
single_random_i32,Canon,Pcg32,,,8243570.0,ns,2477118
single_random_i32,Canon,Pcg32,,,8434349.0,ns,2536097
single_random_i32,Canon,Pcg32,,,8631871.0,ns,2595076
single_random_i32,Canon,Pcg32,,,8830104.0,ns,2654055
single_random_i32,Canon,Pcg32,,,9023238.0,ns,2713034
single_random_i32,Canon,Pcg32,,,9218826.0,ns,2772013
single_random_i32,Canon,Pcg32,,,9414924.0,ns,2830992
single_random_i32,Canon,Pcg32,,,9612296.0,ns,2889971
single_random_i32,Canon,Pcg32,,,9820639.0,ns,2948950
single_random_i32,Canon,Pcg32,,,10008031.0,ns,3007929
single_random_i32,Canon,Pcg32,,,10201084.0,ns,3066908
single_random_i32,Canon,Pcg32,,,10395661.0,ns,3125887
single_random_i32,Canon,Pcg32,,,10593604.0,ns,3184866
single_random_i32,Canon,Pcg32,,,10789413.0,ns,3243845
single_random_i32,Canon,Pcg32,,,11002444.0,ns,3302824
single_random_i32,Canon,Pcg32,,,11196709.0,ns,3361803
single_random_i32,Canon,Pcg32,,,11391245.0,ns,3420782
single_random_i32,Canon,Pcg32,,,11586553.0,ns,3479761
single_random_i32,Canon,Pcg32,,,11784686.0,ns,3538740
single_random_i32,Canon,Pcg32,,,11988389.0,ns,3597719
single_random_i32,Canon,Pcg32,,,12176343.0,ns,3656698
single_random_i32,Canon,Pcg32,,,12378654.0,ns,3715677
single_random_i32,Canon,Pcg32,,,12558573.0,ns,3774656
single_random_i32,Canon,Pcg32,,,12748210.0,ns,3833635
single_random_i32,Canon,Pcg32,,,12946553.0,ns,3892614
single_random_i32,Canon,Pcg32,,,13143053.0,ns,3951593
single_random_i32,Canon,Pcg32,,,13342038.0,ns,4010572
single_random_i32,Canon,Pcg32,,,13523359.0,ns,4069551
single_random_i32,Canon,Pcg32,,,13711002.0,ns,4128530
single_random_i32,Canon,Pcg32,,,13924113.0,ns,4187509
single_random_i32,Canon,Pcg32,,,14115384.0,ns,4246488
single_random_i32,Canon,Pcg32,,,14303678.0,ns,4305467
single_random_i32,Canon,Pcg32,,,14497743.0,ns,4364446
single_random_i32,Canon,Pcg32,,,14697189.0,ns,4423425
single_random_i32,Canon,Pcg32,,,14896665.0,ns,4482404
single_random_i32,Canon,Pcg32,,,15093566.0,ns,4541383
single_random_i32,Canon,Pcg32,,,15292761.0,ns,4600362
single_random_i32,Canon,Pcg32,,,15474533.0,ns,4659341
single_random_i32,Canon,Pcg32,,,15683706.0,ns,4718320
single_random_i32,Canon,Pcg32,,,15856843.0,ns,4777299
single_random_i32,Canon,Pcg32,,,16054144.0,ns,4836278
single_random_i32,Canon,Pcg32,,,16220838.0,ns,4895257
single_random_i32,Canon,Pcg32,,,16424601.0,ns,4954236
single_random_i32,Canon,Pcg32,,,16620951.0,ns,5013215
single_random_i32,Canon,Pcg32,,,16826227.0,ns,5072194
single_random_i32,Canon,Pcg32,,,17025873.0,ns,5131173
single_random_i32,Canon,Pcg32,,,17219437.0,ns,5190152
single_random_i32,Canon,Pcg32,,,17417571.0,ns,5249131
single_random_i32,Canon,Pcg32,,,17609461.0,ns,5308110
single_random_i32,Canon,Pcg32,,,17832221.0,ns,5367089
single_random_i32,Canon,Pcg32,,,18031987.0,ns,5426068
single_random_i32,Canon,Pcg32,,,18258635.0,ns,5485047
single_random_i32,Canon,Pcg32,,,18414588.0,ns,5544026
single_random_i32,Canon,Pcg32,,,18626627.0,ns,5603005
single_random_i32,Canon,Pcg32,,,18820962.0,ns,5661984
single_random_i32,Canon,Pcg32,,,18992676.0,ns,5720963
single_random_i32,Canon,Pcg32,,,19197422.0,ns,5779942
single_random_i32,Canon,Pcg32,,,19399141.0,ns,5838921
single_random_i32,Canon,Pcg32,,,19571947.0,ns,5897900
