group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Canon64,SmallRng,,,199236.0,ns,378919
single_random_i32,Canon64,SmallRng,,,393601.0,ns,757838
single_random_i32,Canon64,SmallRng,,,591584.0,ns,1136757
single_random_i32,Canon64,SmallRng,,,800377.0,ns,1515676
single_random_i32,Canon64,SmallRng,,,984974.0,ns,1894595
single_random_i32,Canon64,SmallRng,,,1183067.0,ns,2273514
single_random_i32,Canon64,SmallRng,,,1383194.0,ns,2652433
single_random_i32,Canon64,SmallRng,,,1576057.0,ns,3031352
single_random_i32,Canon64,SmallRng,,,1771915.0,ns,3410271
single_random_i32,Canon64,SmallRng,,,1974657.0,ns,3789190
single_random_i32,Canon64,SmallRng,,,2172661.0,ns,4168109
single_random_i32,Canon64,SmallRng,,,2370843.0,ns,4547028
single_random_i32,Canon64,SmallRng,,,2562665.0,ns,4925947
single_random_i32,Canon64,SmallRng,,,2766077.0,ns,5304866
single_random_i32,Canon64,SmallRng,,,2977887.0,ns,5683785
single_random_i32,Canon64,SmallRng,,,3159759.0,ns,6062704
single_random_i32,Canon64,SmallRng,,,3354536.0,ns,6441623
single_random_i32,Canon64,SmallRng,,,3559732.0,ns,6820542
single_random_i32,Canon64,SmallRng,,,3763225.0,ns,7199461
single_random_i32,Canon64,SmallRng,,,3944916.0,ns,7578380
single_random_i32,Canon64,SmallRng,,,4157457.0,ns,7957299
single_random_i32,Canon64,SmallRng,,,4351411.0,ns,8336218
single_random_i32,Canon64,SmallRng,,,4529888.0,ns,8715137
single_random_i32,Canon64,SmallRng,,,4740234.0,ns,9094056
single_random_i32,Canon64,SmallRng,,,4935843.0,ns,9472975
single_random_i32,Canon64,SmallRng,,,5143113.0,ns,9851894
single_random_i32,Canon64,SmallRng,,,5322681.0,ns,10230813
single_random_i32,Canon64,SmallRng,,,5530662.0,ns,10609732
single_random_i32,Canon64,SmallRng,,,5723325.0,ns,10988651
single_random_i32,Canon64,SmallRng,,,5929943.0,ns,11367570
single_random_i32,Canon64,SmallRng,,,6121494.0,ns,11746489
single_random_i32,Canon64,SmallRng,,,6317253.0,ns,12125408
single_random_i32,Canon64,SmallRng,,,6513332.0,ns,12504327
single_random_i32,Canon64,SmallRng,,,6695495.0,ns,12883246
single_random_i32,Canon64,SmallRng,,,6892476.0,ns,13262165
single_random_i32,Canon64,SmallRng,,,7101740.0,ns,13641084
single_random_i32,Canon64,SmallRng,,,7296056.0,ns,14020003
single_random_i32,Canon64,SmallRng,,,7484200.0,ns,14398922
single_random_i32,Canon64,SmallRng,,,7682162.0,ns,14777841
single_random_i32,Canon64,SmallRng,,,7865548.0,ns,15156760
single_random_i32,Canon64,SmallRng,,,8066366.0,ns,15535679
single_random_i32,Canon64,SmallRng,,,8282483.0,ns,15914598
single_random_i32,Canon64,SmallRng,,,8456661.0,ns,16293517
single_random_i32,Canon64,SmallRng,,,8666616.0,ns,16672436
single_random_i32,Canon64,SmallRng,,,8850742.0,ns,17051355
single_random_i32,Canon64,SmallRng,,,9041201.0,ns,17430274
single_random_i32,Canon64,SmallRng,,,9246198.0,ns,17809193
single_random_i32,Canon64,SmallRng,,,9433630.0,ns,18188112
single_random_i32,Canon64,SmallRng,,,9651310.0,ns,18567031
single_random_i32,Canon64,SmallRng,,,9826149.0,ns,18945950
single_random_i32,Canon64,SmallRng,,,10039300.0,ns,19324869
single_random_i32,Canon64,SmallRng,,,10252471.0,ns,19703788
single_random_i32,Canon64,SmallRng,,,10455574.0,ns,20082707
single_random_i32,Canon64,SmallRng,,,10610125.0,ns,20461626
single_random_i32,Canon64,SmallRng,,,10846409.0,ns,20840545
single_random_i32,Canon64,SmallRng,,,11005810.0,ns,21219464
single_random_i32,Canon64,SmallRng,,,11226716.0,ns,21598383
single_random_i32,Canon64,SmallRng,,,11393068.0,ns,21977302
single_random_i32,Canon64,SmallRng,,,11621278.0,ns,22356221
single_random_i32,Canon64,SmallRng,,,11784225.0,ns,22735140
single_random_i32,Canon64,SmallRng,,,12004650.0,ns,23114059
single_random_i32,Canon64,SmallRng,,,12188426.0,ns,23492978
single_random_i32,Canon64,SmallRng,,,12378534.0,ns,23871897
single_random_i32,Canon64,SmallRng,,,12568642.0,ns,24250816
single_random_i32,Canon64,SmallRng,,,12773798.0,ns,24629735
single_random_i32,Canon64,SmallRng,,,12983593.0,ns,25008654
single_random_i32,Canon64,SmallRng,,,13147462.0,ns,25387573
single_random_i32,Canon64,SmallRng,,,13369560.0,ns,25766492
single_random_i32,Canon64,SmallRng,,,13551772.0,ns,26145411
single_random_i32,Canon64,SmallRng,,,13751338.0,ns,26524330
single_random_i32,Canon64,SmallRng,,,13952808.0,ns,26903249
single_random_i32,Canon64,SmallRng,,,14147996.0,ns,27282168
single_random_i32,Canon64,SmallRng,,,14329587.0,ns,27661087
single_random_i32,Canon64,SmallRng,,,14541265.0,ns,28040006
single_random_i32,Canon64,SmallRng,,,14731173.0,ns,28418925
single_random_i32,Canon64,SmallRng,,,14909549.0,ns,28797844
single_random_i32,Canon64,SmallRng,,,15130706.0,ns,29176763
single_random_i32,Canon64,SmallRng,,,15314411.0,ns,29555682
single_random_i32,Canon64,SmallRng,,,15523024.0,ns,29934601
single_random_i32,Canon64,SmallRng,,,15708543.0,ns,30313520
single_random_i32,Canon64,SmallRng,,,15901125.0,ns,30692439
single_random_i32,Canon64,SmallRng,,,16103296.0,ns,31071358
single_random_i32,Canon64,SmallRng,,,16315095.0,ns,31450277
single_random_i32,Canon64,SmallRng,,,16479374.0,ns,31829196
single_random_i32,Canon64,SmallRng,,,16691213.0,ns,32208115
single_random_i32,Canon64,SmallRng,,,16890218.0,ns,32587034
single_random_i32,Canon64,SmallRng,,,17094322.0,ns,32965953
single_random_i32,Canon64,SmallRng,,,17390710.0,ns,33344872
single_random_i32,Canon64,SmallRng,,,17503202.0,ns,33723791
single_random_i32,Canon64,SmallRng,,,17735419.0,ns,34102710
single_random_i32,Canon64,SmallRng,,,17926388.0,ns,34481629
single_random_i32,Canon64,SmallRng,,,18100617.0,ns,34860548
single_random_i32,Canon64,SmallRng,,,18299431.0,ns,35239467
single_random_i32,Canon64,SmallRng,,,18451217.0,ns,35618386
single_random_i32,Canon64,SmallRng,,,18639321.0,ns,35997305
single_random_i32,Canon64,SmallRng,,,18857652.0,ns,36376224
single_random_i32,Canon64,SmallRng,,,19057347.0,ns,36755143
single_random_i32,Canon64,SmallRng,,,19241064.0,ns,37134062
single_random_i32,Canon64,SmallRng,,,19434277.0,ns,37512981
single_random_i32,Canon64,SmallRng,,,19630106.0,ns,37891900
