group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,ChaCha8Rng,Bitmask,,,198704.0,ns,33780
single_random_i32,ChaCha8Rng,Bitmask,,,399812.0,ns,67560
single_random_i32,ChaCha8Rng,Bitmask,,,591694.0,ns,101340
single_random_i32,ChaCha8Rng,Bitmask,,,788805.0,ns,135120
single_random_i32,ChaCha8Rng,Bitmask,,,980575.0,ns,168900
single_random_i32,ChaCha8Rng,Bitmask,,,1182315.0,ns,202680
single_random_i32,ChaCha8Rng,Bitmask,,,1373075.0,ns,236460
single_random_i32,ChaCha8Rng,Bitmask,,,1574804.0,ns,270240
single_random_i32,ChaCha8Rng,Bitmask,,,1762598.0,ns,304020
single_random_i32,ChaCha8Rng,Bitmask,,,1965610.0,ns,337800
single_random_i32,ChaCha8Rng,Bitmask,,,2167410.0,ns,371580
single_random_i32,ChaCha8Rng,Bitmask,,,2360593.0,ns,405360
single_random_i32,ChaCha8Rng,Bitmask,,,2563645.0,ns,439140
single_random_i32,ChaCha8Rng,Bitmask,,,2756579.0,ns,472920
single_random_i32,ChaCha8Rng,Bitmask,,,2957747.0,ns,506700
single_random_i32,ChaCha8Rng,Bitmask,,,3150029.0,ns,540480
single_random_i32,ChaCha8Rng,Bitmask,,,3350657.0,ns,574260
single_random_i32,ChaCha8Rng,Bitmask,,,3559009.0,ns,608040
single_random_i32,ChaCha8Rng,Bitmask,,,3747804.0,ns,641820
single_random_i32,ChaCha8Rng,Bitmask,,,3929817.0,ns,675600
single_random_i32,ChaCha8Rng,Bitmask,,,4119153.0,ns,709380
single_random_i32,ChaCha8Rng,Bitmask,,,4324801.0,ns,743160
single_random_i32,ChaCha8Rng,Bitmask,,,4524647.0,ns,776940
single_random_i32,ChaCha8Rng,Bitmask,,,4710166.0,ns,810720
single_random_i32,ChaCha8Rng,Bitmask,,,4917847.0,ns,844500
single_random_i32,ChaCha8Rng,Bitmask,,,5114266.0,ns,878280
single_random_i32,ChaCha8Rng,Bitmask,,,5325123.0,ns,912060
single_random_i32,ChaCha8Rng,Bitmask,,,5507286.0,ns,945840
single_random_i32,ChaCha8Rng,Bitmask,,,5712082.0,ns,979620
single_random_i32,ChaCha8Rng,Bitmask,,,5915605.0,ns,1013400
single_random_i32,ChaCha8Rng,Bitmask,,,6097297.0,ns,1047180
single_random_i32,ChaCha8Rng,Bitmask,,,6294938.0,ns,1080960
single_random_i32,ChaCha8Rng,Bitmask,,,6506927.0,ns,1114740
single_random_i32,ChaCha8Rng,Bitmask,,,6685123.0,ns,1148520
single_random_i32,ChaCha8Rng,Bitmask,,,6934683.0,ns,1182300
single_random_i32,ChaCha8Rng,Bitmask,,,7077141.0,ns,1216080
single_random_i32,ChaCha8Rng,Bitmask,,,7294550.0,ns,1249860
single_random_i32,ChaCha8Rng,Bitmask,,,7472185.0,ns,1283640
single_random_i32,ChaCha8Rng,Bitmask,,,7666290.0,ns,1317420
single_random_i32,ChaCha8Rng,Bitmask,,,7839376.0,ns,1351200
single_random_i32,ChaCha8Rng,Bitmask,,,8072675.0,ns,1384980
single_random_i32,ChaCha8Rng,Bitmask,,,8249617.0,ns,1418760
single_random_i32,ChaCha8Rng,Bitmask,,,8434816.0,ns,1452540
single_random_i32,ChaCha8Rng,Bitmask,,,8604846.0,ns,1486320
single_random_i32,ChaCha8Rng,Bitmask,,,8809832.0,ns,1520100
single_random_i32,ChaCha8Rng,Bitmask,,,8995742.0,ns,1553880
single_random_i32,ChaCha8Rng,Bitmask,,,9200007.0,ns,1587660
single_random_i32,ChaCha8Rng,Bitmask,,,9399442.0,ns,1621440
single_random_i32,ChaCha8Rng,Bitmask,,,9597344.0,ns,1655220
single_random_i32,ChaCha8Rng,Bitmask,,,9785278.0,ns,1689000
single_random_i32,ChaCha8Rng,Bitmask,,,9971488.0,ns,1722780
single_random_i32,ChaCha8Rng,Bitmask,,,10174540.0,ns,1756560
single_random_i32,ChaCha8Rng,Bitmask,,,10363526.0,ns,1790340
single_random_i32,ChaCha8Rng,Bitmask,,,10573922.0,ns,1824120
single_random_i32,ChaCha8Rng,Bitmask,,,10761405.0,ns,1857900
single_random_i32,ChaCha8Rng,Bitmask,,,10969657.0,ns,1891680
single_random_i32,ChaCha8Rng,Bitmask,,,11153763.0,ns,1925460
single_random_i32,ChaCha8Rng,Bitmask,,,11338772.0,ns,1959240
single_random_i32,ChaCha8Rng,Bitmask,,,11543528.0,ns,1993020
single_random_i32,ChaCha8Rng,Bitmask,,,11723085.0,ns,2026800
single_random_i32,ChaCha8Rng,Bitmask,,,11949141.0,ns,2060580
single_random_i32,ChaCha8Rng,Bitmask,,,12094063.0,ns,2094360
single_random_i32,ChaCha8Rng,Bitmask,,,12315691.0,ns,2128140
single_random_i32,ChaCha8Rng,Bitmask,,,12517401.0,ns,2161920
single_random_i32,ChaCha8Rng,Bitmask,,,12705935.0,ns,2195700
single_random_i32,ChaCha8Rng,Bitmask,,,12902796.0,ns,2229480
single_random_i32,ChaCha8Rng,Bitmask,,,13122339.0,ns,2263260
single_random_i32,ChaCha8Rng,Bitmask,,,13289012.0,ns,2297040
single_random_i32,ChaCha8Rng,Bitmask,,,13486705.0,ns,2330820
single_random_i32,ChaCha8Rng,Bitmask,,,13677765.0,ns,2364600
single_random_i32,ChaCha8Rng,Bitmask,,,13876379.0,ns,2398380
single_random_i32,ChaCha8Rng,Bitmask,,,14103666.0,ns,2432160
single_random_i32,ChaCha8Rng,Bitmask,,,14269739.0,ns,2465940
single_random_i32,ChaCha8Rng,Bitmask,,,14462301.0,ns,2499720
single_random_i32,ChaCha8Rng,Bitmask,,,14724765.0,ns,2533500
single_random_i32,ChaCha8Rng,Bitmask,,,14915384.0,ns,2567280
single_random_i32,ChaCha8Rng,Bitmask,,,15096965.0,ns,2601060
single_random_i32,ChaCha8Rng,Bitmask,,,15330466.0,ns,2634840
single_random_i32,ChaCha8Rng,Bitmask,,,15494032.0,ns,2668620
single_random_i32,ChaCha8Rng,Bitmask,,,15694070.0,ns,2702400
single_random_i32,ChaCha8Rng,Bitmask,,,15884167.0,ns,2736180
single_random_i32,ChaCha8Rng,Bitmask,,,16074305.0,ns,2769960
single_random_i32,ChaCha8Rng,Bitmask,,,16229557.0,ns,2803740
single_random_i32,ChaCha8Rng,Bitmask,,,16432179.0,ns,2837520
single_random_i32,ChaCha8Rng,Bitmask,,,16644990.0,ns,2871300
single_random_i32,ChaCha8Rng,Bitmask,,,16855084.0,ns,2905080
single_random_i32,ChaCha8Rng,Bitmask,,,17048789.0,ns,2938860
single_random_i32,ChaCha8Rng,Bitmask,,,17229058.0,ns,2972640
single_random_i32,ChaCha8Rng,Bitmask,,,17430257.0,ns,3006420
single_random_i32,ChaCha8Rng,Bitmask,,,17588095.0,ns,3040200
single_random_i32,ChaCha8Rng,Bitmask,,,17794623.0,ns,3073980
single_random_i32,ChaCha8Rng,Bitmask,,,17984320.0,ns,3107760
single_random_i32,ChaCha8Rng,Bitmask,,,18167175.0,ns,3141540
single_random_i32,ChaCha8Rng,Bitmask,,,18375557.0,ns,3175320
single_random_i32,ChaCha8Rng,Bitmask,,,18563149.0,ns,3209100
single_random_i32,ChaCha8Rng,Bitmask,,,18758638.0,ns,3242880
single_random_i32,ChaCha8Rng,Bitmask,,,18950989.0,ns,3276660
single_random_i32,ChaCha8Rng,Bitmask,,,19133173.0,ns,3310440
single_random_i32,ChaCha8Rng,Bitmask,,,19370219.0,ns,3344220
single_random_i32,ChaCha8Rng,Bitmask,,,19534868.0,ns,3378000
