group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg32,Canon64,,,197542.0,ns,234128
single_random_i32,Pcg32,Canon64,,,396456.0,ns,468256
single_random_i32,Pcg32,Canon64,,,592615.0,ns,702384
single_random_i32,Pcg32,Canon64,,,791349.0,ns,936512
single_random_i32,Pcg32,Canon64,,,988781.0,ns,1170640
single_random_i32,Pcg32,Canon64,,,1180883.0,ns,1404768
single_random_i32,Pcg32,Canon64,,,1380568.0,ns,1638896
single_random_i32,Pcg32,Canon64,,,1581787.0,ns,1873024
single_random_i32,Pcg32,Canon64,,,1780852.0,ns,2107152
single_random_i32,Pcg32,Canon64,,,1974797.0,ns,2341280
single_random_i32,Pcg32,Canon64,,,2174664.0,ns,2575408
single_random_i32,Pcg32,Canon64,,,2360413.0,ns,2809536
single_random_i32,Pcg32,Canon64,,,2555731.0,ns,3043664
single_random_i32,Pcg32,Canon64,,,2748924.0,ns,3277792
single_random_i32,Pcg32,Canon64,,,2959421.0,ns,3511920
single_random_i32,Pcg32,Canon64,,,3153816.0,ns,3746048
single_random_i32,Pcg32,Canon64,,,3356498.0,ns,3980176
single_random_i32,Pcg32,Canon64,,,3552768.0,ns,4214304
single_random_i32,Pcg32,Canon64,,,3752785.0,ns,4448432
single_random_i32,Pcg32,Canon64,,,3948472.0,ns,4682560
single_random_i32,Pcg32,Canon64,,,4145223.0,ns,4916688
single_random_i32,Pcg32,Canon64,,,4341884.0,ns,5150816
single_random_i32,Pcg32,Canon64,,,4541579.0,ns,5384944
single_random_i32,Pcg32,Canon64,,,4743339.0,ns,5619072
single_random_i32,Pcg32,Canon64,,,4924480.0,ns,5853200
single_random_i32,Pcg32,Canon64,,,5131350.0,ns,6087328
single_random_i32,Pcg32,Canon64,,,5324002.0,ns,6321456
single_random_i32,Pcg32,Canon64,,,5509341.0,ns,6555584
single_random_i32,Pcg32,Canon64,,,5711812.0,ns,6789712
single_random_i32,Pcg32,Canon64,,,5915806.0,ns,7023840
single_random_i32,Pcg32,Canon64,,,6115131.0,ns,7257968
single_random_i32,Pcg32,Canon64,,,6320688.0,ns,7492096
single_random_i32,Pcg32,Canon64,,,6511367.0,ns,7726224
single_random_i32,Pcg32,Canon64,,,6708077.0,ns,7960352
single_random_i32,Pcg32,Canon64,,,6908755.0,ns,8194480
single_random_i32,Pcg32,Canon64,,,7103782.0,ns,8428608
single_random_i32,Pcg32,Canon64,,,7296175.0,ns,8662736
single_random_i32,Pcg32,Canon64,,,7437490.0,ns,8896864
single_random_i32,Pcg32,Canon64,,,7595518.0,ns,9130992
single_random_i32,Pcg32,Canon64,,,7776388.0,ns,9365120
single_random_i32,Pcg32,Canon64,,,7979401.0,ns,9599248
single_random_i32,Pcg32,Canon64,,,8139172.0,ns,9833376
single_random_i32,Pcg32,Canon64,,,8328618.0,ns,10067504
single_random_i32,Pcg32,Canon64,,,8525789.0,ns,10301632
single_random_i32,Pcg32,Canon64,,,8715146.0,ns,10535760
single_random_i32,Pcg32,Canon64,,,8912277.0,ns,10769888
single_random_i32,Pcg32,Canon64,,,9177977.0,ns,11004016
single_random_i32,Pcg32,Canon64,,,9431895.0,ns,11238144
single_random_i32,Pcg32,Canon64,,,9634416.0,ns,11472272
single_random_i32,Pcg32,Canon64,,,9828622.0,ns,11706400
single_random_i32,Pcg32,Canon64,,,10030773.0,ns,11940528
single_random_i32,Pcg32,Canon64,,,10200672.0,ns,12174656
single_random_i32,Pcg32,Canon64,,,10325236.0,ns,12408784
single_random_i32,Pcg32,Canon64,,,10463887.0,ns,12642912
single_random_i32,Pcg32,Canon64,,,10654346.0,ns,12877040
single_random_i32,Pcg32,Canon64,,,10845726.0,ns,13111168
single_random_i32,Pcg32,Canon64,,,11057435.0,ns,13345296
single_random_i32,Pcg32,Canon64,,,11242934.0,ns,13579424
single_random_i32,Pcg32,Canon64,,,11438974.0,ns,13813552
single_random_i32,Pcg32,Canon64,,,11624463.0,ns,14047680
single_random_i32,Pcg32,Canon64,,,11814360.0,ns,14281808
single_random_i32,Pcg32,Canon64,,,12009948.0,ns,14515936
single_random_i32,Pcg32,Canon64,,,12201719.0,ns,14750064
single_random_i32,Pcg32,Canon64,,,12398569.0,ns,14984192
single_random_i32,Pcg32,Canon64,,,12588477.0,ns,15218320
single_random_i32,Pcg32,Canon64,,,12783834.0,ns,15452448
single_random_i32,Pcg32,Canon64,,,12979143.0,ns,15686576
single_random_i32,Pcg32,Canon64,,,13179490.0,ns,15920704
single_random_i32,Pcg32,Canon64,,,13365459.0,ns,16154832
single_random_i32,Pcg32,Canon64,,,13557962.0,ns,16388960
single_random_i32,Pcg32,Canon64,,,13752819.0,ns,16623088
single_random_i32,Pcg32,Canon64,,,13945441.0,ns,16857216
single_random_i32,Pcg32,Canon64,,,14138735.0,ns,17091344
single_random_i32,Pcg32,Canon64,,,14332730.0,ns,17325472
single_random_i32,Pcg32,Canon64,,,14528329.0,ns,17559600
single_random_i32,Pcg32,Canon64,,,14718807.0,ns,17793728
single_random_i32,Pcg32,Canon64,,,14914997.0,ns,18027856
single_random_i32,Pcg32,Canon64,,,15108510.0,ns,18261984
single_random_i32,Pcg32,Canon64,,,15310111.0,ns,18496112
single_random_i32,Pcg32,Canon64,,,15492975.0,ns,18730240
single_random_i32,Pcg32,Canon64,,,15689945.0,ns,18964368
single_random_i32,Pcg32,Canon64,,,15885603.0,ns,19198496
single_random_i32,Pcg32,Canon64,,,16075752.0,ns,19432624
single_random_i32,Pcg32,Canon64,,,16267903.0,ns,19666752
single_random_i32,Pcg32,Canon64,,,16465004.0,ns,19900880
single_random_i32,Pcg32,Canon64,,,16654943.0,ns,20135008
single_random_i32,Pcg32,Canon64,,,16851342.0,ns,20369136
single_random_i32,Pcg32,Canon64,,,17042412.0,ns,20603264
single_random_i32,Pcg32,Canon64,,,17254651.0,ns,20837392
single_random_i32,Pcg32,Canon64,,,17433227.0,ns,21071520
single_random_i32,Pcg32,Canon64,,,17624427.0,ns,21305648
single_random_i32,Pcg32,Canon64,,,17823471.0,ns,21539776
single_random_i32,Pcg32,Canon64,,,18011145.0,ns,21773904
single_random_i32,Pcg32,Canon64,,,18204359.0,ns,22008032
single_random_i32,Pcg32,Canon64,,,18397242.0,ns,22242160
single_random_i32,Pcg32,Canon64,,,18594543.0,ns,22476288
single_random_i32,Pcg32,Canon64,,,18784571.0,ns,22710416
single_random_i32,Pcg32,Canon64,,,19014594.0,ns,22944544
single_random_i32,Pcg32,Canon64,,,19184273.0,ns,23178672
single_random_i32,Pcg32,Canon64,,,19372628.0,ns,23412800
