group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg64,ONeill,,,197522.0,ns,27218
single_random_i32,Pcg64,ONeill,,,395555.0,ns,54436
single_random_i32,Pcg64,ONeill,,,595261.0,ns,81654
single_random_i32,Pcg64,ONeill,,,792622.0,ns,108872
single_random_i32,Pcg64,ONeill,,,986868.0,ns,136090
single_random_i32,Pcg64,ONeill,,,1179350.0,ns,163308
single_random_i32,Pcg64,ONeill,,,1386109.0,ns,190526
single_random_i32,Pcg64,ONeill,,,1581096.0,ns,217744
single_random_i32,Pcg64,ONeill,,,1773769.0,ns,244962
single_random_i32,Pcg64,ONeill,,,1971842.0,ns,272180
single_random_i32,Pcg64,ONeill,,,2189932.0,ns,299398
single_random_i32,Pcg64,ONeill,,,2369149.0,ns,326616
single_random_i32,Pcg64,ONeill,,,2582280.0,ns,353834
single_random_i32,Pcg64,ONeill,,,2773320.0,ns,381052
single_random_i32,Pcg64,ONeill,,,2951626.0,ns,408270
single_random_i32,Pcg64,ONeill,,,3157633.0,ns,435488
single_random_i32,Pcg64,ONeill,,,3344004.0,ns,462706
single_random_i32,Pcg64,ONeill,,,3547818.0,ns,489924
single_random_i32,Pcg64,ONeill,,,3759406.0,ns,517142
single_random_i32,Pcg64,ONeill,,,3936560.0,ns,544360
single_random_i32,Pcg64,ONeill,,,4139803.0,ns,571578
single_random_i32,Pcg64,ONeill,,,4329289.0,ns,598796
single_random_i32,Pcg64,ONeill,,,4532621.0,ns,626014
single_random_i32,Pcg64,ONeill,,,4745062.0,ns,653232
single_random_i32,Pcg64,ONeill,,,4927375.0,ns,680450
single_random_i32,Pcg64,ONeill,,,5125498.0,ns,707668
single_random_i32,Pcg64,ONeill,,,5330002.0,ns,734886
single_random_i32,Pcg64,ONeill,,,5510542.0,ns,762104
single_random_i32,Pcg64,ONeill,,,5723372.0,ns,789322
single_random_i32,Pcg64,ONeill,,,5913520.0,ns,816540
single_random_i32,Pcg64,ONeill,,,6101484.0,ns,843758
single_random_i32,Pcg64,ONeill,,,6311710.0,ns,870976
single_random_i32,Pcg64,ONeill,,,6511506.0,ns,898194
single_random_i32,Pcg64,ONeill,,,6688670.0,ns,925412
single_random_i32,Pcg64,ONeill,,,6899787.0,ns,952630
single_random_i32,Pcg64,ONeill,,,7097489.0,ns,979848
single_random_i32,Pcg64,ONeill,,,7295511.0,ns,1007066
single_random_i32,Pcg64,ONeill,,,7510466.0,ns,1034284
single_random_i32,Pcg64,ONeill,,,7683011.0,ns,1061502
single_random_i32,Pcg64,ONeill,,,7883439.0,ns,1088720
single_random_i32,Pcg64,ONeill,,,8061614.0,ns,1115938
single_random_i32,Pcg64,ONeill,,,8244928.0,ns,1143156
single_random_i32,Pcg64,ONeill,,,8438784.0,ns,1170374
single_random_i32,Pcg64,ONeill,,,8666933.0,ns,1197592
single_random_i32,Pcg64,ONeill,,,8861429.0,ns,1224810
single_random_i32,Pcg64,ONeill,,,9103755.0,ns,1252028
