group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Canon-Lemire,Pcg64,,,983682.0,ns,243210
single_random_i64,Canon-Lemire,Pcg64,,,1971281.0,ns,486420
single_random_i64,Canon-Lemire,Pcg64,,,2966134.0,ns,729630
single_random_i64,Canon-Lemire,Pcg64,,,3941180.0,ns,972840
single_random_i64,Canon-Lemire,Pcg64,,,4930192.0,ns,1216050
single_random_i64,Canon-Lemire,Pcg64,,,5916819.0,ns,1459260
single_random_i64,Canon-Lemire,Pcg64,,,6914387.0,ns,1702470
single_random_i64,Canon-Lemire,Pcg64,,,7879064.0,ns,1945680
single_random_i64,Canon-Lemire,Pcg64,,,8872614.0,ns,2188890
single_random_i64,Canon-Lemire,Pcg64,,,9878608.0,ns,2432100
single_random_i64,Canon-Lemire,Pcg64,,,10864173.0,ns,2675310
single_random_i64,Canon-Lemire,Pcg64,,,11846071.0,ns,2918520
single_random_i64,Canon-Lemire,Pcg64,,,12798915.0,ns,3161730
single_random_i64,Canon-Lemire,Pcg64,,,13793688.0,ns,3404940
single_random_i64,Canon-Lemire,Pcg64,,,14758174.0,ns,3648150
single_random_i64,Canon-Lemire,Pcg64,,,15772593.0,ns,3891360
single_random_i64,Canon-Lemire,Pcg64,,,16739253.0,ns,4134570
single_random_i64,Canon-Lemire,Pcg64,,,17762310.0,ns,4377780
single_random_i64,Canon-Lemire,Pcg64,,,18733738.0,ns,4620990
single_random_i64,Canon-Lemire,Pcg64,,,19715968.0,ns,4864200
single_random_i64,Canon-Lemire,Pcg64,,,20713495.0,ns,5107410
single_random_i64,Canon-Lemire,Pcg64,,,21708058.0,ns,5350620
single_random_i64,Canon-Lemire,Pcg64,,,22688454.0,ns,5593830
single_random_i64,Canon-Lemire,Pcg64,,,23678187.0,ns,5837040
single_random_i64,Canon-Lemire,Pcg64,,,24660626.0,ns,6080250
single_random_i64,Canon-Lemire,Pcg64,,,25637365.0,ns,6323460
single_random_i64,Canon-Lemire,Pcg64,,,26611419.0,ns,6566670
single_random_i64,Canon-Lemire,Pcg64,,,27609267.0,ns,6809880
single_random_i64,Canon-Lemire,Pcg64,,,28586587.0,ns,7053090
single_random_i64,Canon-Lemire,Pcg64,,,29544491.0,ns,7296300
single_random_i64,Canon-Lemire,Pcg64,,,30517703.0,ns,7539510
single_random_i64,Canon-Lemire,Pcg64,,,31502597.0,ns,7782720
single_random_i64,Canon-Lemire,Pcg64,,,32489035.0,ns,8025930
single_random_i64,Canon-Lemire,Pcg64,,,33478668.0,ns,8269140
single_random_i64,Canon-Lemire,Pcg64,,,34455066.0,ns,8512350
single_random_i64,Canon-Lemire,Pcg64,,,35422086.0,ns,8755560
single_random_i64,Canon-Lemire,Pcg64,,,36400808.0,ns,8998770
single_random_i64,Canon-Lemire,Pcg64,,,37403125.0,ns,9241980
single_random_i64,Canon-Lemire,Pcg64,,,38397057.0,ns,9485190
single_random_i64,Canon-Lemire,Pcg64,,,39388393.0,ns,9728400
single_random_i64,Canon-Lemire,Pcg64,,,40346488.0,ns,9971610
single_random_i64,Canon-Lemire,Pcg64,,,41329698.0,ns,10214820
single_random_i64,Canon-Lemire,Pcg64,,,42365768.0,ns,10458030
single_random_i64,Canon-Lemire,Pcg64,,,43343459.0,ns,10701240
single_random_i64,Canon-Lemire,Pcg64,,,44323153.0,ns,10944450
single_random_i64,Canon-Lemire,Pcg64,,,45288101.0,ns,11187660
single_random_i64,Canon-Lemire,Pcg64,,,46271712.0,ns,11430870
single_random_i64,Canon-Lemire,Pcg64,,,47311810.0,ns,11674080
single_random_i64,Canon-Lemire,Pcg64,,,48327091.0,ns,11917290
single_random_i64,Canon-Lemire,Pcg64,,,49299462.0,ns,12160500
single_random_i64,Canon-Lemire,Pcg64,,,50263436.0,ns,12403710
single_random_i64,Canon-Lemire,Pcg64,,,51251767.0,ns,12646920
single_random_i64,Canon-Lemire,Pcg64,,,52332162.0,ns,12890130
single_random_i64,Canon-Lemire,Pcg64,,,53298210.0,ns,13133340
single_random_i64,Canon-Lemire,Pcg64,,,54228541.0,ns,13376550
single_random_i64,Canon-Lemire,Pcg64,,,55196053.0,ns,13619760
single_random_i64,Canon-Lemire,Pcg64,,,56200634.0,ns,13862970
single_random_i64,Canon-Lemire,Pcg64,,,57133730.0,ns,14106180
single_random_i64,Canon-Lemire,Pcg64,,,58142880.0,ns,14349390
single_random_i64,Canon-Lemire,Pcg64,,,59131452.0,ns,14592600
single_random_i64,Canon-Lemire,Pcg64,,,60090618.0,ns,14835810
single_random_i64,Canon-Lemire,Pcg64,,,61120666.0,ns,15079020
single_random_i64,Canon-Lemire,Pcg64,,,62080013.0,ns,15322230
single_random_i64,Canon-Lemire,Pcg64,,,63068233.0,ns,15565440
