group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Canon-Unbiased,Pcg32,,,988270.0,ns,124778
single_random_i64,Canon-Unbiased,Pcg32,,,1975769.0,ns,249556
single_random_i64,Canon-Unbiased,Pcg32,,,2966625.0,ns,374334
single_random_i64,Canon-Unbiased,Pcg32,,,3952901.0,ns,499112
single_random_i64,Canon-Unbiased,Pcg32,,,4953034.0,ns,623890
single_random_i64,Canon-Unbiased,Pcg32,,,5938470.0,ns,748668
single_random_i64,Canon-Unbiased,Pcg32,,,6919227.0,ns,873446
single_random_i64,Canon-Unbiased,Pcg32,,,7915713.0,ns,998224
single_random_i64,Canon-Unbiased,Pcg32,,,8905506.0,ns,1123002
single_random_i64,Canon-Unbiased,Pcg32,,,9894557.0,ns,1247780
single_random_i64,Canon-Unbiased,Pcg32,,,10885093.0,ns,1372558
single_random_i64,Canon-Unbiased,Pcg32,,,11875377.0,ns,1497336
single_random_i64,Canon-Unbiased,Pcg32,,,12846124.0,ns,1622114
single_random_i64,Canon-Unbiased,Pcg32,,,13843752.0,ns,1746892
single_random_i64,Canon-Unbiased,Pcg32,,,14835900.0,ns,1871670
single_random_i64,Canon-Unbiased,Pcg32,,,15836584.0,ns,1996448
single_random_i64,Canon-Unbiased,Pcg32,,,16810428.0,ns,2121226
single_random_i64,Canon-Unbiased,Pcg32,,,17803286.0,ns,2246004
single_random_i64,Canon-Unbiased,Pcg32,,,18786147.0,ns,2370782
single_random_i64,Canon-Unbiased,Pcg32,,,19789345.0,ns,2495560
single_random_i64,Canon-Unbiased,Pcg32,,,20766315.0,ns,2620338
single_random_i64,Canon-Unbiased,Pcg32,,,21759355.0,ns,2745116
single_random_i64,Canon-Unbiased,Pcg32,,,22755921.0,ns,2869894
single_random_i64,Canon-Unbiased,Pcg32,,,23743589.0,ns,2994672
single_random_i64,Canon-Unbiased,Pcg32,,,24739475.0,ns,3119450
single_random_i64,Canon-Unbiased,Pcg32,,,25714390.0,ns,3244228
single_random_i64,Canon-Unbiased,Pcg32,,,26687653.0,ns,3369006
single_random_i64,Canon-Unbiased,Pcg32,,,27702453.0,ns,3493784
single_random_i64,Canon-Unbiased,Pcg32,,,28675374.0,ns,3618562
single_random_i64,Canon-Unbiased,Pcg32,,,29660700.0,ns,3743340
single_random_i64,Canon-Unbiased,Pcg32,,,30672073.0,ns,3868118
single_random_i64,Canon-Unbiased,Pcg32,,,32927059.0,ns,3992896
single_random_i64,Canon-Unbiased,Pcg32,,,32642413.0,ns,4117674
single_random_i64,Canon-Unbiased,Pcg32,,,33653426.0,ns,4242452
single_random_i64,Canon-Unbiased,Pcg32,,,34616239.0,ns,4367230
single_random_i64,Canon-Unbiased,Pcg32,,,35615079.0,ns,4492008
single_random_i64,Canon-Unbiased,Pcg32,,,36598060.0,ns,4616786
single_random_i64,Canon-Unbiased,Pcg32,,,37581732.0,ns,4741564
single_random_i64,Canon-Unbiased,Pcg32,,,38609457.0,ns,4866342
single_random_i64,Canon-Unbiased,Pcg32,,,39537484.0,ns,4991120
single_random_i64,Canon-Unbiased,Pcg32,,,40550611.0,ns,5115898
single_random_i64,Canon-Unbiased,Pcg32,,,41542318.0,ns,5240676
single_random_i64,Canon-Unbiased,Pcg32,,,43872686.0,ns,5365454
single_random_i64,Canon-Unbiased,Pcg32,,,43565737.0,ns,5490232
single_random_i64,Canon-Unbiased,Pcg32,,,44529251.0,ns,5615010
single_random_i64,Canon-Unbiased,Pcg32,,,45529624.0,ns,5739788
single_random_i64,Canon-Unbiased,Pcg32,,,46496305.0,ns,5864566
single_random_i64,Canon-Unbiased,Pcg32,,,47462353.0,ns,5989344
single_random_i64,Canon-Unbiased,Pcg32,,,48463498.0,ns,6114122
single_random_i64,Canon-Unbiased,Pcg32,,,49459323.0,ns,6238900
single_random_i64,Canon-Unbiased,Pcg32,,,50442954.0,ns,6363678
single_random_i64,Canon-Unbiased,Pcg32,,,51444410.0,ns,6488456
single_random_i64,Canon-Unbiased,Pcg32,,,52437850.0,ns,6613234
single_random_i64,Canon-Unbiased,Pcg32,,,53440467.0,ns,6738012
single_random_i64,Canon-Unbiased,Pcg32,,,54398982.0,ns,6862790
single_random_i64,Canon-Unbiased,Pcg32,,,55418452.0,ns,6987568
single_random_i64,Canon-Unbiased,Pcg32,,,56428222.0,ns,7112346
single_random_i64,Canon-Unbiased,Pcg32,,,57390394.0,ns,7237124
single_random_i64,Canon-Unbiased,Pcg32,,,58383834.0,ns,7361902
single_random_i64,Canon-Unbiased,Pcg32,,,59410827.0,ns,7486680
single_random_i64,Canon-Unbiased,Pcg32,,,60369523.0,ns,7611458
single_random_i64,Canon-Unbiased,Pcg32,,,61375846.0,ns,7736236
single_random_i64,Canon-Unbiased,Pcg32,,,62348478.0,ns,7861014
single_random_i64,Canon-Unbiased,Pcg32,,,63299940.0,ns,7985792
single_random_i64,Canon-Unbiased,Pcg32,,,64295774.0,ns,8110570
single_random_i64,Canon-Unbiased,Pcg32,,,65280147.0,ns,8235348
single_random_i64,Canon-Unbiased,Pcg32,,,66278867.0,ns,8360126
single_random_i64,Canon-Unbiased,Pcg32,,,67234526.0,ns,8484904
single_random_i64,Canon-Unbiased,Pcg32,,,68241072.0,ns,8609682
single_random_i64,Canon-Unbiased,Pcg32,,,69225004.0,ns,8734460
single_random_i64,Canon-Unbiased,Pcg32,,,70237961.0,ns,8859238
single_random_i64,Canon-Unbiased,Pcg32,,,71196646.0,ns,8984016
single_random_i64,Canon-Unbiased,Pcg32,,,72192050.0,ns,9108794
single_random_i64,Canon-Unbiased,Pcg32,,,73184007.0,ns,9233572
single_random_i64,Canon-Unbiased,Pcg32,,,74217423.0,ns,9358350
single_random_i64,Canon-Unbiased,Pcg32,,,75162592.0,ns,9483128
single_random_i64,Canon-Unbiased,Pcg32,,,76145452.0,ns,9607906
single_random_i64,Canon-Unbiased,Pcg32,,,77134694.0,ns,9732684
single_random_i64,Canon-Unbiased,Pcg32,,,78142562.0,ns,9857462
single_random_i64,Canon-Unbiased,Pcg32,,,79169626.0,ns,9982240
single_random_i64,Canon-Unbiased,Pcg32,,,80142337.0,ns,10107018
single_random_i64,Canon-Unbiased,Pcg32,,,81174320.0,ns,10231796
single_random_i64,Canon-Unbiased,Pcg32,,,82139527.0,ns,10356574
single_random_i64,Canon-Unbiased,Pcg32,,,83192008.0,ns,10481352
single_random_i64,Canon-Unbiased,Pcg32,,,84160601.0,ns,10606130
single_random_i64,Canon-Unbiased,Pcg32,,,85211611.0,ns,10730908
single_random_i64,Canon-Unbiased,Pcg32,,,86222494.0,ns,10855686
single_random_i64,Canon-Unbiased,Pcg32,,,87215534.0,ns,10980464
single_random_i64,Canon-Unbiased,Pcg32,,,88167044.0,ns,11105242
single_random_i64,Canon-Unbiased,Pcg32,,,89152249.0,ns,11230020
single_random_i64,Canon-Unbiased,Pcg32,,,90183751.0,ns,11354798
single_random_i64,Canon-Unbiased,Pcg32,,,91142897.0,ns,11479576
single_random_i64,Canon-Unbiased,Pcg32,,,92202472.0,ns,11604354
single_random_i64,Canon-Unbiased,Pcg32,,,93186774.0,ns,11729132
single_random_i64,Canon-Unbiased,Pcg32,,,94090095.0,ns,11853910
single_random_i64,Canon-Unbiased,Pcg32,,,95115696.0,ns,11978688
single_random_i64,Canon-Unbiased,Pcg32,,,96005542.0,ns,12103466
single_random_i64,Canon-Unbiased,Pcg32,,,97242941.0,ns,12228244
single_random_i64,Canon-Unbiased,Pcg32,,,97916369.0,ns,12353022
single_random_i64,Canon-Unbiased,Pcg32,,,98942952.0,ns,12477800
