group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Canon,Pcg32,,,985575.0,ns,143891
single_random_i64,Canon,Pcg32,,,1973014.0,ns,287782
single_random_i64,Canon,Pcg32,,,2958039.0,ns,431673
single_random_i64,Canon,Pcg32,,,3944917.0,ns,575564
single_random_i64,Canon,Pcg32,,,4932266.0,ns,719455
single_random_i64,Canon,Pcg32,,,5917851.0,ns,863346
single_random_i64,Canon,Pcg32,,,6951778.0,ns,1007237
single_random_i64,Canon,Pcg32,,,7904151.0,ns,1151128
single_random_i64,Canon,Pcg32,,,8894195.0,ns,1295019
single_random_i64,Canon,Pcg32,,,9871104.0,ns,1438910
single_random_i64,Canon,Pcg32,,,10894029.0,ns,1582801
single_random_i64,Canon,Pcg32,,,11865308.0,ns,1726692
single_random_i64,Canon,Pcg32,,,12840714.0,ns,1870583
single_random_i64,Canon,Pcg32,,,13855003.0,ns,2014474
single_random_i64,Canon,Pcg32,,,14850267.0,ns,2158365
single_random_i64,Canon,Pcg32,,,15847795.0,ns,2302256
single_random_i64,Canon,Pcg32,,,16842458.0,ns,2446147
single_random_i64,Canon,Pcg32,,,17831981.0,ns,2590038
single_random_i64,Canon,Pcg32,,,18791156.0,ns,2733929
single_random_i64,Canon,Pcg32,,,19797741.0,ns,2877820
single_random_i64,Canon,Pcg32,,,20750345.0,ns,3021711
single_random_i64,Canon,Pcg32,,,21765336.0,ns,3165602
single_random_i64,Canon,Pcg32,,,22740632.0,ns,3309493
single_random_i64,Canon,Pcg32,,,23704005.0,ns,3453384
single_random_i64,Canon,Pcg32,,,24688949.0,ns,3597275
single_random_i64,Canon,Pcg32,,,25669506.0,ns,3741166
single_random_i64,Canon,Pcg32,,,26636998.0,ns,3885057
single_random_i64,Canon,Pcg32,,,27630628.0,ns,4028948
single_random_i64,Canon,Pcg32,,,28607076.0,ns,4172839
single_random_i64,Canon,Pcg32,,,29797448.0,ns,4316730
single_random_i64,Canon,Pcg32,,,30749600.0,ns,4460621
single_random_i64,Canon,Pcg32,,,31760302.0,ns,4604512
single_random_i64,Canon,Pcg32,,,32665527.0,ns,4748403
single_random_i64,Canon,Pcg32,,,33665980.0,ns,4892294
single_random_i64,Canon,Pcg32,,,34727147.0,ns,5036185
single_random_i64,Canon,Pcg32,,,35796541.0,ns,5180076
single_random_i64,Canon,Pcg32,,,36660898.0,ns,5323967
single_random_i64,Canon,Pcg32,,,37666842.0,ns,5467858
single_random_i64,Canon,Pcg32,,,38603946.0,ns,5611749
single_random_i64,Canon,Pcg32,,,39667979.0,ns,5755640
single_random_i64,Canon,Pcg32,,,40529752.0,ns,5899531
single_random_i64,Canon,Pcg32,,,40840597.0,ns,6043422
single_random_i64,Canon,Pcg32,,,42445839.0,ns,6187313
single_random_i64,Canon,Pcg32,,,43451172.0,ns,6331204
single_random_i64,Canon,Pcg32,,,44489045.0,ns,6475095
single_random_i64,Canon,Pcg32,,,45486974.0,ns,6618986
single_random_i64,Canon,Pcg32,,,46465196.0,ns,6762877
single_random_i64,Canon,Pcg32,,,47487360.0,ns,6906768
single_random_i64,Canon,Pcg32,,,48463137.0,ns,7050659
single_random_i64,Canon,Pcg32,,,49457179.0,ns,7194550
single_random_i64,Canon,Pcg32,,,50472941.0,ns,7338441
single_random_i64,Canon,Pcg32,,,51331197.0,ns,7482332
single_random_i64,Canon,Pcg32,,,52344464.0,ns,7626223
single_random_i64,Canon,Pcg32,,,53352993.0,ns,7770114
single_random_i64,Canon,Pcg32,,,54357814.0,ns,7914005
single_random_i64,Canon,Pcg32,,,55263339.0,ns,8057896
single_random_i64,Canon,Pcg32,,,56219590.0,ns,8201787
single_random_i64,Canon,Pcg32,,,57223791.0,ns,8345678
single_random_i64,Canon,Pcg32,,,58213433.0,ns,8489569
single_random_i64,Canon,Pcg32,,,59221612.0,ns,8633460
single_random_i64,Canon,Pcg32,,,60214691.0,ns,8777351
single_random_i64,Canon,Pcg32,,,61155552.0,ns,8921242
single_random_i64,Canon,Pcg32,,,62127271.0,ns,9065133
single_random_i64,Canon,Pcg32,,,63125421.0,ns,9209024
single_random_i64,Canon,Pcg32,,,64099784.0,ns,9352915
single_random_i64,Canon,Pcg32,,,65091663.0,ns,9496806
single_random_i64,Canon,Pcg32,,,66060156.0,ns,9640697
single_random_i64,Canon,Pcg32,,,67032436.0,ns,9784588
single_random_i64,Canon,Pcg32,,,68035014.0,ns,9928479
single_random_i64,Canon,Pcg32,,,69086133.0,ns,10072370
single_random_i64,Canon,Pcg32,,,70065977.0,ns,10216261
single_random_i64,Canon,Pcg32,,,71024091.0,ns,10360152
single_random_i64,Canon,Pcg32,,,72095498.0,ns,10504043
single_random_i64,Canon,Pcg32,,,73004961.0,ns,10647934
single_random_i64,Canon,Pcg32,,,74033136.0,ns,10791825
single_random_i64,Canon,Pcg32,,,75044920.0,ns,10935716
single_random_i64,Canon,Pcg32,,,76005939.0,ns,11079607
single_random_i64,Canon,Pcg32,,,76976427.0,ns,11223498
single_random_i64,Canon,Pcg32,,,78028077.0,ns,11367389
