group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Canon64,ChaCha8Rng,,,991306.0,ns,691031
single_random_i64,Canon64,ChaCha8Rng,,,1970509.0,ns,1382062
single_random_i64,Canon64,ChaCha8Rng,,,2967466.0,ns,2073093
single_random_i64,Canon64,ChaCha8Rng,,,3936832.0,ns,2764124
single_random_i64,Canon64,ChaCha8Rng,,,4970979.0,ns,3455155
single_random_i64,Canon64,ChaCha8Rng,,,5942988.0,ns,4146186
single_random_i64,Canon64,ChaCha8Rng,,,6929796.0,ns,4837217
single_random_i64,Canon64,ChaCha8Rng,,,7942814.0,ns,5528248
single_random_i64,Canon64,ChaCha8Rng,,,8894145.0,ns,6219279
single_random_i64,Canon64,ChaCha8Rng,,,9898014.0,ns,6910310
single_random_i64,Canon64,ChaCha8Rng,,,10900742.0,ns,7601341
single_random_i64,Canon64,ChaCha8Rng,,,11993640.0,ns,8292372
single_random_i64,Canon64,ChaCha8Rng,,,12884197.0,ns,8983403
single_random_i64,Canon64,ChaCha8Rng,,,13860344.0,ns,9674434
single_random_i64,Canon64,ChaCha8Rng,,,14860687.0,ns,10365465
single_random_i64,Canon64,ChaCha8Rng,,,15842967.0,ns,11056496
single_random_i64,Canon64,ChaCha8Rng,,,16812342.0,ns,11747527
single_random_i64,Canon64,ChaCha8Rng,,,17765476.0,ns,12438558
single_random_i64,Canon64,ChaCha8Rng,,,18812266.0,ns,13129589
single_random_i64,Canon64,ChaCha8Rng,,,19776883.0,ns,13820620
single_random_i64,Canon64,ChaCha8Rng,,,20766946.0,ns,14511651
single_random_i64,Canon64,ChaCha8Rng,,,21763282.0,ns,15202682
single_random_i64,Canon64,ChaCha8Rng,,,22754939.0,ns,15893713
single_random_i64,Canon64,ChaCha8Rng,,,23741656.0,ns,16584744
single_random_i64,Canon64,ChaCha8Rng,,,24728173.0,ns,17275775
single_random_i64,Canon64,ChaCha8Rng,,,25705263.0,ns,17966806
single_random_i64,Canon64,ChaCha8Rng,,,26666102.0,ns,18657837
single_random_i64,Canon64,ChaCha8Rng,,,27664692.0,ns,19348868
single_random_i64,Canon64,ChaCha8Rng,,,28683199.0,ns,20039899
single_random_i64,Canon64,ChaCha8Rng,,,29629931.0,ns,20730930
single_random_i64,Canon64,ChaCha8Rng,,,30656685.0,ns,21421961
single_random_i64,Canon64,ChaCha8Rng,,,31583861.0,ns,22112992
single_random_i64,Canon64,ChaCha8Rng,,,32635009.0,ns,22804023
single_random_i64,Canon64,ChaCha8Rng,,,33692791.0,ns,23495054
single_random_i64,Canon64,ChaCha8Rng,,,34628402.0,ns,24186085
single_random_i64,Canon64,ChaCha8Rng,,,35634546.0,ns,24877116
single_random_i64,Canon64,ChaCha8Rng,,,36574626.0,ns,25568147
single_random_i64,Canon64,ChaCha8Rng,,,37697540.0,ns,26259178
single_random_i64,Canon64,ChaCha8Rng,,,38551057.0,ns,26950209
single_random_i64,Canon64,ChaCha8Rng,,,39432185.0,ns,27641240
single_random_i64,Canon64,ChaCha8Rng,,,40564387.0,ns,28332271
single_random_i64,Canon64,ChaCha8Rng,,,41467037.0,ns,29023302
single_random_i64,Canon64,ChaCha8Rng,,,42530458.0,ns,29714333
single_random_i64,Canon64,ChaCha8Rng,,,43471020.0,ns,30405364
single_random_i64,Canon64,ChaCha8Rng,,,44455272.0,ns,31096395
single_random_i64,Canon64,ChaCha8Rng,,,45558268.0,ns,31787426
single_random_i64,Canon64,ChaCha8Rng,,,46670142.0,ns,32478457
single_random_i64,Canon64,ChaCha8Rng,,,47387202.0,ns,33169488
single_random_i64,Canon64,ChaCha8Rng,,,48622708.0,ns,33860519
single_random_i64,Canon64,ChaCha8Rng,,,49385554.0,ns,34551550
single_random_i64,Canon64,ChaCha8Rng,,,50437795.0,ns,35242581
single_random_i64,Canon64,ChaCha8Rng,,,51384097.0,ns,35933612
single_random_i64,Canon64,ChaCha8Rng,,,52426017.0,ns,36624643
single_random_i64,Canon64,ChaCha8Rng,,,53366950.0,ns,37315674
single_random_i64,Canon64,ChaCha8Rng,,,54379756.0,ns,38006705
single_random_i64,Canon64,ChaCha8Rng,,,55306761.0,ns,38697736
single_random_i64,Canon64,ChaCha8Rng,,,56501511.0,ns,39388767
single_random_i64,Canon64,ChaCha8Rng,,,57388059.0,ns,40079798
single_random_i64,Canon64,ChaCha8Rng,,,58369177.0,ns,40770829
single_random_i64,Canon64,ChaCha8Rng,,,59277997.0,ns,41461860
single_random_i64,Canon64,ChaCha8Rng,,,60264134.0,ns,42152891
single_random_i64,Canon64,ChaCha8Rng,,,61298741.0,ns,42843922
single_random_i64,Canon64,ChaCha8Rng,,,62205599.0,ns,43534953
single_random_i64,Canon64,ChaCha8Rng,,,63313184.0,ns,44225984
single_random_i64,Canon64,ChaCha8Rng,,,64515627.0,ns,44917015
single_random_i64,Canon64,ChaCha8Rng,,,65353855.0,ns,45608046
single_random_i64,Canon64,ChaCha8Rng,,,66277235.0,ns,46299077
single_random_i64,Canon64,ChaCha8Rng,,,67208157.0,ns,46990108
single_random_i64,Canon64,ChaCha8Rng,,,68226914.0,ns,47681139
single_random_i64,Canon64,ChaCha8Rng,,,69234001.0,ns,48372170
single_random_i64,Canon64,ChaCha8Rng,,,70143513.0,ns,49063201
single_random_i64,Canon64,ChaCha8Rng,,,71255356.0,ns,49754232
single_random_i64,Canon64,ChaCha8Rng,,,72188674.0,ns,50445263
single_random_i64,Canon64,ChaCha8Rng,,,73290798.0,ns,51136294
single_random_i64,Canon64,ChaCha8Rng,,,74169503.0,ns,51827325
single_random_i64,Canon64,ChaCha8Rng,,,75154397.0,ns,52518356
single_random_i64,Canon64,ChaCha8Rng,,,76056645.0,ns,53209387
single_random_i64,Canon64,ChaCha8Rng,,,77096523.0,ns,53900418
single_random_i64,Canon64,ChaCha8Rng,,,78187337.0,ns,54591449
single_random_i64,Canon64,ChaCha8Rng,,,79070809.0,ns,55282480
single_random_i64,Canon64,ChaCha8Rng,,,80042830.0,ns,55973511
single_random_i64,Canon64,ChaCha8Rng,,,81048542.0,ns,56664542
single_random_i64,Canon64,ChaCha8Rng,,,82068543.0,ns,57355573
single_random_i64,Canon64,ChaCha8Rng,,,82946927.0,ns,58046604
single_random_i64,Canon64,ChaCha8Rng,,,84104856.0,ns,58737635
single_random_i64,Canon64,ChaCha8Rng,,,84991426.0,ns,59428666
single_random_i64,Canon64,ChaCha8Rng,,,86056160.0,ns,60119697
single_random_i64,Canon64,ChaCha8Rng,,,87012361.0,ns,60810728
single_random_i64,Canon64,ChaCha8Rng,,,88007795.0,ns,61501759
single_random_i64,Canon64,ChaCha8Rng,,,88876970.0,ns,62192790
single_random_i64,Canon64,ChaCha8Rng,,,90069055.0,ns,62883821
single_random_i64,Canon64,ChaCha8Rng,,,90875343.0,ns,63574852
single_random_i64,Canon64,ChaCha8Rng,,,91838025.0,ns,64265883
single_random_i64,Canon64,ChaCha8Rng,,,92921826.0,ns,64956914
single_random_i64,Canon64,ChaCha8Rng,,,93855634.0,ns,65647945
single_random_i64,Canon64,ChaCha8Rng,,,94860796.0,ns,66338976
single_random_i64,Canon64,ChaCha8Rng,,,95895744.0,ns,67030007
single_random_i64,Canon64,ChaCha8Rng,,,96850352.0,ns,67721038
single_random_i64,Canon64,ChaCha8Rng,,,97883497.0,ns,68412069
single_random_i64,Canon64,ChaCha8Rng,,,98700745.0,ns,69103100
