group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Bitmask,,,197872.0,ns,26607
single_random_i64,ChaCha8Rng,Bitmask,,,398800.0,ns,53214
single_random_i64,ChaCha8Rng,Bitmask,,,591664.0,ns,79821
single_random_i64,ChaCha8Rng,Bitmask,,,789076.0,ns,106428
single_random_i64,ChaCha8Rng,Bitmask,,,990394.0,ns,133035
single_random_i64,ChaCha8Rng,Bitmask,,,1192485.0,ns,159642
single_random_i64,ChaCha8Rng,Bitmask,,,1391970.0,ns,186249
single_random_i64,ChaCha8Rng,Bitmask,,,1590283.0,ns,212856
single_random_i64,ChaCha8Rng,Bitmask,,,1787295.0,ns,239463
single_random_i64,ChaCha8Rng,Bitmask,,,1980829.0,ns,266070
single_random_i64,ChaCha8Rng,Bitmask,,,2182929.0,ns,292677
single_random_i64,ChaCha8Rng,Bitmask,,,2386382.0,ns,319284
single_random_i64,ChaCha8Rng,Bitmask,,,2581910.0,ns,345891
single_random_i64,ChaCha8Rng,Bitmask,,,2769773.0,ns,372498
single_random_i64,ChaCha8Rng,Bitmask,,,2961133.0,ns,399105
single_random_i64,ChaCha8Rng,Bitmask,,,3161310.0,ns,425712
single_random_i64,ChaCha8Rng,Bitmask,,,3375534.0,ns,452319
single_random_i64,ChaCha8Rng,Bitmask,,,3564680.0,ns,478926
single_random_i64,ChaCha8Rng,Bitmask,,,3763013.0,ns,505533
single_random_i64,ChaCha8Rng,Bitmask,,,3952299.0,ns,532140
single_random_i64,ChaCha8Rng,Bitmask,,,4146335.0,ns,558747
single_random_i64,ChaCha8Rng,Bitmask,,,4353064.0,ns,585354
single_random_i64,ChaCha8Rng,Bitmask,,,4543813.0,ns,611961
single_random_i64,ChaCha8Rng,Bitmask,,,4746304.0,ns,638568
single_random_i64,ChaCha8Rng,Bitmask,,,4948223.0,ns,665175
single_random_i64,ChaCha8Rng,Bitmask,,,5167807.0,ns,691782
single_random_i64,ChaCha8Rng,Bitmask,,,5354347.0,ns,718389
single_random_i64,ChaCha8Rng,Bitmask,,,5552832.0,ns,744996
single_random_i64,ChaCha8Rng,Bitmask,,,5733682.0,ns,771603
single_random_i64,ChaCha8Rng,Bitmask,,,5960549.0,ns,798210
single_random_i64,ChaCha8Rng,Bitmask,,,6137442.0,ns,824817
single_random_i64,ChaCha8Rng,Bitmask,,,6356605.0,ns,851424
single_random_i64,ChaCha8Rng,Bitmask,,,6515734.0,ns,878031
single_random_i64,ChaCha8Rng,Bitmask,,,6721040.0,ns,904638
single_random_i64,ChaCha8Rng,Bitmask,,,6913953.0,ns,931245
single_random_i64,ChaCha8Rng,Bitmask,,,7099703.0,ns,957852
