group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-Lemire,,,224051.0,ns,1092
single_random_i64,ChaCha8Rng,Canon-Lemire,,,501904.0,ns,2184
single_random_i64,ChaCha8Rng,Canon-Lemire,,,487527.0,ns,3276
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1092056.0,ns,4368
single_random_i64,ChaCha8Rng,Canon-Lemire,,,844931.0,ns,5460
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1330675.0,ns,6552
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1243621.0,ns,7644
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1443096.0,ns,8736
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2127065.0,ns,9828
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2031924.0,ns,10920
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2563556.0,ns,12012
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3064359.0,ns,13104
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3720054.0,ns,14196
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1977032.0,ns,15288
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2240848.0,ns,16380
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5535580.0,ns,17472
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2644207.0,ns,18564
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2632155.0,ns,19656
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3061895.0,ns,20748
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3803871.0,ns,21840
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2894679.0,ns,22932
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6234155.0,ns,24024
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3011028.0,ns,25116
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3484619.0,ns,26208
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9258529.0,ns,27300
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9288094.0,ns,28392
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4625837.0,ns,29484
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4418137.0,ns,30576
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6745338.0,ns,31668
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4997418.0,ns,32760
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7987005.0,ns,33852
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5167377.0,ns,34944
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6137844.0,ns,36036
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5445601.0,ns,37128
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10877076.0,ns,38220
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5980939.0,ns,39312
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6191515.0,ns,40404
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9542663.0,ns,41496
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12776541.0,ns,42588
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12462430.0,ns,43680
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7257102.0,ns,44772
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5733894.0,ns,45864
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10855515.0,ns,46956
single_random_i64,ChaCha8Rng,Canon-Lemire,,,13373505.0,ns,48048
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6035151.0,ns,49140
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12595931.0,ns,50232
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7496221.0,ns,51324
single_random_i64,ChaCha8Rng,Canon-Lemire,,,16989412.0,ns,52416
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6416619.0,ns,53508
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10139457.0,ns,54600
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10031784.0,ns,55692
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7794793.0,ns,56784
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7002421.0,ns,57876
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8668368.0,ns,58968
single_random_i64,ChaCha8Rng,Canon-Lemire,,,19590318.0,ns,60060
single_random_i64,ChaCha8Rng,Canon-Lemire,,,19663094.0,ns,61152
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8624385.0,ns,62244
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7847583.0,ns,63336
single_random_i64,ChaCha8Rng,Canon-Lemire,,,22555018.0,ns,64428
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8055764.0,ns,65520
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8126748.0,ns,66612
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12466306.0,ns,67704
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9521744.0,ns,68796
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10418422.0,ns,69888
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9332257.0,ns,70980
single_random_i64,ChaCha8Rng,Canon-Lemire,,,11223218.0,ns,72072
single_random_i64,ChaCha8Rng,Canon-Lemire,,,13617715.0,ns,73164
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12993179.0,ns,74256
single_random_i64,ChaCha8Rng,Canon-Lemire,,,18313564.0,ns,75348
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9549115.0,ns,76440
single_random_i64,ChaCha8Rng,Canon-Lemire,,,20005800.0,ns,77532
single_random_i64,ChaCha8Rng,Canon-Lemire,,,25990456.0,ns,78624
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12188904.0,ns,79716
single_random_i64,ChaCha8Rng,Canon-Lemire,,,17203435.0,ns,80808
single_random_i64,ChaCha8Rng,Canon-Lemire,,,11910230.0,ns,81900
single_random_i64,ChaCha8Rng,Canon-Lemire,,,20102572.0,ns,82992
single_random_i64,ChaCha8Rng,Canon-Lemire,,,21016563.0,ns,84084
single_random_i64,ChaCha8Rng,Canon-Lemire,,,11186138.0,ns,85176
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10580427.0,ns,86268
single_random_i64,ChaCha8Rng,Canon-Lemire,,,17723362.0,ns,87360
single_random_i64,ChaCha8Rng,Canon-Lemire,,,30434842.0,ns,88452
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10421568.0,ns,89544
single_random_i64,ChaCha8Rng,Canon-Lemire,,,14754905.0,ns,90636
single_random_i64,ChaCha8Rng,Canon-Lemire,,,11313447.0,ns,91728
single_random_i64,ChaCha8Rng,Canon-Lemire,,,23395019.0,ns,92820
single_random_i64,ChaCha8Rng,Canon-Lemire,,,14318514.0,ns,93912
single_random_i64,ChaCha8Rng,Canon-Lemire,,,13192925.0,ns,95004
single_random_i64,ChaCha8Rng,Canon-Lemire,,,16511182.0,ns,96096
single_random_i64,ChaCha8Rng,Canon-Lemire,,,32018293.0,ns,97188
single_random_i64,ChaCha8Rng,Canon-Lemire,,,16506924.0,ns,98280
single_random_i64,ChaCha8Rng,Canon-Lemire,,,22506878.0,ns,99372
single_random_i64,ChaCha8Rng,Canon-Lemire,,,13626160.0,ns,100464
single_random_i64,ChaCha8Rng,Canon-Lemire,,,30580616.0,ns,101556
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12157446.0,ns,102648
single_random_i64,ChaCha8Rng,Canon-Lemire,,,20667004.0,ns,103740
single_random_i64,ChaCha8Rng,Canon-Lemire,,,19069337.0,ns,104832
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12796850.0,ns,105924
single_random_i64,ChaCha8Rng,Canon-Lemire,,,30328982.0,ns,107016
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12782242.0,ns,108108
single_random_i64,ChaCha8Rng,Canon-Lemire,,,35074686.0,ns,109200
