group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,138280.0,ns,919
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,249520.0,ns,1838
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1059134.0,ns,2757
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,688295.0,ns,3676
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1076437.0,ns,4595
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2192527.0,ns,5514
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,942494.0,ns,6433
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2903686.0,ns,7352
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1363547.0,ns,8271
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1170303.0,ns,9190
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2382696.0,ns,10109
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1847818.0,ns,11028
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3567797.0,ns,11947
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2266947.0,ns,12866
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5319243.0,ns,13785
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2047615.0,ns,14704
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6092348.0,ns,15623
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6039228.0,ns,16542
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3609885.0,ns,17461
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4210476.0,ns,18380
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7490340.0,ns,19299
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7558399.0,ns,20218
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4338857.0,ns,21137
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6568555.0,ns,22056
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7656663.0,ns,22975
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3841091.0,ns,23894
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6255756.0,ns,24813
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6299538.0,ns,25732
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7859475.0,ns,26651
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,10652212.0,ns,27570
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6277907.0,ns,28489
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3727958.0,ns,29408
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5287965.0,ns,30327
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,10609803.0,ns,31246
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6094031.0,ns,32165
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4341032.0,ns,33084
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7778172.0,ns,34003
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,9106723.0,ns,34922
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,13398632.0,ns,35841
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,9645437.0,ns,36760
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5497078.0,ns,37679
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,9492910.0,ns,38598
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,10859472.0,ns,39517
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6248272.0,ns,40436
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7103001.0,ns,41355
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7422993.0,ns,42274
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7563698.0,ns,43193
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,10138525.0,ns,44112
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,9397530.0,ns,45031
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,13122141.0,ns,45950
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6076549.0,ns,46869
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,12174197.0,ns,47788
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,18360002.0,ns,48707
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,12399441.0,ns,49626
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,19607550.0,ns,50545
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7156522.0,ns,51464
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,8343827.0,ns,52383
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,17257235.0,ns,53302
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,19264815.0,ns,54221
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,17397841.0,ns,55140
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,8738539.0,ns,56059
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,10156730.0,ns,56978
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,22010704.0,ns,57897
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,22983335.0,ns,58816
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,8536850.0,ns,59735
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,8568470.0,ns,60654
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,8587586.0,ns,61573
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,19374431.0,ns,62492
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,24291127.0,ns,63411
