group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-reduced,,,185590.0,ns,1083
single_random_i64,ChaCha8Rng,Canon-reduced,,,423717.0,ns,2166
single_random_i64,ChaCha8Rng,Canon-reduced,,,503618.0,ns,3249
single_random_i64,ChaCha8Rng,Canon-reduced,,,1352616.0,ns,4332
single_random_i64,ChaCha8Rng,Canon-reduced,,,1276152.0,ns,5415
single_random_i64,ChaCha8Rng,Canon-reduced,,,783445.0,ns,6498
single_random_i64,ChaCha8Rng,Canon-reduced,,,876710.0,ns,7581
single_random_i64,ChaCha8Rng,Canon-reduced,,,1799438.0,ns,8664
single_random_i64,ChaCha8Rng,Canon-reduced,,,2228856.0,ns,9747
single_random_i64,ChaCha8Rng,Canon-reduced,,,1150205.0,ns,10830
single_random_i64,ChaCha8Rng,Canon-reduced,,,3178554.0,ns,11913
single_random_i64,ChaCha8Rng,Canon-reduced,,,2171908.0,ns,12996
single_random_i64,ChaCha8Rng,Canon-reduced,,,2092790.0,ns,14079
single_random_i64,ChaCha8Rng,Canon-reduced,,,4000090.0,ns,15162
single_random_i64,ChaCha8Rng,Canon-reduced,,,3850308.0,ns,16245
single_random_i64,ChaCha8Rng,Canon-reduced,,,4737558.0,ns,17328
single_random_i64,ChaCha8Rng,Canon-reduced,,,4578689.0,ns,18411
single_random_i64,ChaCha8Rng,Canon-reduced,,,2552415.0,ns,19494
single_random_i64,ChaCha8Rng,Canon-reduced,,,2470861.0,ns,20577
single_random_i64,ChaCha8Rng,Canon-reduced,,,4839580.0,ns,21660
single_random_i64,ChaCha8Rng,Canon-reduced,,,3057816.0,ns,22743
single_random_i64,ChaCha8Rng,Canon-reduced,,,6357257.0,ns,23826
single_random_i64,ChaCha8Rng,Canon-reduced,,,8002955.0,ns,24909
single_random_i64,ChaCha8Rng,Canon-reduced,,,4992779.0,ns,25992
single_random_i64,ChaCha8Rng,Canon-reduced,,,5699729.0,ns,27075
single_random_i64,ChaCha8Rng,Canon-reduced,,,3176079.0,ns,28158
single_random_i64,ChaCha8Rng,Canon-reduced,,,7906664.0,ns,29241
single_random_i64,ChaCha8Rng,Canon-reduced,,,3396985.0,ns,30324
single_random_i64,ChaCha8Rng,Canon-reduced,,,10102848.0,ns,31407
single_random_i64,ChaCha8Rng,Canon-reduced,,,9802082.0,ns,32490
single_random_i64,ChaCha8Rng,Canon-reduced,,,3970274.0,ns,33573
single_random_i64,ChaCha8Rng,Canon-reduced,,,10422199.0,ns,34656
single_random_i64,ChaCha8Rng,Canon-reduced,,,5036671.0,ns,35739
single_random_i64,ChaCha8Rng,Canon-reduced,,,9997560.0,ns,36822
single_random_i64,ChaCha8Rng,Canon-reduced,,,12171672.0,ns,37905
single_random_i64,ChaCha8Rng,Canon-reduced,,,4487156.0,ns,38988
single_random_i64,ChaCha8Rng,Canon-reduced,,,5571889.0,ns,40071
single_random_i64,ChaCha8Rng,Canon-reduced,,,5164802.0,ns,41154
single_random_i64,ChaCha8Rng,Canon-reduced,,,5501987.0,ns,42237
single_random_i64,ChaCha8Rng,Canon-reduced,,,5073691.0,ns,43320
single_random_i64,ChaCha8Rng,Canon-reduced,,,4842526.0,ns,44403
single_random_i64,ChaCha8Rng,Canon-reduced,,,6495598.0,ns,45486
single_random_i64,ChaCha8Rng,Canon-reduced,,,6245446.0,ns,46569
single_random_i64,ChaCha8Rng,Canon-reduced,,,6563365.0,ns,47652
single_random_i64,ChaCha8Rng,Canon-reduced,,,7851460.0,ns,48735
single_random_i64,ChaCha8Rng,Canon-reduced,,,11477826.0,ns,49818
single_random_i64,ChaCha8Rng,Canon-reduced,,,8995824.0,ns,50901
single_random_i64,ChaCha8Rng,Canon-reduced,,,15795253.0,ns,51984
single_random_i64,ChaCha8Rng,Canon-reduced,,,6829746.0,ns,53067
single_random_i64,ChaCha8Rng,Canon-reduced,,,6930206.0,ns,54150
single_random_i64,ChaCha8Rng,Canon-reduced,,,10161910.0,ns,55233
single_random_i64,ChaCha8Rng,Canon-reduced,,,18117185.0,ns,56316
single_random_i64,ChaCha8Rng,Canon-reduced,,,15213929.0,ns,57399
single_random_i64,ChaCha8Rng,Canon-reduced,,,18076397.0,ns,58482
single_random_i64,ChaCha8Rng,Canon-reduced,,,9637382.0,ns,59565
single_random_i64,ChaCha8Rng,Canon-reduced,,,19047586.0,ns,60648
single_random_i64,ChaCha8Rng,Canon-reduced,,,14644137.0,ns,61731
single_random_i64,ChaCha8Rng,Canon-reduced,,,7886586.0,ns,62814
single_random_i64,ChaCha8Rng,Canon-reduced,,,19036274.0,ns,63897
single_random_i64,ChaCha8Rng,Canon-reduced,,,7922053.0,ns,64980
single_random_i64,ChaCha8Rng,Canon-reduced,,,19427471.0,ns,66063
single_random_i64,ChaCha8Rng,Canon-reduced,,,8618053.0,ns,67146
single_random_i64,ChaCha8Rng,Canon-reduced,,,8973813.0,ns,68229
single_random_i64,ChaCha8Rng,Canon-reduced,,,16237957.0,ns,69312
single_random_i64,ChaCha8Rng,Canon-reduced,,,17491166.0,ns,70395
single_random_i64,ChaCha8Rng,Canon-reduced,,,11896895.0,ns,71478
single_random_i64,ChaCha8Rng,Canon-reduced,,,8232437.0,ns,72561
single_random_i64,ChaCha8Rng,Canon-reduced,,,9562771.0,ns,73644
single_random_i64,ChaCha8Rng,Canon-reduced,,,16356660.0,ns,74727
single_random_i64,ChaCha8Rng,Canon-reduced,,,8937925.0,ns,75810
single_random_i64,ChaCha8Rng,Canon-reduced,,,24152265.0,ns,76893
single_random_i64,ChaCha8Rng,Canon-reduced,,,21540248.0,ns,77976
single_random_i64,ChaCha8Rng,Canon-reduced,,,9944790.0,ns,79059
single_random_i64,ChaCha8Rng,Canon-reduced,,,11649750.0,ns,80142
single_random_i64,ChaCha8Rng,Canon-reduced,,,10836610.0,ns,81225
single_random_i64,ChaCha8Rng,Canon-reduced,,,26446244.0,ns,82308
single_random_i64,ChaCha8Rng,Canon-reduced,,,11687240.0,ns,83391
single_random_i64,ChaCha8Rng,Canon-reduced,,,13609820.0,ns,84474
single_random_i64,ChaCha8Rng,Canon-reduced,,,9404924.0,ns,85557
single_random_i64,ChaCha8Rng,Canon-reduced,,,19396533.0,ns,86640
single_random_i64,ChaCha8Rng,Canon-reduced,,,24776690.0,ns,87723
single_random_i64,ChaCha8Rng,Canon-reduced,,,16204043.0,ns,88806
single_random_i64,ChaCha8Rng,Canon-reduced,,,22624229.0,ns,89889
single_random_i64,ChaCha8Rng,Canon-reduced,,,11738647.0,ns,90972
single_random_i64,ChaCha8Rng,Canon-reduced,,,19661953.0,ns,92055
single_random_i64,ChaCha8Rng,Canon-reduced,,,27356126.0,ns,93138
single_random_i64,ChaCha8Rng,Canon-reduced,,,11006759.0,ns,94221
single_random_i64,ChaCha8Rng,Canon-reduced,,,24499409.0,ns,95304
single_random_i64,ChaCha8Rng,Canon-reduced,,,10699421.0,ns,96387
single_random_i64,ChaCha8Rng,Canon-reduced,,,30300599.0,ns,97470
single_random_i64,ChaCha8Rng,Canon-reduced,,,13461671.0,ns,98553
single_random_i64,ChaCha8Rng,Canon-reduced,,,17348257.0,ns,99636
single_random_i64,ChaCha8Rng,Canon-reduced,,,29191771.0,ns,100719
single_random_i64,ChaCha8Rng,Canon-reduced,,,11188292.0,ns,101802
single_random_i64,ChaCha8Rng,Canon-reduced,,,22295670.0,ns,102885
single_random_i64,ChaCha8Rng,Canon-reduced,,,31977225.0,ns,103968
single_random_i64,ChaCha8Rng,Canon-reduced,,,21877914.0,ns,105051
single_random_i64,ChaCha8Rng,Canon-reduced,,,29636178.0,ns,106134
single_random_i64,ChaCha8Rng,Canon-reduced,,,14874610.0,ns,107217
single_random_i64,ChaCha8Rng,Canon-reduced,,,12311746.0,ns,108300
