group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,ONeill,,,197932.0,ns,21965
single_random_i64,ChaCha8Rng,ONeill,,,397288.0,ns,43930
single_random_i64,ChaCha8Rng,ONeill,,,596413.0,ns,65895
single_random_i64,ChaCha8Rng,ONeill,,,795899.0,ns,87860
single_random_i64,ChaCha8Rng,ONeill,,,990805.0,ns,109825
single_random_i64,ChaCha8Rng,ONeill,,,1191652.0,ns,131790
single_random_i64,ChaCha8Rng,ONeill,,,1390317.0,ns,153755
single_random_i64,ChaCha8Rng,ONeill,,,1587127.0,ns,175720
single_random_i64,ChaCha8Rng,ONeill,,,1782756.0,ns,197685
single_random_i64,ChaCha8Rng,ONeill,,,2019601.0,ns,219650
single_random_i64,ChaCha8Rng,ONeill,,,2189822.0,ns,241615
single_random_i64,ChaCha8Rng,ONeill,,,2388946.0,ns,263580
single_random_i64,ChaCha8Rng,ONeill,,,2575668.0,ns,285545
single_random_i64,ChaCha8Rng,ONeill,,,2779793.0,ns,307510
single_random_i64,ChaCha8Rng,ONeill,,,2965362.0,ns,329475
single_random_i64,ChaCha8Rng,ONeill,,,3169095.0,ns,351440
single_random_i64,ChaCha8Rng,ONeill,,,3369822.0,ns,373405
single_random_i64,ChaCha8Rng,ONeill,,,3616337.0,ns,395370
single_random_i64,ChaCha8Rng,ONeill,,,3751471.0,ns,417335
single_random_i64,ChaCha8Rng,ONeill,,,3966576.0,ns,439300
single_random_i64,ChaCha8Rng,ONeill,,,4167525.0,ns,461265
single_random_i64,ChaCha8Rng,ONeill,,,4353324.0,ns,483230
single_random_i64,ChaCha8Rng,ONeill,,,4549112.0,ns,505195
single_random_i64,ChaCha8Rng,ONeill,,,4729963.0,ns,527160
single_random_i64,ChaCha8Rng,ONeill,,,4945899.0,ns,549125
single_random_i64,ChaCha8Rng,ONeill,,,5129444.0,ns,571090
single_random_i64,ChaCha8Rng,ONeill,,,5439128.0,ns,593055
single_random_i64,ChaCha8Rng,ONeill,,,5536080.0,ns,615020
single_random_i64,ChaCha8Rng,ONeill,,,5764560.0,ns,636985
single_random_i64,ChaCha8Rng,ONeill,,,5914342.0,ns,658950
single_random_i64,ChaCha8Rng,ONeill,,,6140227.0,ns,680915
single_random_i64,ChaCha8Rng,ONeill,,,6339453.0,ns,702880
single_random_i64,ChaCha8Rng,ONeill,,,6538537.0,ns,724845
single_random_i64,ChaCha8Rng,ONeill,,,6765294.0,ns,746810
single_random_i64,ChaCha8Rng,ONeill,,,6922860.0,ns,768775
single_random_i64,ChaCha8Rng,ONeill,,,7094273.0,ns,790740
single_random_i64,ChaCha8Rng,ONeill,,,7312063.0,ns,812705
single_random_i64,ChaCha8Rng,ONeill,,,7518101.0,ns,834670
