group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Old,,,106621.0,ns,495
single_random_i64,ChaCha8Rng,Old,,,168337.0,ns,990
single_random_i64,ChaCha8Rng,Old,,,719585.0,ns,1485
single_random_i64,ChaCha8Rng,Old,,,856252.0,ns,1980
single_random_i64,ChaCha8Rng,Old,,,407788.0,ns,2475
single_random_i64,ChaCha8Rng,Old,,,1307952.0,ns,2970
single_random_i64,ChaCha8Rng,Old,,,748559.0,ns,3465
single_random_i64,ChaCha8Rng,Old,,,894094.0,ns,3960
single_random_i64,ChaCha8Rng,Old,,,1487169.0,ns,4455
single_random_i64,ChaCha8Rng,Old,,,787543.0,ns,4950
single_random_i64,ChaCha8Rng,Old,,,1871403.0,ns,5445
single_random_i64,ChaCha8Rng,Old,,,2715692.0,ns,5940
single_random_i64,ChaCha8Rng,Old,,,1612956.0,ns,6435
single_random_i64,ChaCha8Rng,Old,,,1199468.0,ns,6930
single_random_i64,ChaCha8Rng,Old,,,3986684.0,ns,7425
single_random_i64,ChaCha8Rng,Old,,,3742926.0,ns,7920
single_random_i64,ChaCha8Rng,Old,,,2289030.0,ns,8415
single_random_i64,ChaCha8Rng,Old,,,3772512.0,ns,8910
single_random_i64,ChaCha8Rng,Old,,,3024383.0,ns,9405
single_random_i64,ChaCha8Rng,Old,,,3578326.0,ns,9900
single_random_i64,ChaCha8Rng,Old,,,2677901.0,ns,10395
single_random_i64,ChaCha8Rng,Old,,,4353606.0,ns,10890
single_random_i64,ChaCha8Rng,Old,,,3872340.0,ns,11385
single_random_i64,ChaCha8Rng,Old,,,1911458.0,ns,11880
single_random_i64,ChaCha8Rng,Old,,,2147502.0,ns,12375
single_random_i64,ChaCha8Rng,Old,,,2244024.0,ns,12870
single_random_i64,ChaCha8Rng,Old,,,2515014.0,ns,13365
single_random_i64,ChaCha8Rng,Old,,,7365465.0,ns,13860
single_random_i64,ChaCha8Rng,Old,,,3091309.0,ns,14355
single_random_i64,ChaCha8Rng,Old,,,3657315.0,ns,14850
single_random_i64,ChaCha8Rng,Old,,,2645500.0,ns,15345
single_random_i64,ChaCha8Rng,Old,,,7579198.0,ns,15840
single_random_i64,ChaCha8Rng,Old,,,7556805.0,ns,16335
single_random_i64,ChaCha8Rng,Old,,,3700216.0,ns,16830
single_random_i64,ChaCha8Rng,Old,,,5537303.0,ns,17325
single_random_i64,ChaCha8Rng,Old,,,2856768.0,ns,17820
single_random_i64,ChaCha8Rng,Old,,,7931680.0,ns,18315
single_random_i64,ChaCha8Rng,Old,,,6482844.0,ns,18810
single_random_i64,ChaCha8Rng,Old,,,6046583.0,ns,19305
single_random_i64,ChaCha8Rng,Old,,,7293470.0,ns,19800
single_random_i64,ChaCha8Rng,Old,,,6565029.0,ns,20295
single_random_i64,ChaCha8Rng,Old,,,5243922.0,ns,20790
single_random_i64,ChaCha8Rng,Old,,,4310303.0,ns,21285
single_random_i64,ChaCha8Rng,Old,,,5437486.0,ns,21780
single_random_i64,ChaCha8Rng,Old,,,4525459.0,ns,22275
single_random_i64,ChaCha8Rng,Old,,,11466294.0,ns,22770
single_random_i64,ChaCha8Rng,Old,,,10624320.0,ns,23265
single_random_i64,ChaCha8Rng,Old,,,7946489.0,ns,23760
single_random_i64,ChaCha8Rng,Old,,,9754573.0,ns,24255
single_random_i64,ChaCha8Rng,Old,,,7901655.0,ns,24750
single_random_i64,ChaCha8Rng,Old,,,12252024.0,ns,25245
single_random_i64,ChaCha8Rng,Old,,,6816702.0,ns,25740
single_random_i64,ChaCha8Rng,Old,,,9470878.0,ns,26235
single_random_i64,ChaCha8Rng,Old,,,7198601.0,ns,26730
single_random_i64,ChaCha8Rng,Old,,,10325137.0,ns,27225
single_random_i64,ChaCha8Rng,Old,,,8548242.0,ns,27720
single_random_i64,ChaCha8Rng,Old,,,6466422.0,ns,28215
single_random_i64,ChaCha8Rng,Old,,,10413182.0,ns,28710
single_random_i64,ChaCha8Rng,Old,,,14137012.0,ns,29205
single_random_i64,ChaCha8Rng,Old,,,15255107.0,ns,29700
single_random_i64,ChaCha8Rng,Old,,,10319456.0,ns,30195
single_random_i64,ChaCha8Rng,Old,,,5372423.0,ns,30690
single_random_i64,ChaCha8Rng,Old,,,6097828.0,ns,31185
single_random_i64,ChaCha8Rng,Old,,,6432128.0,ns,31680
single_random_i64,ChaCha8Rng,Old,,,11325570.0,ns,32175
single_random_i64,ChaCha8Rng,Old,,,13144674.0,ns,32670
single_random_i64,ChaCha8Rng,Old,,,13125779.0,ns,33165
single_random_i64,ChaCha8Rng,Old,,,9928189.0,ns,33660
single_random_i64,ChaCha8Rng,Old,,,16895795.0,ns,34155
single_random_i64,ChaCha8Rng,Old,,,17127832.0,ns,34650
single_random_i64,ChaCha8Rng,Old,,,18021795.0,ns,35145
single_random_i64,ChaCha8Rng,Old,,,16019356.0,ns,35640
single_random_i64,ChaCha8Rng,Old,,,17724425.0,ns,36135
single_random_i64,ChaCha8Rng,Old,,,11889902.0,ns,36630
single_random_i64,ChaCha8Rng,Old,,,11697059.0,ns,37125
single_random_i64,ChaCha8Rng,Old,,,10351115.0,ns,37620
single_random_i64,ChaCha8Rng,Old,,,9819084.0,ns,38115
single_random_i64,ChaCha8Rng,Old,,,8406074.0,ns,38610
single_random_i64,ChaCha8Rng,Old,,,12225404.0,ns,39105
single_random_i64,ChaCha8Rng,Old,,,8191771.0,ns,39600
single_random_i64,ChaCha8Rng,Old,,,11353913.0,ns,40095
single_random_i64,ChaCha8Rng,Old,,,21765752.0,ns,40590
single_random_i64,ChaCha8Rng,Old,,,14410857.0,ns,41085
single_random_i64,ChaCha8Rng,Old,,,13738101.0,ns,41580
single_random_i64,ChaCha8Rng,Old,,,11517431.0,ns,42075
single_random_i64,ChaCha8Rng,Old,,,19373068.0,ns,42570
single_random_i64,ChaCha8Rng,Old,,,22422238.0,ns,43065
single_random_i64,ChaCha8Rng,Old,,,7350567.0,ns,43560
single_random_i64,ChaCha8Rng,Old,,,10533970.0,ns,44055
single_random_i64,ChaCha8Rng,Old,,,22025021.0,ns,44550
single_random_i64,ChaCha8Rng,Old,,,16911876.0,ns,45045
single_random_i64,ChaCha8Rng,Old,,,10489346.0,ns,45540
single_random_i64,ChaCha8Rng,Old,,,17983182.0,ns,46035
single_random_i64,ChaCha8Rng,Old,,,14183440.0,ns,46530
single_random_i64,ChaCha8Rng,Old,,,17038975.0,ns,47025
single_random_i64,ChaCha8Rng,Old,,,23113530.0,ns,47520
single_random_i64,ChaCha8Rng,Old,,,23422220.0,ns,48015
single_random_i64,ChaCha8Rng,Old,,,12739762.0,ns,48510
single_random_i64,ChaCha8Rng,Old,,,11212947.0,ns,49005
single_random_i64,ChaCha8Rng,Old,,,12561126.0,ns,49500
