group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ONeill,Pcg32,,,974826.0,ns,115632
single_random_i64,ONeill,Pcg32,,,1976101.0,ns,231264
single_random_i64,ONeill,Pcg32,,,2971393.0,ns,346896
single_random_i64,ONeill,Pcg32,,,3968571.0,ns,462528
single_random_i64,ONeill,Pcg32,,,4951281.0,ns,578160
single_random_i64,ONeill,Pcg32,,,5944331.0,ns,693792
single_random_i64,ONeill,Pcg32,,,6941398.0,ns,809424
single_random_i64,ONeill,Pcg32,,,7945819.0,ns,925056
single_random_i64,ONeill,Pcg32,,,8905656.0,ns,1040688
single_random_i64,ONeill,Pcg32,,,9907793.0,ns,1156320
single_random_i64,ONeill,Pcg32,,,10895603.0,ns,1271952
single_random_i64,ONeill,Pcg32,,,11844678.0,ns,1387584
single_random_i64,ONeill,Pcg32,,,12847447.0,ns,1503216
single_random_i64,ONeill,Pcg32,,,13813676.0,ns,1618848
single_random_i64,ONeill,Pcg32,,,14834588.0,ns,1734480
single_random_i64,ONeill,Pcg32,,,15816927.0,ns,1850112
single_random_i64,ONeill,Pcg32,,,16850083.0,ns,1965744
single_random_i64,ONeill,Pcg32,,,17783089.0,ns,2081376
single_random_i64,ONeill,Pcg32,,,18819691.0,ns,2197008
single_random_i64,ONeill,Pcg32,,,19809063.0,ns,2312640
single_random_i64,ONeill,Pcg32,,,20810858.0,ns,2428272
single_random_i64,ONeill,Pcg32,,,21798428.0,ns,2543904
single_random_i64,ONeill,Pcg32,,,22736945.0,ns,2659536
single_random_i64,ONeill,Pcg32,,,24035951.0,ns,2775168
single_random_i64,ONeill,Pcg32,,,24734395.0,ns,2890800
single_random_i64,ONeill,Pcg32,,,25692049.0,ns,3006432
single_random_i64,ONeill,Pcg32,,,26687583.0,ns,3122064
single_random_i64,ONeill,Pcg32,,,27650405.0,ns,3237696
single_random_i64,ONeill,Pcg32,,,28597919.0,ns,3353328
single_random_i64,ONeill,Pcg32,,,29615394.0,ns,3468960
single_random_i64,ONeill,Pcg32,,,30680680.0,ns,3584592
single_random_i64,ONeill,Pcg32,,,31629526.0,ns,3700224
single_random_i64,ONeill,Pcg32,,,32648385.0,ns,3815856
single_random_i64,ONeill,Pcg32,,,33595939.0,ns,3931488
single_random_i64,ONeill,Pcg32,,,34559422.0,ns,4047120
single_random_i64,ONeill,Pcg32,,,35499482.0,ns,4162752
single_random_i64,ONeill,Pcg32,,,36506037.0,ns,4278384
single_random_i64,ONeill,Pcg32,,,37452929.0,ns,4394016
single_random_i64,ONeill,Pcg32,,,38489911.0,ns,4509648
single_random_i64,ONeill,Pcg32,,,39474495.0,ns,4625280
single_random_i64,ONeill,Pcg32,,,40484737.0,ns,4740912
single_random_i64,ONeill,Pcg32,,,41402916.0,ns,4856544
single_random_i64,ONeill,Pcg32,,,42427315.0,ns,4972176
single_random_i64,ONeill,Pcg32,,,43381981.0,ns,5087808
single_random_i64,ONeill,Pcg32,,,44422069.0,ns,5203440
single_random_i64,ONeill,Pcg32,,,45443773.0,ns,5319072
single_random_i64,ONeill,Pcg32,,,46422385.0,ns,5434704
single_random_i64,ONeill,Pcg32,,,47361513.0,ns,5550336
single_random_i64,ONeill,Pcg32,,,48352279.0,ns,5665968
single_random_i64,ONeill,Pcg32,,,49321673.0,ns,5781600
single_random_i64,ONeill,Pcg32,,,50333759.0,ns,5897232
single_random_i64,ONeill,Pcg32,,,51400437.0,ns,6012864
single_random_i64,ONeill,Pcg32,,,52285694.0,ns,6128496
single_random_i64,ONeill,Pcg32,,,53300313.0,ns,6244128
single_random_i64,ONeill,Pcg32,,,54280489.0,ns,6359760
single_random_i64,ONeill,Pcg32,,,55286774.0,ns,6475392
single_random_i64,ONeill,Pcg32,,,56273771.0,ns,6591024
single_random_i64,ONeill,Pcg32,,,57341512.0,ns,6706656
single_random_i64,ONeill,Pcg32,,,58351834.0,ns,6822288
single_random_i64,ONeill,Pcg32,,,59396621.0,ns,6937920
single_random_i64,ONeill,Pcg32,,,60232925.0,ns,7053552
single_random_i64,ONeill,Pcg32,,,61377109.0,ns,7169184
single_random_i64,ONeill,Pcg32,,,62380918.0,ns,7284816
single_random_i64,ONeill,Pcg32,,,63362577.0,ns,7400448
single_random_i64,ONeill,Pcg32,,,64342953.0,ns,7516080
single_random_i64,ONeill,Pcg32,,,65195608.0,ns,7631712
single_random_i64,ONeill,Pcg32,,,66210108.0,ns,7747344
single_random_i64,ONeill,Pcg32,,,67154205.0,ns,7862976
single_random_i64,ONeill,Pcg32,,,68163526.0,ns,7978608
single_random_i64,ONeill,Pcg32,,,69144503.0,ns,8094240
single_random_i64,ONeill,Pcg32,,,70194689.0,ns,8209872
single_random_i64,ONeill,Pcg32,,,71155247.0,ns,8325504
single_random_i64,ONeill,Pcg32,,,72043119.0,ns,8441136
single_random_i64,ONeill,Pcg32,,,72974773.0,ns,8556768
single_random_i64,ONeill,Pcg32,,,73970288.0,ns,8672400
single_random_i64,ONeill,Pcg32,,,74976071.0,ns,8788032
single_random_i64,ONeill,Pcg32,,,75998546.0,ns,8903664
single_random_i64,ONeill,Pcg32,,,76960267.0,ns,9019296
single_random_i64,ONeill,Pcg32,,,78036102.0,ns,9134928
single_random_i64,ONeill,Pcg32,,,79043609.0,ns,9250560
single_random_i64,ONeill,Pcg32,,,80012833.0,ns,9366192
single_random_i64,ONeill,Pcg32,,,80925741.0,ns,9481824
single_random_i64,ONeill,Pcg32,,,81854791.0,ns,9597456
single_random_i64,ONeill,Pcg32,,,82870292.0,ns,9713088
single_random_i64,ONeill,Pcg32,,,83997445.0,ns,9828720
single_random_i64,ONeill,Pcg32,,,84781150.0,ns,9944352
single_random_i64,ONeill,Pcg32,,,85801080.0,ns,10059984
single_random_i64,ONeill,Pcg32,,,86773321.0,ns,10175616
single_random_i64,ONeill,Pcg32,,,87663396.0,ns,10291248
single_random_i64,ONeill,Pcg32,,,88722401.0,ns,10406880
single_random_i64,ONeill,Pcg32,,,89803225.0,ns,10522512
single_random_i64,ONeill,Pcg32,,,90732214.0,ns,10638144
single_random_i64,ONeill,Pcg32,,,91667986.0,ns,10753776
single_random_i64,ONeill,Pcg32,,,92715066.0,ns,10869408
single_random_i64,ONeill,Pcg32,,,93650237.0,ns,10985040
single_random_i64,ONeill,Pcg32,,,94936469.0,ns,11100672
single_random_i64,ONeill,Pcg32,,,95862933.0,ns,11216304
single_random_i64,ONeill,Pcg32,,,96847516.0,ns,11331936
single_random_i64,ONeill,Pcg32,,,97826440.0,ns,11447568
single_random_i64,ONeill,Pcg32,,,98881806.0,ns,11563200
