group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Old,ChaCha8Rng,,,997578.0,ns,131518
single_random_i64,Old,ChaCha8Rng,,,2004504.0,ns,263036
single_random_i64,Old,ChaCha8Rng,,,3016799.0,ns,394554
single_random_i64,Old,ChaCha8Rng,,,3989801.0,ns,526072
single_random_i64,Old,ChaCha8Rng,,,4988362.0,ns,657590
single_random_i64,Old,ChaCha8Rng,,,5988585.0,ns,789108
single_random_i64,Old,ChaCha8Rng,,,7002213.0,ns,920626
single_random_i64,Old,ChaCha8Rng,,,7969223.0,ns,1052144
single_random_i64,Old,ChaCha8Rng,,,8971180.0,ns,1183662
single_random_i64,Old,ChaCha8Rng,,,9980841.0,ns,1315180
single_random_i64,Old,ChaCha8Rng,,,10984009.0,ns,1446698
single_random_i64,Old,ChaCha8Rng,,,11983622.0,ns,1578216
single_random_i64,Old,ChaCha8Rng,,,12954670.0,ns,1709734
single_random_i64,Old,ChaCha8Rng,,,13977505.0,ns,1841252
single_random_i64,Old,ChaCha8Rng,,,15016421.0,ns,1972770
single_random_i64,Old,ChaCha8Rng,,,15947935.0,ns,2104288
single_random_i64,Old,ChaCha8Rng,,,16961523.0,ns,2235806
single_random_i64,Old,ChaCha8Rng,,,17952509.0,ns,2367324
single_random_i64,Old,ChaCha8Rng,,,19278796.0,ns,2498842
single_random_i64,Old,ChaCha8Rng,,,19928268.0,ns,2630360
single_random_i64,Old,ChaCha8Rng,,,20925707.0,ns,2761878
single_random_i64,Old,ChaCha8Rng,,,21931230.0,ns,2893396
single_random_i64,Old,ChaCha8Rng,,,22946881.0,ns,3024914
single_random_i64,Old,ChaCha8Rng,,,23921416.0,ns,3156432
single_random_i64,Old,ChaCha8Rng,,,24930716.0,ns,3287950
single_random_i64,Old,ChaCha8Rng,,,25906433.0,ns,3419468
single_random_i64,Old,ChaCha8Rng,,,26905945.0,ns,3550986
single_random_i64,Old,ChaCha8Rng,,,27907621.0,ns,3682504
single_random_i64,Old,ChaCha8Rng,,,28932531.0,ns,3814022
single_random_i64,Old,ChaCha8Rng,,,29912997.0,ns,3945540
single_random_i64,Old,ChaCha8Rng,,,30913520.0,ns,4077058
single_random_i64,Old,ChaCha8Rng,,,31866654.0,ns,4208576
single_random_i64,Old,ChaCha8Rng,,,32873119.0,ns,4340094
single_random_i64,Old,ChaCha8Rng,,,33866149.0,ns,4471612
single_random_i64,Old,ChaCha8Rng,,,34880959.0,ns,4603130
single_random_i64,Old,ChaCha8Rng,,,35852067.0,ns,4734648
single_random_i64,Old,ChaCha8Rng,,,36782779.0,ns,4866166
single_random_i64,Old,ChaCha8Rng,,,37819291.0,ns,4997684
single_random_i64,Old,ChaCha8Rng,,,38894595.0,ns,5129202
single_random_i64,Old,ChaCha8Rng,,,39903255.0,ns,5260720
single_random_i64,Old,ChaCha8Rng,,,40855567.0,ns,5392238
single_random_i64,Old,ChaCha8Rng,,,41938647.0,ns,5523756
single_random_i64,Old,ChaCha8Rng,,,42878816.0,ns,5655274
single_random_i64,Old,ChaCha8Rng,,,43976253.0,ns,5786792
single_random_i64,Old,ChaCha8Rng,,,44876117.0,ns,5918310
single_random_i64,Old,ChaCha8Rng,,,45855551.0,ns,6049828
single_random_i64,Old,ChaCha8Rng,,,46738492.0,ns,6181346
single_random_i64,Old,ChaCha8Rng,,,47777980.0,ns,6312864
single_random_i64,Old,ChaCha8Rng,,,48711698.0,ns,6444382
single_random_i64,Old,ChaCha8Rng,,,49851373.0,ns,6575900
single_random_i64,Old,ChaCha8Rng,,,50842299.0,ns,6707418
single_random_i64,Old,ChaCha8Rng,,,51689564.0,ns,6838936
single_random_i64,Old,ChaCha8Rng,,,52671263.0,ns,6970454
single_random_i64,Old,ChaCha8Rng,,,53710339.0,ns,7101972
single_random_i64,Old,ChaCha8Rng,,,54691696.0,ns,7233490
single_random_i64,Old,ChaCha8Rng,,,55720023.0,ns,7365008
single_random_i64,Old,ChaCha8Rng,,,56832096.0,ns,7496526
single_random_i64,Old,ChaCha8Rng,,,57730447.0,ns,7628044
single_random_i64,Old,ChaCha8Rng,,,58856387.0,ns,7759562
single_random_i64,Old,ChaCha8Rng,,,59827856.0,ns,7891080
single_random_i64,Old,ChaCha8Rng,,,60696762.0,ns,8022598
single_random_i64,Old,ChaCha8Rng,,,61635559.0,ns,8154116
single_random_i64,Old,ChaCha8Rng,,,62733416.0,ns,8285634
