group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Old,Pcg32,,,989222.0,ns,140705
single_random_i64,Old,Pcg32,,,1978194.0,ns,281410
single_random_i64,Old,Pcg32,,,2976533.0,ns,422115
single_random_i64,Old,Pcg32,,,3961779.0,ns,562820
single_random_i64,Old,Pcg32,,,4949659.0,ns,703525
single_random_i64,Old,Pcg32,,,5929874.0,ns,844230
single_random_i64,Old,Pcg32,,,6926340.0,ns,984935
single_random_i64,Old,Pcg32,,,7904952.0,ns,1125640
single_random_i64,Old,Pcg32,,,8905966.0,ns,1266345
single_random_i64,Old,Pcg32,,,9895099.0,ns,1407050
single_random_i64,Old,Pcg32,,,10875785.0,ns,1547755
single_random_i64,Old,Pcg32,,,11881749.0,ns,1688460
single_random_i64,Old,Pcg32,,,12877103.0,ns,1829165
single_random_i64,Old,Pcg32,,,13867758.0,ns,1969870
single_random_i64,Old,Pcg32,,,14852182.0,ns,2110575
single_random_i64,Old,Pcg32,,,15825274.0,ns,2251280
single_random_i64,Old,Pcg32,,,16834143.0,ns,2391985
single_random_i64,Old,Pcg32,,,17799420.0,ns,2532690
single_random_i64,Old,Pcg32,,,18784856.0,ns,2673395
single_random_i64,Old,Pcg32,,,19786551.0,ns,2814100
single_random_i64,Old,Pcg32,,,20776164.0,ns,2954805
single_random_i64,Old,Pcg32,,,21754787.0,ns,3095510
single_random_i64,Old,Pcg32,,,22745572.0,ns,3236215
single_random_i64,Old,Pcg32,,,23733642.0,ns,3376920
single_random_i64,Old,Pcg32,,,24714629.0,ns,3517625
single_random_i64,Old,Pcg32,,,25716846.0,ns,3658330
single_random_i64,Old,Pcg32,,,26724453.0,ns,3799035
single_random_i64,Old,Pcg32,,,27698297.0,ns,3939740
single_random_i64,Old,Pcg32,,,28692458.0,ns,4080445
single_random_i64,Old,Pcg32,,,29671341.0,ns,4221150
single_random_i64,Old,Pcg32,,,30662487.0,ns,4361855
single_random_i64,Old,Pcg32,,,31670045.0,ns,4502560
single_random_i64,Old,Pcg32,,,32629841.0,ns,4643265
single_random_i64,Old,Pcg32,,,33612000.0,ns,4783970
single_random_i64,Old,Pcg32,,,34629566.0,ns,4924675
single_random_i64,Old,Pcg32,,,35627935.0,ns,5065380
single_random_i64,Old,Pcg32,,,36574257.0,ns,5206085
single_random_i64,Old,Pcg32,,,37568158.0,ns,5346790
single_random_i64,Old,Pcg32,,,38575766.0,ns,5487495
single_random_i64,Old,Pcg32,,,39551603.0,ns,5628200
single_random_i64,Old,Pcg32,,,40570931.0,ns,5768905
single_random_i64,Old,Pcg32,,,41551979.0,ns,5909610
single_random_i64,Old,Pcg32,,,42574142.0,ns,6050315
single_random_i64,Old,Pcg32,,,43588072.0,ns,6191020
single_random_i64,Old,Pcg32,,,44564630.0,ns,6331725
single_random_i64,Old,Pcg32,,,45532913.0,ns,6472430
single_random_i64,Old,Pcg32,,,46524600.0,ns,6613135
single_random_i64,Old,Pcg32,,,47516367.0,ns,6753840
single_random_i64,Old,Pcg32,,,48558850.0,ns,6894545
single_random_i64,Old,Pcg32,,,49527624.0,ns,7035250
single_random_i64,Old,Pcg32,,,50524811.0,ns,7175955
single_random_i64,Old,Pcg32,,,51448991.0,ns,7316660
single_random_i64,Old,Pcg32,,,52430359.0,ns,7457365
single_random_i64,Old,Pcg32,,,53443427.0,ns,7598070
single_random_i64,Old,Pcg32,,,54532857.0,ns,7738775
single_random_i64,Old,Pcg32,,,55403607.0,ns,7879480
single_random_i64,Old,Pcg32,,,56469874.0,ns,8020185
single_random_i64,Old,Pcg32,,,57421145.0,ns,8160890
single_random_i64,Old,Pcg32,,,58366274.0,ns,8301595
single_random_i64,Old,Pcg32,,,59502373.0,ns,8442300
single_random_i64,Old,Pcg32,,,60451479.0,ns,8583005
single_random_i64,Old,Pcg32,,,61425244.0,ns,8723710
single_random_i64,Old,Pcg32,,,62352900.0,ns,8864415
single_random_i64,Old,Pcg32,,,63291958.0,ns,9005120
single_random_i64,Old,Pcg32,,,64310525.0,ns,9145825
single_random_i64,Old,Pcg32,,,65316400.0,ns,9286530
single_random_i64,Old,Pcg32,,,66309479.0,ns,9427235
single_random_i64,Old,Pcg32,,,67289644.0,ns,9567940
single_random_i64,Old,Pcg32,,,68398853.0,ns,9708645
single_random_i64,Old,Pcg32,,,69263891.0,ns,9849350
