group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Old,SmallRng,,,986608.0,ns,223191
single_random_i64,Old,SmallRng,,,1983744.0,ns,446382
single_random_i64,Old,SmallRng,,,2962898.0,ns,669573
single_random_i64,Old,SmallRng,,,3961197.0,ns,892764
single_random_i64,Old,SmallRng,,,4952233.0,ns,1115955
single_random_i64,Old,SmallRng,,,5945023.0,ns,1339146
single_random_i64,Old,SmallRng,,,6930047.0,ns,1562337
single_random_i64,Old,SmallRng,,,7918327.0,ns,1785528
single_random_i64,Old,SmallRng,,,8909534.0,ns,2008719
single_random_i64,Old,SmallRng,,,9911891.0,ns,2231910
single_random_i64,Old,SmallRng,,,10885093.0,ns,2455101
single_random_i64,Old,SmallRng,,,11859668.0,ns,2678292
single_random_i64,Old,SmallRng,,,12889055.0,ns,2901483
single_random_i64,Old,SmallRng,,,13879641.0,ns,3124674
single_random_i64,Old,SmallRng,,,14857832.0,ns,3347865
single_random_i64,Old,SmallRng,,,15823119.0,ns,3571056
single_random_i64,Old,SmallRng,,,16847398.0,ns,3794247
single_random_i64,Old,SmallRng,,,17854774.0,ns,4017438
single_random_i64,Old,SmallRng,,,18798031.0,ns,4240629
single_random_i64,Old,SmallRng,,,19781192.0,ns,4463820
single_random_i64,Old,SmallRng,,,20765886.0,ns,4687011
single_random_i64,Old,SmallRng,,,21750850.0,ns,4910202
single_random_i64,Old,SmallRng,,,22750322.0,ns,5133393
single_random_i64,Old,SmallRng,,,23724406.0,ns,5356584
single_random_i64,Old,SmallRng,,,24713798.0,ns,5579775
single_random_i64,Old,SmallRng,,,25711005.0,ns,5802966
single_random_i64,Old,SmallRng,,,26717711.0,ns,6026157
single_random_i64,Old,SmallRng,,,27700871.0,ns,6249348
single_random_i64,Old,SmallRng,,,28692598.0,ns,6472539
single_random_i64,Old,SmallRng,,,29680909.0,ns,6695730
single_random_i64,Old,SmallRng,,,30662447.0,ns,6918921
single_random_i64,Old,SmallRng,,,31650427.0,ns,7142112
single_random_i64,Old,SmallRng,,,32734548.0,ns,7365303
single_random_i64,Old,SmallRng,,,33677403.0,ns,7588494
single_random_i64,Old,SmallRng,,,34619968.0,ns,7811685
single_random_i64,Old,SmallRng,,,35611474.0,ns,8034876
single_random_i64,Old,SmallRng,,,36589576.0,ns,8258067
single_random_i64,Old,SmallRng,,,37621950.0,ns,8481258
single_random_i64,Old,SmallRng,,,38595352.0,ns,8704449
single_random_i64,Old,SmallRng,,,39569056.0,ns,8927640
single_random_i64,Old,SmallRng,,,40561684.0,ns,9150831
single_random_i64,Old,SmallRng,,,41608525.0,ns,9374022
single_random_i64,Old,SmallRng,,,42584623.0,ns,9597213
single_random_i64,Old,SmallRng,,,43519302.0,ns,9820404
single_random_i64,Old,SmallRng,,,44513925.0,ns,10043595
single_random_i64,Old,SmallRng,,,45523175.0,ns,10266786
single_random_i64,Old,SmallRng,,,46513550.0,ns,10489977
single_random_i64,Old,SmallRng,,,47548558.0,ns,10713168
single_random_i64,Old,SmallRng,,,48444966.0,ns,10936359
single_random_i64,Old,SmallRng,,,49474674.0,ns,11159550
single_random_i64,Old,SmallRng,,,50468045.0,ns,11382741
single_random_i64,Old,SmallRng,,,51483015.0,ns,11605932
single_random_i64,Old,SmallRng,,,52460716.0,ns,11829123
single_random_i64,Old,SmallRng,,,53453885.0,ns,12052314
single_random_i64,Old,SmallRng,,,54427780.0,ns,12275505
single_random_i64,Old,SmallRng,,,55437691.0,ns,12498696
single_random_i64,Old,SmallRng,,,56410673.0,ns,12721887
single_random_i64,Old,SmallRng,,,57350352.0,ns,12945078
single_random_i64,Old,SmallRng,,,58369600.0,ns,13168269
single_random_i64,Old,SmallRng,,,59318648.0,ns,13391460
single_random_i64,Old,SmallRng,,,60381759.0,ns,13614651
single_random_i64,Old,SmallRng,,,61374307.0,ns,13837842
single_random_i64,Old,SmallRng,,,62330708.0,ns,14061033
single_random_i64,Old,SmallRng,,,63349716.0,ns,14284224
single_random_i64,Old,SmallRng,,,64595091.0,ns,14507415
single_random_i64,Old,SmallRng,,,65349502.0,ns,14730606
single_random_i64,Old,SmallRng,,,66268853.0,ns,14953797
single_random_i64,Old,SmallRng,,,67287430.0,ns,15176988
single_random_i64,Old,SmallRng,,,68228832.0,ns,15400179
single_random_i64,Old,SmallRng,,,69276003.0,ns,15623370
single_random_i64,Old,SmallRng,,,70298188.0,ns,15846561
single_random_i64,Old,SmallRng,,,72903443.0,ns,16069752
single_random_i64,Old,SmallRng,,,74703362.0,ns,16292943
single_random_i64,Old,SmallRng,,,73605024.0,ns,16516134
single_random_i64,Old,SmallRng,,,74298329.0,ns,16739325
single_random_i64,Old,SmallRng,,,75248197.0,ns,16962516
single_random_i64,Old,SmallRng,,,76302683.0,ns,17185707
single_random_i64,Old,SmallRng,,,77237202.0,ns,17408898
single_random_i64,Old,SmallRng,,,78380665.0,ns,17632089
single_random_i64,Old,SmallRng,,,79182384.0,ns,17855280
single_random_i64,Old,SmallRng,,,80193287.0,ns,18078471
single_random_i64,Old,SmallRng,,,81233756.0,ns,18301662
single_random_i64,Old,SmallRng,,,82197992.0,ns,18524853
single_random_i64,Old,SmallRng,,,83225246.0,ns,18748044
single_random_i64,Old,SmallRng,,,84411518.0,ns,18971235
single_random_i64,Old,SmallRng,,,85167041.0,ns,19194426
single_random_i64,Old,SmallRng,,,86115207.0,ns,19417617
single_random_i64,Old,SmallRng,,,87092245.0,ns,19640808
single_random_i64,Old,SmallRng,,,88185064.0,ns,19863999
single_random_i64,Old,SmallRng,,,89184415.0,ns,20087190
single_random_i64,Old,SmallRng,,,90151836.0,ns,20310381
single_random_i64,Old,SmallRng,,,91092937.0,ns,20533572
single_random_i64,Old,SmallRng,,,92060279.0,ns,20756763
single_random_i64,Old,SmallRng,,,93109804.0,ns,20979954
single_random_i64,Old,SmallRng,,,94052279.0,ns,21203145
single_random_i64,Old,SmallRng,,,95167188.0,ns,21426336
single_random_i64,Old,SmallRng,,,95999264.0,ns,21649527
single_random_i64,Old,SmallRng,,,97019215.0,ns,21872718
single_random_i64,Old,SmallRng,,,98053553.0,ns,22095909
single_random_i64,Old,SmallRng,,,98973715.0,ns,22319100
