group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg32,Canon,,,199676.0,ns,29821
single_random_i64,Pcg32,Canon,,,394303.0,ns,59642
single_random_i64,Pcg32,Canon,,,592866.0,ns,89463
single_random_i64,Pcg32,Canon,,,821297.0,ns,119284
single_random_i64,Pcg32,Canon,,,994953.0,ns,149105
single_random_i64,Pcg32,Canon,,,1186813.0,ns,178926
single_random_i64,Pcg32,Canon,,,1382793.0,ns,208747
single_random_i64,Pcg32,Canon,,,1583160.0,ns,238568
single_random_i64,Pcg32,Canon,,,1782365.0,ns,268389
single_random_i64,Pcg32,Canon,,,1978815.0,ns,298210
single_random_i64,Pcg32,Canon,,,2175695.0,ns,328031
single_random_i64,Pcg32,Canon,,,2371664.0,ns,357852
single_random_i64,Pcg32,Canon,,,2569948.0,ns,387673
single_random_i64,Pcg32,Canon,,,2769082.0,ns,417494
single_random_i64,Pcg32,Canon,,,2968367.0,ns,447315
single_random_i64,Pcg32,Canon,,,3162032.0,ns,477136
single_random_i64,Pcg32,Canon,,,3360204.0,ns,506957
single_random_i64,Pcg32,Canon,,,3556494.0,ns,536778
single_random_i64,Pcg32,Canon,,,3759305.0,ns,566599
single_random_i64,Pcg32,Canon,,,3956477.0,ns,596420
single_random_i64,Pcg32,Canon,,,4151554.0,ns,626241
single_random_i64,Pcg32,Canon,,,4351841.0,ns,656062
single_random_i64,Pcg32,Canon,,,4548692.0,ns,685883
single_random_i64,Pcg32,Canon,,,4744610.0,ns,715704
single_random_i64,Pcg32,Canon,,,4940830.0,ns,745525
single_random_i64,Pcg32,Canon,,,5138382.0,ns,775346
single_random_i64,Pcg32,Canon,,,5340222.0,ns,805167
single_random_i64,Pcg32,Canon,,,5536912.0,ns,834988
single_random_i64,Pcg32,Canon,,,5737560.0,ns,864809
single_random_i64,Pcg32,Canon,,,5935061.0,ns,894630
single_random_i64,Pcg32,Canon,,,6130830.0,ns,924451
single_random_i64,Pcg32,Canon,,,6324835.0,ns,954272
single_random_i64,Pcg32,Canon,,,6521876.0,ns,984093
single_random_i64,Pcg32,Canon,,,6721311.0,ns,1013914
single_random_i64,Pcg32,Canon,,,6917751.0,ns,1043735
single_random_i64,Pcg32,Canon,,,7123728.0,ns,1073556
single_random_i64,Pcg32,Canon,,,7313285.0,ns,1103377
single_random_i64,Pcg32,Canon,,,7514955.0,ns,1133198
single_random_i64,Pcg32,Canon,,,7729418.0,ns,1163019
single_random_i64,Pcg32,Canon,,,7907243.0,ns,1192840
single_random_i64,Pcg32,Canon,,,8104194.0,ns,1222661
single_random_i64,Pcg32,Canon,,,8303218.0,ns,1252482
single_random_i64,Pcg32,Canon,,,8506862.0,ns,1282303
single_random_i64,Pcg32,Canon,,,8706347.0,ns,1312124
single_random_i64,Pcg32,Canon,,,8896475.0,ns,1341945
single_random_i64,Pcg32,Canon,,,9095028.0,ns,1371766
single_random_i64,Pcg32,Canon,,,9287741.0,ns,1401587
single_random_i64,Pcg32,Canon,,,9493880.0,ns,1431408
single_random_i64,Pcg32,Canon,,,9689137.0,ns,1461229
single_random_i64,Pcg32,Canon,,,9890777.0,ns,1491050
single_random_i64,Pcg32,Canon,,,10083059.0,ns,1520871
single_random_i64,Pcg32,Canon,,,10279829.0,ns,1550692
single_random_i64,Pcg32,Canon,,,10474735.0,ns,1580513
single_random_i64,Pcg32,Canon,,,10677778.0,ns,1610334
single_random_i64,Pcg32,Canon,,,10876462.0,ns,1640155
single_random_i64,Pcg32,Canon,,,11072180.0,ns,1669976
single_random_i64,Pcg32,Canon,,,11267098.0,ns,1699797
single_random_i64,Pcg32,Canon,,,11468817.0,ns,1729618
single_random_i64,Pcg32,Canon,,,11663002.0,ns,1759439
single_random_i64,Pcg32,Canon,,,11861827.0,ns,1789260
single_random_i64,Pcg32,Canon,,,12062304.0,ns,1819081
single_random_i64,Pcg32,Canon,,,12258393.0,ns,1848902
single_random_i64,Pcg32,Canon,,,12457889.0,ns,1878723
single_random_i64,Pcg32,Canon,,,12653697.0,ns,1908544
single_random_i64,Pcg32,Canon,,,12853673.0,ns,1938365
single_random_i64,Pcg32,Canon,,,13049402.0,ns,1968186
single_random_i64,Pcg32,Canon,,,13245992.0,ns,1998007
single_random_i64,Pcg32,Canon,,,13444705.0,ns,2027828
single_random_i64,Pcg32,Canon,,,13643740.0,ns,2057649
single_random_i64,Pcg32,Canon,,,13835692.0,ns,2087470
single_random_i64,Pcg32,Canon,,,14083408.0,ns,2117291
single_random_i64,Pcg32,Canon,,,14245322.0,ns,2147112
single_random_i64,Pcg32,Canon,,,14438466.0,ns,2176933
single_random_i64,Pcg32,Canon,,,14632251.0,ns,2206754
single_random_i64,Pcg32,Canon,,,14828842.0,ns,2236575
single_random_i64,Pcg32,Canon,,,15039798.0,ns,2266396
single_random_i64,Pcg32,Canon,,,15221139.0,ns,2296217
single_random_i64,Pcg32,Canon,,,15422709.0,ns,2326038
single_random_i64,Pcg32,Canon,,,15620942.0,ns,2355859
single_random_i64,Pcg32,Canon,,,15819395.0,ns,2385680
single_random_i64,Pcg32,Canon,,,16011116.0,ns,2415501
single_random_i64,Pcg32,Canon,,,16208658.0,ns,2445322
single_random_i64,Pcg32,Canon,,,16403646.0,ns,2475143
single_random_i64,Pcg32,Canon,,,16605074.0,ns,2504964
single_random_i64,Pcg32,Canon,,,16799550.0,ns,2534785
single_random_i64,Pcg32,Canon,,,17007762.0,ns,2564606
single_random_i64,Pcg32,Canon,,,17197759.0,ns,2594427
single_random_i64,Pcg32,Canon,,,17403617.0,ns,2624248
single_random_i64,Pcg32,Canon,,,17584498.0,ns,2654069
single_random_i64,Pcg32,Canon,,,17792219.0,ns,2683890
single_random_i64,Pcg32,Canon,,,17988868.0,ns,2713711
single_random_i64,Pcg32,Canon,,,18189406.0,ns,2743532
single_random_i64,Pcg32,Canon,,,18389543.0,ns,2773353
single_random_i64,Pcg32,Canon,,,18579099.0,ns,2803174
single_random_i64,Pcg32,Canon,,,18776712.0,ns,2832995
single_random_i64,Pcg32,Canon,,,18977429.0,ns,2862816
single_random_i64,Pcg32,Canon,,,19177477.0,ns,2892637
single_random_i64,Pcg32,Canon,,,19387081.0,ns,2922458
single_random_i64,Pcg32,Canon,,,19574383.0,ns,2952279
single_random_i64,Pcg32,Canon,,,19775402.0,ns,2982100
