group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg32,Old,,,295797.0,ns,603
single_random_i64,Pcg32,Old,,,283544.0,ns,1206
single_random_i64,Pcg32,Old,,,369736.0,ns,1809
single_random_i64,Pcg32,Old,,,648711.0,ns,2412
single_random_i64,Pcg32,Old,,,440729.0,ns,3015
single_random_i64,Pcg32,Old,,,1310276.0,ns,3618
single_random_i64,Pcg32,Old,,,2030713.0,ns,4221
single_random_i64,Pcg32,Old,,,2311782.0,ns,4824
single_random_i64,Pcg32,Old,,,1357525.0,ns,5427
single_random_i64,Pcg32,Old,,,1183939.0,ns,6030
single_random_i64,Pcg32,Old,,,1866964.0,ns,6633
single_random_i64,Pcg32,Old,,,1304456.0,ns,7236
single_random_i64,Pcg32,Old,,,2317353.0,ns,7839
single_random_i64,Pcg32,Old,,,2370151.0,ns,8442
single_random_i64,Pcg32,Old,,,2592991.0,ns,9045
single_random_i64,Pcg32,Old,,,2492191.0,ns,9648
single_random_i64,Pcg32,Old,,,5006445.0,ns,10251
single_random_i64,Pcg32,Old,,,5297382.0,ns,10854
single_random_i64,Pcg32,Old,,,5667729.0,ns,11457
single_random_i64,Pcg32,Old,,,3819219.0,ns,12060
single_random_i64,Pcg32,Old,,,5048283.0,ns,12663
single_random_i64,Pcg32,Old,,,3889151.0,ns,13266
single_random_i64,Pcg32,Old,,,2756079.0,ns,13869
single_random_i64,Pcg32,Old,,,6451374.0,ns,14472
single_random_i64,Pcg32,Old,,,6689633.0,ns,15075
single_random_i64,Pcg32,Old,,,2449771.0,ns,15678
single_random_i64,Pcg32,Old,,,8480805.0,ns,16281
single_random_i64,Pcg32,Old,,,5145246.0,ns,16884
single_random_i64,Pcg32,Old,,,3312967.0,ns,17487
single_random_i64,Pcg32,Old,,,7599366.0,ns,18090
single_random_i64,Pcg32,Old,,,7658236.0,ns,18693
single_random_i64,Pcg32,Old,,,7248555.0,ns,19296
single_random_i64,Pcg32,Old,,,4153879.0,ns,19899
single_random_i64,Pcg32,Old,,,4042650.0,ns,20502
single_random_i64,Pcg32,Old,,,10849965.0,ns,21105
single_random_i64,Pcg32,Old,,,4216778.0,ns,21708
single_random_i64,Pcg32,Old,,,3925689.0,ns,22311
single_random_i64,Pcg32,Old,,,6736501.0,ns,22914
single_random_i64,Pcg32,Old,,,5977652.0,ns,23517
single_random_i64,Pcg32,Old,,,9270531.0,ns,24120
single_random_i64,Pcg32,Old,,,5691504.0,ns,24723
single_random_i64,Pcg32,Old,,,5554586.0,ns,25326
single_random_i64,Pcg32,Old,,,8660523.0,ns,25929
single_random_i64,Pcg32,Old,,,11320940.0,ns,26532
single_random_i64,Pcg32,Old,,,5466851.0,ns,27135
single_random_i64,Pcg32,Old,,,5804406.0,ns,27738
single_random_i64,Pcg32,Old,,,9556449.0,ns,28341
single_random_i64,Pcg32,Old,,,7769575.0,ns,28944
single_random_i64,Pcg32,Old,,,12192472.0,ns,29547
single_random_i64,Pcg32,Old,,,7002632.0,ns,30150
single_random_i64,Pcg32,Old,,,7867921.0,ns,30753
single_random_i64,Pcg32,Old,,,14805461.0,ns,31356
single_random_i64,Pcg32,Old,,,9779169.0,ns,31959
single_random_i64,Pcg32,Old,,,5624347.0,ns,32562
single_random_i64,Pcg32,Old,,,11336220.0,ns,33165
single_random_i64,Pcg32,Old,,,17301729.0,ns,33768
single_random_i64,Pcg32,Old,,,17119206.0,ns,34371
single_random_i64,Pcg32,Old,,,10009322.0,ns,34974
single_random_i64,Pcg32,Old,,,12057597.0,ns,35577
single_random_i64,Pcg32,Old,,,16449125.0,ns,36180
single_random_i64,Pcg32,Old,,,7476484.0,ns,36783
single_random_i64,Pcg32,Old,,,12183895.0,ns,37386
single_random_i64,Pcg32,Old,,,17340081.0,ns,37989
single_random_i64,Pcg32,Old,,,16925271.0,ns,38592
single_random_i64,Pcg32,Old,,,11679927.0,ns,39195
single_random_i64,Pcg32,Old,,,13912429.0,ns,39798
single_random_i64,Pcg32,Old,,,10630742.0,ns,40401
single_random_i64,Pcg32,Old,,,8773015.0,ns,41004
single_random_i64,Pcg32,Old,,,11974311.0,ns,41607
single_random_i64,Pcg32,Old,,,7626146.0,ns,42210
single_random_i64,Pcg32,Old,,,8082314.0,ns,42813
single_random_i64,Pcg32,Old,,,19216013.0,ns,43416
single_random_i64,Pcg32,Old,,,7117849.0,ns,44019
single_random_i64,Pcg32,Old,,,21136619.0,ns,44622
single_random_i64,Pcg32,Old,,,14899888.0,ns,45225
single_random_i64,Pcg32,Old,,,22002759.0,ns,45828
single_random_i64,Pcg32,Old,,,17491577.0,ns,46431
single_random_i64,Pcg32,Old,,,20843266.0,ns,47034
single_random_i64,Pcg32,Old,,,12032701.0,ns,47637
single_random_i64,Pcg32,Old,,,7609775.0,ns,48240
single_random_i64,Pcg32,Old,,,25041429.0,ns,48843
single_random_i64,Pcg32,Old,,,11151963.0,ns,49446
single_random_i64,Pcg32,Old,,,11234328.0,ns,50049
single_random_i64,Pcg32,Old,,,25313501.0,ns,50652
single_random_i64,Pcg32,Old,,,16686962.0,ns,51255
single_random_i64,Pcg32,Old,,,13313342.0,ns,51858
single_random_i64,Pcg32,Old,,,26044076.0,ns,52461
single_random_i64,Pcg32,Old,,,10430946.0,ns,53064
single_random_i64,Pcg32,Old,,,8003516.0,ns,53667
single_random_i64,Pcg32,Old,,,19337912.0,ns,54270
single_random_i64,Pcg32,Old,,,28441259.0,ns,54873
single_random_i64,Pcg32,Old,,,17155755.0,ns,55476
single_random_i64,Pcg32,Old,,,29176673.0,ns,56079
single_random_i64,Pcg32,Old,,,16323748.0,ns,56682
single_random_i64,Pcg32,Old,,,8256873.0,ns,57285
single_random_i64,Pcg32,Old,,,11830971.0,ns,57888
single_random_i64,Pcg32,Old,,,20026970.0,ns,58491
single_random_i64,Pcg32,Old,,,17419702.0,ns,59094
single_random_i64,Pcg32,Old,,,20302889.0,ns,59697
single_random_i64,Pcg32,Old,,,13191402.0,ns,60300
