group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg64,Canon-Lemire,,,192682.0,ns,1886
single_random_i64,Pcg64,Canon-Lemire,,,814283.0,ns,3772
single_random_i64,Pcg64,Canon-Lemire,,,1121341.0,ns,5658
single_random_i64,Pcg64,Canon-Lemire,,,1331757.0,ns,7544
single_random_i64,Pcg64,Canon-Lemire,,,1263358.0,ns,9430
single_random_i64,Pcg64,Canon-Lemire,,,1749613.0,ns,11316
single_random_i64,Pcg64,Canon-Lemire,,,1360762.0,ns,13202
single_random_i64,Pcg64,Canon-Lemire,,,2416449.0,ns,15088
single_random_i64,Pcg64,Canon-Lemire,,,1577880.0,ns,16974
single_random_i64,Pcg64,Canon-Lemire,,,1825105.0,ns,18860
single_random_i64,Pcg64,Canon-Lemire,,,2690414.0,ns,20746
single_random_i64,Pcg64,Canon-Lemire,,,6871545.0,ns,22632
single_random_i64,Pcg64,Canon-Lemire,,,4991236.0,ns,24518
single_random_i64,Pcg64,Canon-Lemire,,,2647664.0,ns,26404
single_random_i64,Pcg64,Canon-Lemire,,,3407294.0,ns,28290
single_random_i64,Pcg64,Canon-Lemire,,,2742452.0,ns,30176
single_random_i64,Pcg64,Canon-Lemire,,,6206263.0,ns,32062
single_random_i64,Pcg64,Canon-Lemire,,,3424897.0,ns,33948
single_random_i64,Pcg64,Canon-Lemire,,,5070184.0,ns,35834
single_random_i64,Pcg64,Canon-Lemire,,,8325562.0,ns,37720
single_random_i64,Pcg64,Canon-Lemire,,,3976696.0,ns,39606
single_random_i64,Pcg64,Canon-Lemire,,,5603519.0,ns,41492
single_random_i64,Pcg64,Canon-Lemire,,,13872274.0,ns,43378
single_random_i64,Pcg64,Canon-Lemire,,,7448552.0,ns,45264
single_random_i64,Pcg64,Canon-Lemire,,,4523956.0,ns,47150
single_random_i64,Pcg64,Canon-Lemire,,,4168697.0,ns,49036
single_random_i64,Pcg64,Canon-Lemire,,,16311606.0,ns,50922
single_random_i64,Pcg64,Canon-Lemire,,,6529972.0,ns,52808
single_random_i64,Pcg64,Canon-Lemire,,,8819873.0,ns,54694
single_random_i64,Pcg64,Canon-Lemire,,,5949289.0,ns,56580
single_random_i64,Pcg64,Canon-Lemire,,,9614789.0,ns,58466
single_random_i64,Pcg64,Canon-Lemire,,,14651050.0,ns,60352
single_random_i64,Pcg64,Canon-Lemire,,,5333610.0,ns,62238
single_random_i64,Pcg64,Canon-Lemire,,,5608107.0,ns,64124
single_random_i64,Pcg64,Canon-Lemire,,,11202679.0,ns,66010
single_random_i64,Pcg64,Canon-Lemire,,,7087151.0,ns,67896
single_random_i64,Pcg64,Canon-Lemire,,,10988044.0,ns,69782
single_random_i64,Pcg64,Canon-Lemire,,,16285697.0,ns,71668
single_random_i64,Pcg64,Canon-Lemire,,,10307644.0,ns,73554
single_random_i64,Pcg64,Canon-Lemire,,,23987735.0,ns,75440
single_random_i64,Pcg64,Canon-Lemire,,,7493286.0,ns,77326
single_random_i64,Pcg64,Canon-Lemire,,,7066573.0,ns,79212
single_random_i64,Pcg64,Canon-Lemire,,,7069357.0,ns,81098
single_random_i64,Pcg64,Canon-Lemire,,,8410442.0,ns,82984
single_random_i64,Pcg64,Canon-Lemire,,,8984622.0,ns,84870
single_random_i64,Pcg64,Canon-Lemire,,,14823685.0,ns,86756
single_random_i64,Pcg64,Canon-Lemire,,,8249980.0,ns,88642
single_random_i64,Pcg64,Canon-Lemire,,,19725252.0,ns,90528
single_random_i64,Pcg64,Canon-Lemire,,,13908912.0,ns,92414
single_random_i64,Pcg64,Canon-Lemire,,,8310494.0,ns,94300
single_random_i64,Pcg64,Canon-Lemire,,,9847357.0,ns,96186
single_random_i64,Pcg64,Canon-Lemire,,,16363303.0,ns,98072
single_random_i64,Pcg64,Canon-Lemire,,,10402623.0,ns,99958
single_random_i64,Pcg64,Canon-Lemire,,,32241293.0,ns,101844
single_random_i64,Pcg64,Canon-Lemire,,,11590869.0,ns,103730
single_random_i64,Pcg64,Canon-Lemire,,,13308553.0,ns,105616
single_random_i64,Pcg64,Canon-Lemire,,,9995607.0,ns,107502
single_random_i64,Pcg64,Canon-Lemire,,,23905411.0,ns,109388
single_random_i64,Pcg64,Canon-Lemire,,,10925637.0,ns,111274
single_random_i64,Pcg64,Canon-Lemire,,,11488947.0,ns,113160
single_random_i64,Pcg64,Canon-Lemire,,,9964447.0,ns,115046
single_random_i64,Pcg64,Canon-Lemire,,,12019998.0,ns,116932
single_random_i64,Pcg64,Canon-Lemire,,,10884139.0,ns,118818
single_random_i64,Pcg64,Canon-Lemire,,,27482914.0,ns,120704
