group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,SmallRng,Canon-Unbiased,,,196620.0,ns,39092
single_random_i64,SmallRng,Canon-Unbiased,,,392629.0,ns,78184
single_random_i64,SmallRng,Canon-Unbiased,,,591653.0,ns,117276
single_random_i64,SmallRng,Canon-Unbiased,,,788154.0,ns,156368
single_random_i64,SmallRng,Canon-Unbiased,,,985495.0,ns,195460
single_random_i64,SmallRng,Canon-Unbiased,,,1175071.0,ns,234552
single_random_i64,SmallRng,Canon-Unbiased,,,1376882.0,ns,273644
single_random_i64,SmallRng,Canon-Unbiased,,,1586556.0,ns,312736
single_random_i64,SmallRng,Canon-Unbiased,,,1768238.0,ns,351828
single_random_i64,SmallRng,Canon-Unbiased,,,1968966.0,ns,390920
single_random_i64,SmallRng,Canon-Unbiased,,,2172219.0,ns,430012
single_random_i64,SmallRng,Canon-Unbiased,,,2363007.0,ns,469104
single_random_i64,SmallRng,Canon-Unbiased,,,2564948.0,ns,508196
single_random_i64,SmallRng,Canon-Unbiased,,,2754645.0,ns,547288
single_random_i64,SmallRng,Canon-Unbiased,,,2952858.0,ns,586380
single_random_i64,SmallRng,Canon-Unbiased,,,3157093.0,ns,625472
single_random_i64,SmallRng,Canon-Unbiased,,,3347341.0,ns,664564
single_random_i64,SmallRng,Canon-Unbiased,,,3555162.0,ns,703656
single_random_i64,SmallRng,Canon-Unbiased,,,3761180.0,ns,742748
single_random_i64,SmallRng,Canon-Unbiased,,,3954964.0,ns,781840
single_random_i64,SmallRng,Canon-Unbiased,,,4143579.0,ns,820932
single_random_i64,SmallRng,Canon-Unbiased,,,4334288.0,ns,860024
single_random_i64,SmallRng,Canon-Unbiased,,,4534205.0,ns,899116
single_random_i64,SmallRng,Canon-Unbiased,,,4740333.0,ns,938208
single_random_i64,SmallRng,Canon-Unbiased,,,4945419.0,ns,977300
single_random_i64,SmallRng,Canon-Unbiased,,,5120628.0,ns,1016392
single_random_i64,SmallRng,Canon-Unbiased,,,5327447.0,ns,1055484
single_random_i64,SmallRng,Canon-Unbiased,,,5520300.0,ns,1094576
single_random_i64,SmallRng,Canon-Unbiased,,,5712712.0,ns,1133668
single_random_i64,SmallRng,Canon-Unbiased,,,5923910.0,ns,1172760
single_random_i64,SmallRng,Canon-Unbiased,,,6097667.0,ns,1211852
single_random_i64,SmallRng,Canon-Unbiased,,,6300799.0,ns,1250944
single_random_i64,SmallRng,Canon-Unbiased,,,6496358.0,ns,1290036
single_random_i64,SmallRng,Canon-Unbiased,,,6685213.0,ns,1329128
single_random_i64,SmallRng,Canon-Unbiased,,,6884769.0,ns,1368220
single_random_i64,SmallRng,Canon-Unbiased,,,7096647.0,ns,1407312
single_random_i64,SmallRng,Canon-Unbiased,,,7280243.0,ns,1446404
single_random_i64,SmallRng,Canon-Unbiased,,,7479488.0,ns,1485496
single_random_i64,SmallRng,Canon-Unbiased,,,7658735.0,ns,1524588
single_random_i64,SmallRng,Canon-Unbiased,,,7870904.0,ns,1563680
single_random_i64,SmallRng,Canon-Unbiased,,,8066212.0,ns,1602772
single_random_i64,SmallRng,Canon-Unbiased,,,8258194.0,ns,1641864
single_random_i64,SmallRng,Canon-Unbiased,,,8460445.0,ns,1680956
single_random_i64,SmallRng,Canon-Unbiased,,,8667855.0,ns,1720048
single_random_i64,SmallRng,Canon-Unbiased,,,8847573.0,ns,1759140
single_random_i64,SmallRng,Canon-Unbiased,,,9062838.0,ns,1798232
single_random_i64,SmallRng,Canon-Unbiased,,,9234121.0,ns,1837324
single_random_i64,SmallRng,Canon-Unbiased,,,9416865.0,ns,1876416
single_random_i64,SmallRng,Canon-Unbiased,,,9624496.0,ns,1915508
single_random_i64,SmallRng,Canon-Unbiased,,,9829902.0,ns,1954600
single_random_i64,SmallRng,Canon-Unbiased,,,10021152.0,ns,1993692
single_random_i64,SmallRng,Canon-Unbiased,,,10227230.0,ns,2032784
single_random_i64,SmallRng,Canon-Unbiased,,,10438678.0,ns,2071876
single_random_i64,SmallRng,Canon-Unbiased,,,10608407.0,ns,2110968
single_random_i64,SmallRng,Canon-Unbiased,,,10797203.0,ns,2150060
single_random_i64,SmallRng,Canon-Unbiased,,,10995696.0,ns,2189152
single_random_i64,SmallRng,Canon-Unbiased,,,11177819.0,ns,2228244
single_random_i64,SmallRng,Canon-Unbiased,,,11406280.0,ns,2267336
single_random_i64,SmallRng,Canon-Unbiased,,,11578984.0,ns,2306428
single_random_i64,SmallRng,Canon-Unbiased,,,11790823.0,ns,2345520
