group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,SmallRng,Canon32,,,196701.0,ns,47850
single_random_i64,SmallRng,Canon32,,,397959.0,ns,95700
single_random_i64,SmallRng,Canon32,,,593918.0,ns,143550
single_random_i64,SmallRng,Canon32,,,792782.0,ns,191400
single_random_i64,SmallRng,Canon32,,,989683.0,ns,239250
single_random_i64,SmallRng,Canon32,,,1182535.0,ns,287100
single_random_i64,SmallRng,Canon32,,,1388884.0,ns,334950
single_random_i64,SmallRng,Canon32,,,1577169.0,ns,382800
single_random_i64,SmallRng,Canon32,,,1779890.0,ns,430650
single_random_i64,SmallRng,Canon32,,,1974576.0,ns,478500
single_random_i64,SmallRng,Canon32,,,2171858.0,ns,526350
single_random_i64,SmallRng,Canon32,,,2369449.0,ns,574200
single_random_i64,SmallRng,Canon32,,,2563946.0,ns,622050
single_random_i64,SmallRng,Canon32,,,2767069.0,ns,669900
single_random_i64,SmallRng,Canon32,,,2965231.0,ns,717750
single_random_i64,SmallRng,Canon32,,,3160489.0,ns,765600
single_random_i64,SmallRng,Canon32,,,3356858.0,ns,813450
single_random_i64,SmallRng,Canon32,,,3557096.0,ns,861300
single_random_i64,SmallRng,Canon32,,,3751071.0,ns,909150
single_random_i64,SmallRng,Canon32,,,3947730.0,ns,957000
single_random_i64,SmallRng,Canon32,,,4155471.0,ns,1004850
single_random_i64,SmallRng,Canon32,,,4347333.0,ns,1052700
single_random_i64,SmallRng,Canon32,,,4535968.0,ns,1100550
single_random_i64,SmallRng,Canon32,,,4741395.0,ns,1148400
single_random_i64,SmallRng,Canon32,,,4934198.0,ns,1196250
single_random_i64,SmallRng,Canon32,,,5138131.0,ns,1244100
single_random_i64,SmallRng,Canon32,,,5337657.0,ns,1291950
single_random_i64,SmallRng,Canon32,,,5537212.0,ns,1339800
single_random_i64,SmallRng,Canon32,,,5759370.0,ns,1387650
single_random_i64,SmallRng,Canon32,,,5949398.0,ns,1435500
single_random_i64,SmallRng,Canon32,,,6133725.0,ns,1483350
single_random_i64,SmallRng,Canon32,,,6322129.0,ns,1531200
single_random_i64,SmallRng,Canon32,,,6514191.0,ns,1579050
single_random_i64,SmallRng,Canon32,,,6716632.0,ns,1626900
single_random_i64,SmallRng,Canon32,,,6905367.0,ns,1674750
single_random_i64,SmallRng,Canon32,,,7115553.0,ns,1722600
single_random_i64,SmallRng,Canon32,,,7305311.0,ns,1770450
single_random_i64,SmallRng,Canon32,,,7536145.0,ns,1818300
single_random_i64,SmallRng,Canon32,,,7704491.0,ns,1866150
single_random_i64,SmallRng,Canon32,,,7898647.0,ns,1914000
single_random_i64,SmallRng,Canon32,,,8098463.0,ns,1961850
single_random_i64,SmallRng,Canon32,,,8291256.0,ns,2009700
single_random_i64,SmallRng,Canon32,,,8492494.0,ns,2057550
single_random_i64,SmallRng,Canon32,,,8699434.0,ns,2105400
single_random_i64,SmallRng,Canon32,,,8884012.0,ns,2153250
single_random_i64,SmallRng,Canon32,,,9076143.0,ns,2201100
single_random_i64,SmallRng,Canon32,,,9268766.0,ns,2248950
single_random_i64,SmallRng,Canon32,,,9473191.0,ns,2296800
single_random_i64,SmallRng,Canon32,,,9679338.0,ns,2344650
single_random_i64,SmallRng,Canon32,,,9861571.0,ns,2392500
single_random_i64,SmallRng,Canon32,,,10160274.0,ns,2440350
single_random_i64,SmallRng,Canon32,,,10262757.0,ns,2488200
single_random_i64,SmallRng,Canon32,,,10452624.0,ns,2536050
single_random_i64,SmallRng,Canon32,,,10649224.0,ns,2583900
single_random_i64,SmallRng,Canon32,,,10846095.0,ns,2631750
single_random_i64,SmallRng,Canon32,,,11060498.0,ns,2679600
single_random_i64,SmallRng,Canon32,,,11241849.0,ns,2727450
single_random_i64,SmallRng,Canon32,,,11451765.0,ns,2775300
single_random_i64,SmallRng,Canon32,,,11633115.0,ns,2823150
single_random_i64,SmallRng,Canon32,,,11830167.0,ns,2871000
single_random_i64,SmallRng,Canon32,,,12020214.0,ns,2918850
single_random_i64,SmallRng,Canon32,,,12234738.0,ns,2966700
single_random_i64,SmallRng,Canon32,,,12440826.0,ns,3014550
single_random_i64,SmallRng,Canon32,,,12627548.0,ns,3062400
single_random_i64,SmallRng,Canon32,,,12818327.0,ns,3110250
single_random_i64,SmallRng,Canon32,,,13030958.0,ns,3158100
single_random_i64,SmallRng,Canon32,,,13229150.0,ns,3205950
single_random_i64,SmallRng,Canon32,,,13421211.0,ns,3253800
single_random_i64,SmallRng,Canon32,,,13622140.0,ns,3301650
single_random_i64,SmallRng,Canon32,,,13808811.0,ns,3349500
single_random_i64,SmallRng,Canon32,,,14023936.0,ns,3397350
single_random_i64,SmallRng,Canon32,,,14219514.0,ns,3445200
single_random_i64,SmallRng,Canon32,,,14409562.0,ns,3493050
single_random_i64,SmallRng,Canon32,,,14639695.0,ns,3540900
single_random_i64,SmallRng,Canon32,,,14813913.0,ns,3588750
single_random_i64,SmallRng,Canon32,,,14992650.0,ns,3636600
single_random_i64,SmallRng,Canon32,,,15194770.0,ns,3684450
single_random_i64,SmallRng,Canon32,,,15397271.0,ns,3732300
single_random_i64,SmallRng,Canon32,,,15585675.0,ns,3780150
single_random_i64,SmallRng,Canon32,,,15781424.0,ns,3828000
single_random_i64,SmallRng,Canon32,,,16037466.0,ns,3875850
single_random_i64,SmallRng,Canon32,,,16191265.0,ns,3923700
single_random_i64,SmallRng,Canon32,,,16405418.0,ns,3971550
single_random_i64,SmallRng,Canon32,,,16576701.0,ns,4019400
single_random_i64,SmallRng,Canon32,,,16777559.0,ns,4067250
single_random_i64,SmallRng,Canon32,,,17025937.0,ns,4115100
single_random_i64,SmallRng,Canon32,,,17164678.0,ns,4162950
single_random_i64,SmallRng,Canon32,,,17369413.0,ns,4210800
single_random_i64,SmallRng,Canon32,,,17560312.0,ns,4258650
single_random_i64,SmallRng,Canon32,,,17763775.0,ns,4306500
single_random_i64,SmallRng,Canon32,,,17943283.0,ns,4354350
single_random_i64,SmallRng,Canon32,,,18167494.0,ns,4402200
single_random_i64,SmallRng,Canon32,,,18340100.0,ns,4450050
single_random_i64,SmallRng,Canon32,,,18563110.0,ns,4497900
single_random_i64,SmallRng,Canon32,,,18739301.0,ns,4545750
single_random_i64,SmallRng,Canon32,,,18951271.0,ns,4593600
single_random_i64,SmallRng,Canon32,,,19152990.0,ns,4641450
single_random_i64,SmallRng,Canon32,,,19319383.0,ns,4689300
single_random_i64,SmallRng,Canon32,,,19550969.0,ns,4737150
single_random_i64,SmallRng,Canon32,,,19715408.0,ns,4785000
