group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,ChaCha8Rng,Canon-Lemire,,,198253.0,ns,58565
single_random_i8,ChaCha8Rng,Canon-Lemire,,,397679.0,ns,117130
single_random_i8,ChaCha8Rng,Canon-Lemire,,,595872.0,ns,175695
single_random_i8,ChaCha8Rng,Canon-Lemire,,,792682.0,ns,234260
single_random_i8,ChaCha8Rng,Canon-Lemire,,,994191.0,ns,292825
single_random_i8,ChaCha8Rng,Canon-Lemire,,,1190681.0,ns,351390
single_random_i8,ChaCha8Rng,Canon-Lemire,,,1389145.0,ns,409955
single_random_i8,ChaCha8Rng,Canon-Lemire,,,1575836.0,ns,468520
single_random_i8,ChaCha8Rng,Canon-Lemire,,,1783537.0,ns,527085
single_random_i8,ChaCha8Rng,Canon-Lemire,,,1988402.0,ns,585650
single_random_i8,ChaCha8Rng,Canon-Lemire,,,2175224.0,ns,644215
single_random_i8,ChaCha8Rng,Canon-Lemire,,,2380200.0,ns,702780
single_random_i8,ChaCha8Rng,Canon-Lemire,,,2577802.0,ns,761345
single_random_i8,ChaCha8Rng,Canon-Lemire,,,2782346.0,ns,819910
single_random_i8,ChaCha8Rng,Canon-Lemire,,,2978656.0,ns,878475
single_random_i8,ChaCha8Rng,Canon-Lemire,,,3175175.0,ns,937040
single_random_i8,ChaCha8Rng,Canon-Lemire,,,3372698.0,ns,995605
single_random_i8,ChaCha8Rng,Canon-Lemire,,,3571132.0,ns,1054170
single_random_i8,ChaCha8Rng,Canon-Lemire,,,3769334.0,ns,1112735
single_random_i8,ChaCha8Rng,Canon-Lemire,,,3976084.0,ns,1171300
single_random_i8,ChaCha8Rng,Canon-Lemire,,,4162204.0,ns,1229865
single_random_i8,ChaCha8Rng,Canon-Lemire,,,4362911.0,ns,1288430
single_random_i8,ChaCha8Rng,Canon-Lemire,,,4548651.0,ns,1346995
single_random_i8,ChaCha8Rng,Canon-Lemire,,,4735332.0,ns,1405560
single_random_i8,ChaCha8Rng,Canon-Lemire,,,4936812.0,ns,1464125
single_random_i8,ChaCha8Rng,Canon-Lemire,,,5148780.0,ns,1522690
single_random_i8,ChaCha8Rng,Canon-Lemire,,,5378383.0,ns,1581255
single_random_i8,ChaCha8Rng,Canon-Lemire,,,5562449.0,ns,1639820
single_random_i8,ChaCha8Rng,Canon-Lemire,,,5750503.0,ns,1698385
single_random_i8,ChaCha8Rng,Canon-Lemire,,,5950650.0,ns,1756950
single_random_i8,ChaCha8Rng,Canon-Lemire,,,6119076.0,ns,1815515
single_random_i8,ChaCha8Rng,Canon-Lemire,,,6353277.0,ns,1874080
single_random_i8,ChaCha8Rng,Canon-Lemire,,,6535451.0,ns,1932645
single_random_i8,ChaCha8Rng,Canon-Lemire,,,6737270.0,ns,1991210
single_random_i8,ChaCha8Rng,Canon-Lemire,,,6956503.0,ns,2049775
single_random_i8,ChaCha8Rng,Canon-Lemire,,,7131863.0,ns,2108340
single_random_i8,ChaCha8Rng,Canon-Lemire,,,7329715.0,ns,2166905
single_random_i8,ChaCha8Rng,Canon-Lemire,,,7528830.0,ns,2225470
single_random_i8,ChaCha8Rng,Canon-Lemire,,,7719108.0,ns,2284035
single_random_i8,ChaCha8Rng,Canon-Lemire,,,7926969.0,ns,2342600
single_random_i8,ChaCha8Rng,Canon-Lemire,,,8107138.0,ns,2401165
single_random_i8,ChaCha8Rng,Canon-Lemire,,,8265827.0,ns,2459730
single_random_i8,ChaCha8Rng,Canon-Lemire,,,8464781.0,ns,2518295
single_random_i8,ChaCha8Rng,Canon-Lemire,,,8660680.0,ns,2576860
single_random_i8,ChaCha8Rng,Canon-Lemire,,,8865987.0,ns,2635425
single_random_i8,ChaCha8Rng,Canon-Lemire,,,9100478.0,ns,2693990
single_random_i8,ChaCha8Rng,Canon-Lemire,,,9274586.0,ns,2752555
single_random_i8,ChaCha8Rng,Canon-Lemire,,,9485513.0,ns,2811120
single_random_i8,ChaCha8Rng,Canon-Lemire,,,9686521.0,ns,2869685
single_random_i8,ChaCha8Rng,Canon-Lemire,,,9877621.0,ns,2928250
single_random_i8,ChaCha8Rng,Canon-Lemire,,,10067588.0,ns,2986815
single_random_i8,ChaCha8Rng,Canon-Lemire,,,10268367.0,ns,3045380
single_random_i8,ChaCha8Rng,Canon-Lemire,,,10476949.0,ns,3103945
