group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg32,Canon,,,207290.0,ns,1854
single_random_i8,Pcg32,Canon,,,394222.0,ns,3708
single_random_i8,Pcg32,Canon,,,592455.0,ns,5562
single_random_i8,Pcg32,Canon,,,788394.0,ns,7416
single_random_i8,Pcg32,Canon,,,986547.0,ns,9270
single_random_i8,Pcg32,Canon,,,1185111.0,ns,11124
single_random_i8,Pcg32,Canon,,,1381110.0,ns,12978
single_random_i8,Pcg32,Canon,,,1577971.0,ns,14832
single_random_i8,Pcg32,Canon,,,1776354.0,ns,16686
single_random_i8,Pcg32,Canon,,,2114120.0,ns,18540
single_random_i8,Pcg32,Canon,,,2192988.0,ns,20394
single_random_i8,Pcg32,Canon,,,2368208.0,ns,22248
single_random_i8,Pcg32,Canon,,,2573534.0,ns,24102
single_random_i8,Pcg32,Canon,,,2761698.0,ns,25956
single_random_i8,Pcg32,Canon,,,2960042.0,ns,27810
single_random_i8,Pcg32,Canon,,,3156692.0,ns,29664
single_random_i8,Pcg32,Canon,,,3354765.0,ns,31518
single_random_i8,Pcg32,Canon,,,3565833.0,ns,33372
single_random_i8,Pcg32,Canon,,,3749969.0,ns,35226
single_random_i8,Pcg32,Canon,,,3951819.0,ns,37080
single_random_i8,Pcg32,Canon,,,4144060.0,ns,38934
single_random_i8,Pcg32,Canon,,,4346783.0,ns,40788
single_random_i8,Pcg32,Canon,,,4539526.0,ns,42642
single_random_i8,Pcg32,Canon,,,4736517.0,ns,44496
single_random_i8,Pcg32,Canon,,,4933667.0,ns,46350
single_random_i8,Pcg32,Canon,,,5129346.0,ns,48204
single_random_i8,Pcg32,Canon,,,5340814.0,ns,50058
single_random_i8,Pcg32,Canon,,,5517928.0,ns,51912
single_random_i8,Pcg32,Canon,,,5722212.0,ns,53766
single_random_i8,Pcg32,Canon,,,5920174.0,ns,55620
single_random_i8,Pcg32,Canon,,,6120411.0,ns,57474
single_random_i8,Pcg32,Canon,,,6315308.0,ns,59328
single_random_i8,Pcg32,Canon,,,6507660.0,ns,61182
single_random_i8,Pcg32,Canon,,,6716273.0,ns,63036
single_random_i8,Pcg32,Canon,,,6910548.0,ns,64890
single_random_i8,Pcg32,Canon,,,7102681.0,ns,66744
single_random_i8,Pcg32,Canon,,,7301164.0,ns,68598
single_random_i8,Pcg32,Canon,,,7489308.0,ns,70452
single_random_i8,Pcg32,Canon,,,7703852.0,ns,72306
single_random_i8,Pcg32,Canon,,,7880745.0,ns,74160
single_random_i8,Pcg32,Canon,,,8070131.0,ns,76014
single_random_i8,Pcg32,Canon,,,8274496.0,ns,77868
single_random_i8,Pcg32,Canon,,,8509639.0,ns,79722
single_random_i8,Pcg32,Canon,,,8681673.0,ns,81576
single_random_i8,Pcg32,Canon,,,8883492.0,ns,83430
single_random_i8,Pcg32,Canon,,,9085583.0,ns,85284
single_random_i8,Pcg32,Canon,,,9273036.0,ns,87138
single_random_i8,Pcg32,Canon,,,9481729.0,ns,88992
single_random_i8,Pcg32,Canon,,,9657790.0,ns,90846
single_random_i8,Pcg32,Canon,,,9870701.0,ns,92700
single_random_i8,Pcg32,Canon,,,10044899.0,ns,94554
single_random_i8,Pcg32,Canon,,,10248983.0,ns,96408
single_random_i8,Pcg32,Canon,,,10444891.0,ns,98262
single_random_i8,Pcg32,Canon,,,10650238.0,ns,100116
single_random_i8,Pcg32,Canon,,,10821030.0,ns,101970
single_random_i8,Pcg32,Canon,,,11035594.0,ns,103824
single_random_i8,Pcg32,Canon,,,11230471.0,ns,105678
single_random_i8,Pcg32,Canon,,,11410268.0,ns,107532
single_random_i8,Pcg32,Canon,,,11695466.0,ns,109386
single_random_i8,Pcg32,Canon,,,11828577.0,ns,111240
single_random_i8,Pcg32,Canon,,,12024946.0,ns,113094
single_random_i8,Pcg32,Canon,,,12181942.0,ns,114948
single_random_i8,Pcg32,Canon,,,12402858.0,ns,116802
single_random_i8,Pcg32,Canon,,,12570543.0,ns,118656
single_random_i8,Pcg32,Canon,,,12771211.0,ns,120510
single_random_i8,Pcg32,Canon,,,12974013.0,ns,122364
single_random_i8,Pcg32,Canon,,,13156617.0,ns,124218
single_random_i8,Pcg32,Canon,,,13352074.0,ns,126072
single_random_i8,Pcg32,Canon,,,13554936.0,ns,127926
single_random_i8,Pcg32,Canon,,,13747198.0,ns,129780
single_random_i8,Pcg32,Canon,,,13935173.0,ns,131634
single_random_i8,Pcg32,Canon,,,14141701.0,ns,133488
single_random_i8,Pcg32,Canon,,,14365843.0,ns,135342
single_random_i8,Pcg32,Canon,,,14553516.0,ns,137196
single_random_i8,Pcg32,Canon,,,14730118.0,ns,139050
single_random_i8,Pcg32,Canon,,,14919435.0,ns,140904
single_random_i8,Pcg32,Canon,,,15117477.0,ns,142758
single_random_i8,Pcg32,Canon,,,15311423.0,ns,144612
single_random_i8,Pcg32,Canon,,,15505559.0,ns,146466
single_random_i8,Pcg32,Canon,,,15706287.0,ns,148320
single_random_i8,Pcg32,Canon,,,15892176.0,ns,150174
single_random_i8,Pcg32,Canon,,,16091391.0,ns,152028
single_random_i8,Pcg32,Canon,,,16302419.0,ns,153882
single_random_i8,Pcg32,Canon,,,16496072.0,ns,155736
single_random_i8,Pcg32,Canon,,,16714474.0,ns,157590
single_random_i8,Pcg32,Canon,,,16914511.0,ns,159444
single_random_i8,Pcg32,Canon,,,17105971.0,ns,161298
single_random_i8,Pcg32,Canon,,,17285379.0,ns,163152
single_random_i8,Pcg32,Canon,,,17471579.0,ns,165006
single_random_i8,Pcg32,Canon,,,17677827.0,ns,166860
single_random_i8,Pcg32,Canon,,,17866633.0,ns,168714
single_random_i8,Pcg32,Canon,,,18065197.0,ns,170568
single_random_i8,Pcg32,Canon,,,18253862.0,ns,172422
single_random_i8,Pcg32,Canon,,,18473485.0,ns,174276
single_random_i8,Pcg32,Canon,,,18646000.0,ns,176130
single_random_i8,Pcg32,Canon,,,18850666.0,ns,177984
single_random_i8,Pcg32,Canon,,,19040513.0,ns,179838
single_random_i8,Pcg32,Canon,,,19240710.0,ns,181692
single_random_i8,Pcg32,Canon,,,19421059.0,ns,183546
single_random_i8,Pcg32,Canon,,,19627868.0,ns,185400
