group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg64,Bitmask,,,205046.0,ns,600
single_random_i8,Pcg64,Bitmask,,,372270.0,ns,1200
single_random_i8,Pcg64,Bitmask,,,813301.0,ns,1800
single_random_i8,Pcg64,Bitmask,,,465315.0,ns,2400
single_random_i8,Pcg64,Bitmask,,,522183.0,ns,3000
single_random_i8,Pcg64,Bitmask,,,574181.0,ns,3600
single_random_i8,Pcg64,Bitmask,,,1144985.0,ns,4200
single_random_i8,Pcg64,Bitmask,,,1521664.0,ns,4800
single_random_i8,Pcg64,Bitmask,,,1765493.0,ns,5400
single_random_i8,Pcg64,Bitmask,,,2722165.0,ns,6000
single_random_i8,Pcg64,Bitmask,,,2264032.0,ns,6600
single_random_i8,Pcg64,Bitmask,,,2068123.0,ns,7200
single_random_i8,Pcg64,Bitmask,,,2284380.0,ns,7800
single_random_i8,Pcg64,Bitmask,,,2373598.0,ns,8400
single_random_i8,Pcg64,Bitmask,,,4103044.0,ns,9000
single_random_i8,Pcg64,Bitmask,,,3156602.0,ns,9600
single_random_i8,Pcg64,Bitmask,,,2998424.0,ns,10200
single_random_i8,Pcg64,Bitmask,,,2738725.0,ns,10800
single_random_i8,Pcg64,Bitmask,,,2531024.0,ns,11400
single_random_i8,Pcg64,Bitmask,,,4805436.0,ns,12000
single_random_i8,Pcg64,Bitmask,,,2013239.0,ns,12600
single_random_i8,Pcg64,Bitmask,,,2885502.0,ns,13200
single_random_i8,Pcg64,Bitmask,,,3956307.0,ns,13800
single_random_i8,Pcg64,Bitmask,,,3641675.0,ns,14400
single_random_i8,Pcg64,Bitmask,,,6827072.0,ns,15000
single_random_i8,Pcg64,Bitmask,,,5806931.0,ns,15600
single_random_i8,Pcg64,Bitmask,,,6472654.0,ns,16200
single_random_i8,Pcg64,Bitmask,,,7650712.0,ns,16800
single_random_i8,Pcg64,Bitmask,,,6251428.0,ns,17400
single_random_i8,Pcg64,Bitmask,,,3606920.0,ns,18000
single_random_i8,Pcg64,Bitmask,,,8470886.0,ns,18600
single_random_i8,Pcg64,Bitmask,,,8761774.0,ns,19200
single_random_i8,Pcg64,Bitmask,,,6507700.0,ns,19800
single_random_i8,Pcg64,Bitmask,,,4991927.0,ns,20400
single_random_i8,Pcg64,Bitmask,,,6632946.0,ns,21000
single_random_i8,Pcg64,Bitmask,,,9627523.0,ns,21600
single_random_i8,Pcg64,Bitmask,,,10117125.0,ns,22200
single_random_i8,Pcg64,Bitmask,,,10379819.0,ns,22800
