group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,Bitmask,,,195899.0,ns,41804
single_random_i8,SmallRng,Bitmask,,,392269.0,ns,83608
single_random_i8,SmallRng,Bitmask,,,587195.0,ns,125412
single_random_i8,SmallRng,Bitmask,,,788033.0,ns,167216
single_random_i8,SmallRng,Bitmask,,,984773.0,ns,209020
single_random_i8,SmallRng,Bitmask,,,1181023.0,ns,250824
single_random_i8,SmallRng,Bitmask,,,1372153.0,ns,292628
single_random_i8,SmallRng,Bitmask,,,1576677.0,ns,334432
single_random_i8,SmallRng,Bitmask,,,1833601.0,ns,376236
single_random_i8,SmallRng,Bitmask,,,1967052.0,ns,418040
single_random_i8,SmallRng,Bitmask,,,2170475.0,ns,459844
single_random_i8,SmallRng,Bitmask,,,2360423.0,ns,501648
single_random_i8,SmallRng,Bitmask,,,2558606.0,ns,543452
single_random_i8,SmallRng,Bitmask,,,2759473.0,ns,585256
single_random_i8,SmallRng,Bitmask,,,2960011.0,ns,627060
single_random_i8,SmallRng,Bitmask,,,3156350.0,ns,668864
single_random_i8,SmallRng,Bitmask,,,3353030.0,ns,710668
single_random_i8,SmallRng,Bitmask,,,3549500.0,ns,752472
single_random_i8,SmallRng,Bitmask,,,3746892.0,ns,794276
single_random_i8,SmallRng,Bitmask,,,3941889.0,ns,836080
single_random_i8,SmallRng,Bitmask,,,4137076.0,ns,877884
single_random_i8,SmallRng,Bitmask,,,4383630.0,ns,919688
single_random_i8,SmallRng,Bitmask,,,4539163.0,ns,961492
single_random_i8,SmallRng,Bitmask,,,4722578.0,ns,1003296
single_random_i8,SmallRng,Bitmask,,,4927584.0,ns,1045100
single_random_i8,SmallRng,Bitmask,,,5111691.0,ns,1086904
single_random_i8,SmallRng,Bitmask,,,5317749.0,ns,1128708
single_random_i8,SmallRng,Bitmask,,,5517034.0,ns,1170512
single_random_i8,SmallRng,Bitmask,,,5715928.0,ns,1212316
single_random_i8,SmallRng,Bitmask,,,5956351.0,ns,1254120
single_random_i8,SmallRng,Bitmask,,,6102265.0,ns,1295924
single_random_i8,SmallRng,Bitmask,,,6281412.0,ns,1337728
