group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,ONeill,,,197361.0,ns,2068
single_random_i8,SmallRng,ONeill,,,394663.0,ns,4136
single_random_i8,SmallRng,ONeill,,,593426.0,ns,6204
single_random_i8,SmallRng,ONeill,,,790478.0,ns,8272
single_random_i8,SmallRng,ONeill,,,987749.0,ns,10340
single_random_i8,SmallRng,ONeill,,,1184991.0,ns,12408
single_random_i8,SmallRng,ONeill,,,1377453.0,ns,14476
single_random_i8,SmallRng,ONeill,,,1581006.0,ns,16544
single_random_i8,SmallRng,ONeill,,,1785000.0,ns,18612
single_random_i8,SmallRng,ONeill,,,1979577.0,ns,20680
single_random_i8,SmallRng,ONeill,,,2167901.0,ns,22748
single_random_i8,SmallRng,ONeill,,,2373378.0,ns,24816
single_random_i8,SmallRng,ONeill,,,2575178.0,ns,26884
single_random_i8,SmallRng,ONeill,,,2761659.0,ns,28952
single_random_i8,SmallRng,ONeill,,,2965121.0,ns,31020
single_random_i8,SmallRng,ONeill,,,3161281.0,ns,33088
single_random_i8,SmallRng,ONeill,,,3361238.0,ns,35156
single_random_i8,SmallRng,ONeill,,,3557447.0,ns,37224
single_random_i8,SmallRng,ONeill,,,3756371.0,ns,39292
single_random_i8,SmallRng,ONeill,,,3955316.0,ns,41360
single_random_i8,SmallRng,ONeill,,,4143149.0,ns,43428
single_random_i8,SmallRng,ONeill,,,4348355.0,ns,45496
single_random_i8,SmallRng,ONeill,,,4546358.0,ns,47564
single_random_i8,SmallRng,ONeill,,,4738189.0,ns,49632
single_random_i8,SmallRng,ONeill,,,4933467.0,ns,51700
single_random_i8,SmallRng,ONeill,,,5133163.0,ns,53768
single_random_i8,SmallRng,ONeill,,,5331827.0,ns,55836
single_random_i8,SmallRng,ONeill,,,5530992.0,ns,57904
single_random_i8,SmallRng,ONeill,,,5728333.0,ns,59972
single_random_i8,SmallRng,ONeill,,,5926857.0,ns,62040
single_random_i8,SmallRng,ONeill,,,6120762.0,ns,64108
single_random_i8,SmallRng,ONeill,,,6323945.0,ns,66176
single_random_i8,SmallRng,ONeill,,,6521356.0,ns,68244
single_random_i8,SmallRng,ONeill,,,6716674.0,ns,70312
single_random_i8,SmallRng,ONeill,,,6905510.0,ns,72380
single_random_i8,SmallRng,ONeill,,,7101027.0,ns,74448
single_random_i8,SmallRng,ONeill,,,7309229.0,ns,76516
single_random_i8,SmallRng,ONeill,,,7488426.0,ns,78584
single_random_i8,SmallRng,ONeill,,,7692030.0,ns,80652
single_random_i8,SmallRng,ONeill,,,7876296.0,ns,82720
single_random_i8,SmallRng,ONeill,,,8080891.0,ns,84788
single_random_i8,SmallRng,ONeill,,,8272864.0,ns,86856
single_random_i8,SmallRng,ONeill,,,8464855.0,ns,88924
single_random_i8,SmallRng,ONeill,,,8659080.0,ns,90992
single_random_i8,SmallRng,ONeill,,,8859828.0,ns,93060
single_random_i8,SmallRng,ONeill,,,9056058.0,ns,95128
single_random_i8,SmallRng,ONeill,,,9250454.0,ns,97196
single_random_i8,SmallRng,ONeill,,,9455500.0,ns,99264
single_random_i8,SmallRng,ONeill,,,9638745.0,ns,101332
single_random_i8,SmallRng,ONeill,,,9833341.0,ns,103400
single_random_i8,SmallRng,ONeill,,,10034098.0,ns,105468
single_random_i8,SmallRng,ONeill,,,10242972.0,ns,107536
single_random_i8,SmallRng,ONeill,,,10436897.0,ns,109604
single_random_i8,SmallRng,ONeill,,,10655488.0,ns,111672
single_random_i8,SmallRng,ONeill,,,10824486.0,ns,113740
single_random_i8,SmallRng,ONeill,,,11042136.0,ns,115808
single_random_i8,SmallRng,ONeill,,,11220602.0,ns,117876
single_random_i8,SmallRng,ONeill,,,11416120.0,ns,119944
single_random_i8,SmallRng,ONeill,,,11607340.0,ns,122012
single_random_i8,SmallRng,ONeill,,,11806756.0,ns,124080
single_random_i8,SmallRng,ONeill,,,12000259.0,ns,126148
single_random_i8,SmallRng,ONeill,,,12185739.0,ns,128216
single_random_i8,SmallRng,ONeill,,,12390564.0,ns,130284
single_random_i8,SmallRng,ONeill,,,12594148.0,ns,132352
single_random_i8,SmallRng,ONeill,,,12776641.0,ns,134420
single_random_i8,SmallRng,ONeill,,,12979574.0,ns,136488
single_random_i8,SmallRng,ONeill,,,13191493.0,ns,138556
single_random_i8,SmallRng,ONeill,,,13383703.0,ns,140624
single_random_i8,SmallRng,ONeill,,,13585665.0,ns,142692
single_random_i8,SmallRng,ONeill,,,13777676.0,ns,144760
single_random_i8,SmallRng,ONeill,,,13968004.0,ns,146828
single_random_i8,SmallRng,ONeill,,,14168692.0,ns,148896
single_random_i8,SmallRng,ONeill,,,14369279.0,ns,150964
single_random_i8,SmallRng,ONeill,,,14547375.0,ns,153032
single_random_i8,SmallRng,ONeill,,,14755927.0,ns,155100
single_random_i8,SmallRng,ONeill,,,14961133.0,ns,157168
single_random_i8,SmallRng,ONeill,,,15133127.0,ns,159236
single_random_i8,SmallRng,ONeill,,,15320951.0,ns,161304
single_random_i8,SmallRng,ONeill,,,15523873.0,ns,163372
