group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,Old,,,202081.0,ns,2006
single_random_i8,SmallRng,Old,,,385416.0,ns,4012
single_random_i8,SmallRng,Old,,,603216.0,ns,6018
single_random_i8,SmallRng,Old,,,805256.0,ns,8024
single_random_i8,SmallRng,Old,,,957983.0,ns,10030
single_random_i8,SmallRng,Old,,,1153251.0,ns,12036
single_random_i8,SmallRng,Old,,,1411798.0,ns,14042
single_random_i8,SmallRng,Old,,,1611985.0,ns,16048
single_random_i8,SmallRng,Old,,,1722533.0,ns,18054
single_random_i8,SmallRng,Old,,,2024472.0,ns,20060
single_random_i8,SmallRng,Old,,,2108098.0,ns,22066
single_random_i8,SmallRng,Old,,,2426047.0,ns,24072
single_random_i8,SmallRng,Old,,,2623579.0,ns,26078
single_random_i8,SmallRng,Old,,,2689613.0,ns,28084
single_random_i8,SmallRng,Old,,,2888438.0,ns,30090
single_random_i8,SmallRng,Old,,,3070791.0,ns,32096
single_random_i8,SmallRng,Old,,,3267832.0,ns,34102
single_random_i8,SmallRng,Old,,,3633901.0,ns,36108
single_random_i8,SmallRng,Old,,,3649930.0,ns,38114
single_random_i8,SmallRng,Old,,,3838155.0,ns,40120
single_random_i8,SmallRng,Old,,,4034084.0,ns,42126
single_random_i8,SmallRng,Old,,,4435620.0,ns,44132
single_random_i8,SmallRng,Old,,,4415982.0,ns,46138
single_random_i8,SmallRng,Old,,,4612322.0,ns,48144
single_random_i8,SmallRng,Old,,,4791820.0,ns,50150
single_random_i8,SmallRng,Old,,,5242839.0,ns,52156
single_random_i8,SmallRng,Old,,,5173559.0,ns,54162
single_random_i8,SmallRng,Old,,,5638575.0,ns,56168
single_random_i8,SmallRng,Old,,,5840475.0,ns,58174
single_random_i8,SmallRng,Old,,,6035932.0,ns,60180
single_random_i8,SmallRng,Old,,,5948167.0,ns,62186
single_random_i8,SmallRng,Old,,,6133796.0,ns,64192
single_random_i8,SmallRng,Old,,,6320969.0,ns,66198
single_random_i8,SmallRng,Old,,,6510987.0,ns,68204
single_random_i8,SmallRng,Old,,,6708539.0,ns,70210
single_random_i8,SmallRng,Old,,,6896473.0,ns,72216
single_random_i8,SmallRng,Old,,,7449794.0,ns,74222
single_random_i8,SmallRng,Old,,,7645874.0,ns,76228
single_random_i8,SmallRng,Old,,,7833466.0,ns,78234
single_random_i8,SmallRng,Old,,,8047719.0,ns,80240
single_random_i8,SmallRng,Old,,,8238509.0,ns,82246
single_random_i8,SmallRng,Old,,,8031027.0,ns,84252
single_random_i8,SmallRng,Old,,,8653079.0,ns,86258
single_random_i8,SmallRng,Old,,,8839581.0,ns,88264
single_random_i8,SmallRng,Old,,,8605369.0,ns,90270
single_random_i8,SmallRng,Old,,,9251445.0,ns,92276
single_random_i8,SmallRng,Old,,,8987758.0,ns,94282
single_random_i8,SmallRng,Old,,,9178959.0,ns,96288
single_random_i8,SmallRng,Old,,,9860282.0,ns,98294
single_random_i8,SmallRng,Old,,,9560838.0,ns,100300
single_random_i8,SmallRng,Old,,,10257749.0,ns,102306
single_random_i8,SmallRng,Old,,,10446154.0,ns,104312
single_random_i8,SmallRng,Old,,,10135569.0,ns,106318
single_random_i8,SmallRng,Old,,,10325938.0,ns,108324
single_random_i8,SmallRng,Old,,,11051905.0,ns,110330
single_random_i8,SmallRng,Old,,,11242163.0,ns,112336
single_random_i8,SmallRng,Old,,,11446627.0,ns,114342
single_random_i8,SmallRng,Old,,,11091128.0,ns,116348
single_random_i8,SmallRng,Old,,,11283651.0,ns,118354
single_random_i8,SmallRng,Old,,,12056025.0,ns,120360
single_random_i8,SmallRng,Old,,,11658747.0,ns,122366
single_random_i8,SmallRng,Old,,,12459374.0,ns,124372
single_random_i8,SmallRng,Old,,,12672586.0,ns,126378
single_random_i8,SmallRng,Old,,,12876960.0,ns,128384
single_random_i8,SmallRng,Old,,,12437393.0,ns,130390
single_random_i8,SmallRng,Old,,,13293293.0,ns,132396
single_random_i8,SmallRng,Old,,,12837636.0,ns,134402
single_random_i8,SmallRng,Old,,,13040328.0,ns,136408
single_random_i8,SmallRng,Old,,,13904053.0,ns,138414
single_random_i8,SmallRng,Old,,,13418489.0,ns,140420
single_random_i8,SmallRng,Old,,,14301001.0,ns,142426
single_random_i8,SmallRng,Old,,,13776915.0,ns,144432
single_random_i8,SmallRng,Old,,,13987150.0,ns,146438
single_random_i8,SmallRng,Old,,,14888316.0,ns,148444
single_random_i8,SmallRng,Old,,,14349773.0,ns,150450
single_random_i8,SmallRng,Old,,,14541564.0,ns,152456
single_random_i8,SmallRng,Old,,,14727474.0,ns,154462
single_random_i8,SmallRng,Old,,,14916469.0,ns,156468
single_random_i8,SmallRng,Old,,,15107760.0,ns,158474
single_random_i8,SmallRng,Old,,,16070261.0,ns,160480
single_random_i8,SmallRng,Old,,,16288542.0,ns,162486
single_random_i8,SmallRng,Old,,,16468421.0,ns,164492
single_random_i8,SmallRng,Old,,,15871136.0,ns,166498
single_random_i8,SmallRng,Old,,,16064871.0,ns,168504
single_random_i8,SmallRng,Old,,,16254648.0,ns,170510
single_random_i8,SmallRng,Old,,,16445298.0,ns,172516
single_random_i8,SmallRng,Old,,,17490865.0,ns,174522
single_random_i8,SmallRng,Old,,,17663681.0,ns,176528
single_random_i8,SmallRng,Old,,,17019348.0,ns,178534
single_random_i8,SmallRng,Old,,,17211851.0,ns,180540
single_random_i8,SmallRng,Old,,,17402760.0,ns,182546
single_random_i8,SmallRng,Old,,,17593229.0,ns,184552
single_random_i8,SmallRng,Old,,,18682188.0,ns,186558
single_random_i8,SmallRng,Old,,,17970549.0,ns,188564
single_random_i8,SmallRng,Old,,,18175755.0,ns,190570
single_random_i8,SmallRng,Old,,,18372385.0,ns,192576
single_random_i8,SmallRng,Old,,,18565478.0,ns,194582
single_random_i8,SmallRng,Old,,,18785483.0,ns,196588
single_random_i8,SmallRng,Old,,,19935959.0,ns,198594
single_random_i8,SmallRng,Old,,,19162783.0,ns,200600
